Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Other Services, Except Government for North Carolina
Series ID:           NCOTHSERVEQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  109.380
2005-04-01  108.943
2005-07-01  109.991
2005-10-01  109.057
2006-01-01  110.666
2006-04-01  110.507
2006-07-01  110.210
2006-10-01  110.430
2007-01-01  110.618
2007-04-01  109.770
2007-07-01  108.291
2007-10-01  108.142
2008-01-01  106.033
2008-04-01  104.567
2008-07-01  104.555
2008-10-01  103.584
2009-01-01   99.343
2009-04-01   98.392
2009-07-01   98.145
2009-10-01   97.602
2010-01-01   97.278
2010-04-01   97.561
2010-07-01   98.549
2010-10-01   98.220
2011-01-01   97.425
2011-04-01   96.854
2011-07-01   95.898
2011-10-01   96.360
2012-01-01  100.374
2012-04-01  100.402
2012-07-01   99.563
2012-10-01   99.661
2013-01-01  100.385
2013-04-01   98.535
2013-07-01   99.242
2013-10-01   99.995
2014-01-01   99.258
2014-04-01  101.770
2014-07-01  103.799
2014-10-01  103.652
2015-01-01  103.815
2015-04-01  103.863
2015-07-01  103.015
2015-10-01  101.917
2016-01-01  102.482
2016-04-01  102.861
2016-07-01  103.791
2016-10-01  104.728
2017-01-01  103.891
2017-04-01  103.688
2017-07-01  104.687
2017-10-01  105.406
2018-01-01  106.144
2018-04-01  107.232
