Title:               Transfers less State Unemployment Benefits in North Carolina (DISCONTINUED)
Series ID:           NCOTRA
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          1990-01-01 to 2013-01-01
Last Updated:        2013-07-01 4:47 PM CDT
Notes:               Please visit http://research.stlouisfed.org/fred2/personalincome for
                     documentation on the derivation of personal income.

DATE        VALUE
1990-01-01  12821
1990-04-01  13099
1990-07-01  13352
1990-10-01  13753
1991-01-01  14426
1991-04-01  14960
1991-07-01  15265
1991-10-01  15839
1992-01-01  16297
1992-04-01  16645
1992-07-01  16973
1992-10-01  17120
1993-01-01  18126
1993-04-01  18423
1993-07-01  18873
1993-10-01  18945
1994-01-01  19266
1994-04-01  19240
1994-07-01  19328
1994-10-01  20088
1995-01-01  21166
1995-04-01  21747
1995-07-01  22189
1995-10-01  22117
1996-01-01  23110
1996-04-01  23832
1996-07-01  23710
1996-10-01  23806
1997-01-01  24512
1997-04-01  24650
1997-07-01  24982
1997-10-01  25247
1998-01-01  25597
1998-04-01  25732
1998-07-01  25774
1998-10-01  26190
1999-01-01  27026
1999-04-01  27215
1999-07-01  27707
1999-10-01  28045
2000-01-01  28521
2000-04-01  29331
2000-07-01  29723
2000-10-01  30086
2001-01-01  31520
2001-04-01  32547
2001-07-01  31891
2001-10-01  33669
2002-01-01  34439
2002-04-01  34498
2002-07-01  34764
2002-10-01  35230
2003-01-01  35812
2003-04-01  36165
2003-07-01  36917
2003-10-01  37200
2004-01-01  38639
2004-04-01  39622
2004-07-01  40015
2004-10-01  40960
2005-01-01  42391
2005-04-01  43435
2005-07-01  43528
2005-10-01  44024
2006-01-01  45693
2006-04-01  46767
2006-07-01  47537
2006-10-01  47923
2007-01-01  50163
2007-04-01  49975
2007-07-01  50548
2007-10-01  51619
2008-01-01  53064
2008-04-01  58032
2008-07-01  54883
2008-10-01  55743
2009-01-01  59212
2009-04-01  63093
2009-07-01  62519
2009-10-01  62683
2010-01-01  64082
2010-04-01  64288
2010-07-01  65143
2010-10-01  65821
2011-01-01  66598
2011-04-01  67143
2011-07-01  67407
2011-10-01  67790
2012-01-01  68826
2012-04-01  69709
2012-07-01  70717
2012-10-01  71210
2013-01-01  72386
