Title:               State Government Tax Collections, Other License Taxes in North Carolina
Series ID:           NCOTHLICTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:32 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE        VALUE
1942-01-01   5707
1943-01-01      .
1944-01-01   4874
1945-01-01      .
1946-01-01   5654
1947-01-01      .
1948-01-01   7632
1949-01-01      .
1950-01-01   8977
1951-01-01      0
1952-01-01      0
1953-01-01      0
1954-01-01      0
1955-01-01      0
1956-01-01      0
1957-01-01      0
1958-01-01      0
1959-01-01      0
1960-01-01    101
1961-01-01    126
1962-01-01    128
1963-01-01    136
1964-01-01    150
1965-01-01    156
1966-01-01    167
1967-01-01    182
1968-01-01    194
1969-01-01    216
1970-01-01    234
1971-01-01    250
1972-01-01    280
1973-01-01    315
1974-01-01    349
1975-01-01    377
1976-01-01    739
1977-01-01    728
1978-01-01    420
1979-01-01    668
1980-01-01    798
1981-01-01    743
1982-01-01   1149
1983-01-01    856
1984-01-01   1007
1985-01-01   1172
1986-01-01   1171
1987-01-01   1162
1988-01-01   1343
1989-01-01   1295
1990-01-01   1283
1991-01-01   1472
1992-01-01   1460
1993-01-01   1461
1994-01-01   2166
1995-01-01   2164
1996-01-01   2959
1997-01-01   2721
1998-01-01   3269
1999-01-01   3548
2000-01-01   2939
2001-01-01   3355
2002-01-01   3505
2003-01-01   3239
2004-01-01   3540
2005-01-01   3360
2006-01-01   3756
2007-01-01   4338
2008-01-01   6756
2009-01-01   7368
2010-01-01   7732
2011-01-01   7945
2012-01-01  10313
2013-01-01  10114
2014-01-01  24039
2015-01-01  24239
2016-01-01  25398
2017-01-01  26333
