Title:               Resident Population in Onslow County, NC
Series ID:           NCONSL5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01  103.126
1971-01-01  100.800
1972-01-01   94.700
1973-01-01   93.200
1974-01-01   96.400
1975-01-01  112.700
1976-01-01  115.300
1977-01-01  116.400
1978-01-01  118.500
1979-01-01  113.200
1980-01-01  112.784
1981-01-01  116.100
1982-01-01  118.881
1983-01-01  124.216
1984-01-01  128.297
1985-01-01  133.240
1986-01-01  138.143
1987-01-01  141.166
1988-01-01  142.695
1989-01-01  149.174
1990-01-01  150.098
1991-01-01  151.342
1992-01-01  146.370
1993-01-01  147.789
1994-01-01  146.760
1995-01-01  147.258
1996-01-01  148.658
1997-01-01  147.955
1998-01-01  150.773
1999-01-01  149.628
2000-01-01  150.427
2001-01-01  149.790
2002-01-01  151.285
2003-01-01  148.334
2004-01-01  155.566
2005-01-01  152.921
2006-01-01  155.955
2007-01-01  157.649
2008-01-01  163.236
2009-01-01  165.435
2010-01-01  186.889
2011-01-01  185.013
2012-01-01  190.719
2013-01-01  192.377
2014-01-01  191.866
2015-01-01  193.088
2016-01-01  192.199
2017-01-01  193.893
