Title:               State Unemployment Benefits in North Carolina
Series ID:           NCOBEN
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Please visit http://research.stlouisfed.org/fred2/personalincome for
                     documentation on the derivation of personal income.

DATE           VALUE
1998-01-01    406020
1998-04-01    397700
1998-07-01    392128
1998-10-01    396992
1999-01-01    403292
1999-04-01    408084
1999-07-01    427168
1999-10-01    458956
2000-01-01    462664
2000-04-01    436216
2000-07-01    472544
2000-10-01    574280
2001-01-01    670324
2001-04-01    792324
2001-07-01    954480
2001-10-01   1318100
2002-01-01   1262316
2002-04-01   1608008
2002-07-01   1482444
2002-10-01   1510312
2003-01-01   1242680
2003-04-01   1507644
2003-07-01   1469144
2003-10-01   1208404
2004-01-01   1182876
2004-04-01    912324
2004-07-01    822072
2004-10-01    724000
2005-01-01    749552
2005-04-01    778384
2005-07-01    656780
2005-10-01    634064
2006-01-01    725056
2006-04-01    530008
2006-07-01    808224
2006-10-01    836388
2007-01-01    715556
2007-04-01    705896
2007-07-01    731324
2007-10-01    765468
2008-01-01    838656
2008-04-01    916300
2008-07-01   1591116
2008-10-01   2175896
2009-01-01   3287048
2009-04-01   4156720
2009-07-01   4606420
2009-10-01   4610056
2010-01-01   4597448
2010-04-01   4309552
2010-07-01   4487848
2010-10-01   4390152
2011-01-01   4251424
2011-04-01   4045636
2011-07-01   3884860
2011-10-01   3604008
2012-01-01   3127436
2012-04-01   2753336
2012-07-01   2538804
2012-10-01   2379048
2013-01-01   2177348
2013-04-01   2007336
2013-07-01    869784
2013-10-01    701804
2014-01-01    585344
2014-04-01    489848
2014-07-01    409012
2014-10-01    347856
2015-01-01    321744
2015-04-01    299384
2015-07-01    285556
2015-10-01    268640
2016-01-01    259284
2016-04-01    244700
2016-07-01    243008
2016-10-01    243920
2017-01-01    243524
2017-04-01    210856
2017-07-01    188644
2017-10-01    198744
2018-01-01    207753
2018-04-01    188872
2018-07-01    172965
