Title:               State Government Tax Collections, Other Selective Sales and Gross Receipts Taxes in North Carolina
Series ID:           NCOTHSLSTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:32 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE         VALUE
1942-01-01       0
1943-01-01       .
1944-01-01       0
1945-01-01       .
1946-01-01       0
1947-01-01       .
1948-01-01     255
1949-01-01       .
1950-01-01     231
1951-01-01     263
1952-01-01     244
1953-01-01     254
1954-01-01     251
1955-01-01     251
1956-01-01     267
1957-01-01     277
1958-01-01     547
1959-01-01     599
1960-01-01     594
1961-01-01     607
1962-01-01      88
1963-01-01       0
1964-01-01       0
1965-01-01       0
1966-01-01       0
1967-01-01       0
1968-01-01       0
1969-01-01       0
1970-01-01   12923
1971-01-01   18551
1972-01-01   19192
1973-01-01   19725
1974-01-01   20201
1975-01-01   18110
1976-01-01   19765
1977-01-01   20120
1978-01-01   22072
1979-01-01   23048
1980-01-01   21971
1981-01-01   22279
1982-01-01   21883
1983-01-01   21829
1984-01-01   23667
1985-01-01   24607
1986-01-01   25713
1987-01-01   24828
1988-01-01   27366
1989-01-01   27912
1990-01-01   28987
1991-01-01   29752
1992-01-01  294144
1993-01-01  330512
1994-01-01  399315
1995-01-01  443980
1996-01-01  479915
1997-01-01  485623
1998-01-01  520867
1999-01-01  521213
2000-01-01  588093
2001-01-01  588780
2002-01-01  603777
2003-01-01  598440
2004-01-01  624602
2005-01-01  630350
2006-01-01  639294
2007-01-01  692092
2008-01-01  664866
2009-01-01  533247
2010-01-01  535083
2011-01-01  567854
2012-01-01  611677
2013-01-01  660001
2014-01-01  704017
2015-01-01  779094
2016-01-01  857389
2017-01-01  915401
