Title:               Gross Domestic Product by Industry: Private Industries: Other Services, Except Government for North Carolina
Series ID:           NCOTHSERVENQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   7578.1
2005-04-01   7618.8
2005-07-01   7749.6
2005-10-01   7764.5
2006-01-01   7958.9
2006-04-01   8039.7
2006-07-01   8089.4
2006-10-01   8208.3
2007-01-01   8324.4
2007-04-01   8312.3
2007-07-01   8283.8
2007-10-01   8313.5
2008-01-01   8233.0
2008-04-01   8199.2
2008-07-01   8272.1
2008-10-01   8345.6
2009-01-01   8122.4
2009-04-01   8119.5
2009-07-01   8170.8
2009-10-01   8199.5
2010-01-01   8204.5
2010-04-01   8262.6
2010-07-01   8376.1
2010-10-01   8394.6
2011-01-01   8378.0
2011-04-01   8385.3
2011-07-01   8373.5
2011-10-01   8481.0
2012-01-01   8895.7
2012-04-01   8970.5
2012-07-01   8934.8
2012-10-01   9001.8
2013-01-01   9168.8
2013-04-01   9068.4
2013-07-01   9187.5
2013-10-01   9335.4
2014-01-01   9314.9
2014-04-01   9618.1
2014-07-01   9880.4
2014-10-01   9953.4
2015-01-01  10069.0
2015-04-01  10166.6
2015-07-01  10165.6
2015-10-01  10131.7
2016-01-01  10272.8
2016-04-01  10380.7
2016-07-01  10531.2
2016-10-01  10715.6
2017-01-01  10745.5
2017-04-01  10786.1
2017-07-01  10952.8
2017-10-01  11086.1
2018-01-01  11259.6
2018-04-01  11451.7
