Title:               Other Labor Income in North Carolina
Series ID:           NCOOTH
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               

DATE          VALUE
1998-01-01  22881.5
1998-04-01  23318.0
1998-07-01  23925.9
1998-10-01  24451.0
1999-01-01  24771.3
1999-04-01  25046.5
1999-07-01  25637.0
1999-10-01  25873.2
2000-01-01  26193.2
2000-04-01  26679.7
2000-07-01  27167.0
2000-10-01  27356.4
2001-01-01  28064.3
2001-04-01  28437.4
2001-07-01  28398.7
2001-10-01  28574.2
2002-01-01  28821.0
2002-04-01  29187.7
2002-07-01  29478.5
2002-10-01  29936.6
2003-01-01  30613.3
2003-04-01  31162.1
2003-07-01  31822.2
2003-10-01  32618.9
2004-01-01  32706.4
2004-04-01  33295.9
2004-07-01  34182.2
2004-10-01  34819.7
2005-01-01  35767.6
2005-04-01  36196.3
2005-07-01  36777.6
2005-10-01  37240.0
2006-01-01  37867.8
2006-04-01  38238.9
2006-07-01  38753.8
2006-10-01  39588.0
2007-01-01  40317.4
2007-04-01  40562.5
2007-07-01  40839.1
2007-10-01  41316.7
2008-01-01  41389.2
2008-04-01  41524.3
2008-07-01  41794.1
2008-10-01  41791.8
2009-01-01  41246.5
2009-04-01  41742.0
2009-07-01  42192.3
2009-10-01  42445.1
2010-01-01  43309.0
2010-04-01  43271.3
2010-07-01  42869.9
2010-10-01  42532.3
2011-01-01  42513.6
2011-04-01  42366.5
2011-07-01  42382.2
2011-10-01  42983.6
2012-01-01  44555.3
2012-04-01  45160.7
2012-07-01  45849.2
2012-10-01  45553.9
2013-01-01  45332.6
2013-04-01  45204.3
2013-07-01  45517.5
2013-10-01  46375.0
2014-01-01  47951.6
2014-04-01  48677.1
2014-07-01  49642.9
2014-10-01  50145.0
2015-01-01  50650.9
2015-04-01  50595.1
2015-07-01  50642.5
2015-10-01  50688.5
2016-01-01  50226.7
2016-04-01  50061.7
2016-07-01  50474.7
2016-10-01  51181.1
2017-01-01  51479.1
2017-04-01  51980.4
2017-07-01  52212.5
2017-10-01  52626.3
2018-01-01  53096.1
2018-04-01  54040.0
2018-07-01  54153.1
