Title:               Total Personal Income in North Carolina
Series ID:           NCOTOTL
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:31 AM CST
Notes:               Please visit http://research.stlouisfed.org/fred2/personalincome for
                     documentation on the derivation of personal income.

DATE           VALUE
1998-01-01  192992.4
1998-04-01  196146.4
1998-07-01  199961.0
1998-10-01  203538.9
1999-01-01  204819.0
1999-04-01  206295.3
1999-07-01  209437.7
1999-10-01  212673.1
2000-01-01  216570.4
2000-04-01  221049.6
2000-07-01  224145.8
2000-10-01  225706.8
2001-01-01  227597.0
2001-04-01  229383.4
2001-07-01  227382.3
2001-10-01  229363.9
2002-01-01  229432.7
2002-04-01  232000.0
2002-07-01  232399.5
2002-10-01  233390.8
2003-01-01  236332.0
2003-04-01  238265.4
2003-07-01  242519.8
2003-10-01  247540.8
2004-01-01  253107.9
2004-04-01  258918.3
2004-07-01  264195.8
2004-10-01  269891.6
2005-01-01  275635.9
2005-04-01  279038.6
2005-07-01  282269.8
2005-10-01  287346.8
2006-01-01  300210.5
2006-04-01  302967.4
2006-07-01  306434.5
2006-10-01  311734.0
2007-01-01  325611.3
2007-04-01  328228.3
2007-07-01  329120.8
2007-10-01  332679.9
2008-01-01  345876.9
2008-04-01  355882.1
2008-07-01  349608.5
2008-10-01  350123.0
2009-01-01  329313.0
2009-04-01  338193.6
2009-07-01  340762.1
2009-10-01  342879.5
2010-01-01  336602.5
2010-04-01  340700.4
2010-07-01  341505.3
2010-10-01  344248.9
2011-01-01  350883.4
2011-04-01  353245.1
2011-07-01  355273.2
2011-10-01  357775.8
2012-01-01  373246.3
2012-04-01  378310.4
2012-07-01  378518.2
2012-10-01  386049.9
2013-01-01  373003.7
2013-04-01  373453.3
2013-07-01  375121.0
2013-10-01  378650.1
2014-01-01  387890.7
2014-04-01  394401.8
2014-07-01  400864.3
2014-10-01  406485.9
2015-01-01  412840.9
2015-04-01  418650.4
2015-07-01  423639.9
2015-10-01  424424.5
2016-01-01  428727.6
2016-04-01  430804.8
2016-07-01  434504.8
2016-10-01  441028.3
2017-01-01  448263.5
2017-04-01  451815.9
2017-07-01  455759.6
2017-10-01  461388.6
2018-01-01  467930.6
2018-04-01  474296.5
2018-07-01  477779.8
