Title:               All Employees: Private Service Providing in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           SMU51472600800000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-26 10:26 AM CST
Notes:               

DATE        VALUE
1990-01-01  347.4
1990-02-01  348.5
1990-03-01  353.0
1990-04-01  354.5
1990-05-01  360.3
1990-06-01  367.4
1990-07-01  366.4
1990-08-01  368.2
1990-09-01  364.2
1990-10-01  362.4
1990-11-01  362.9
1990-12-01  364.5
1991-01-01  347.5
1991-02-01  344.2
1991-03-01  349.7
1991-04-01  353.3
1991-05-01  360.2
1991-06-01  367.2
1991-07-01  366.2
1991-08-01  367.6
1991-09-01  365.6
1991-10-01  361.2
1991-11-01  359.9
1991-12-01  363.7
1992-01-01  349.7
1992-02-01  351.1
1992-03-01  354.8
1992-04-01  359.3
1992-05-01  366.0
1992-06-01  372.5
1992-07-01  373.5
1992-08-01  374.7
1992-09-01  371.8
1992-10-01  367.8
1992-11-01  370.4
1992-12-01  370.2
1993-01-01  357.7
1993-02-01  359.3
1993-03-01  361.5
1993-04-01  367.1
1993-05-01  373.1
1993-06-01  380.0
1993-07-01  379.1
1993-08-01  380.5
1993-09-01  378.1
1993-10-01  376.6
1993-11-01  377.2
1993-12-01  380.0
1994-01-01  368.6
1994-02-01  369.0
1994-03-01  374.6
1994-04-01  379.6
1994-05-01  385.7
1994-06-01  392.4
1994-07-01  398.3
1994-08-01  401.5
1994-09-01  399.8
1994-10-01  391.4
1994-11-01  391.6
1994-12-01  393.9
1995-01-01  381.8
1995-02-01  383.8
1995-03-01  387.9
1995-04-01  393.8
1995-05-01  401.6
1995-06-01  408.7
1995-07-01  407.0
1995-08-01  408.2
1995-09-01  407.3
1995-10-01  404.6
1995-11-01  405.1
1995-12-01  405.9
1996-01-01  393.4
1996-02-01  393.4
1996-03-01  399.5
1996-04-01  404.6
1996-05-01  410.4
1996-06-01  418.6
1996-07-01  420.9
1996-08-01  424.9
1996-09-01  423.3
1996-10-01  421.0
1996-11-01  422.9
1996-12-01  423.8
1997-01-01  410.3
1997-02-01  410.8
1997-03-01  417.1
1997-04-01  421.4
1997-05-01  428.2
1997-06-01  435.8
1997-07-01  434.8
1997-08-01  436.9
1997-09-01  436.0
1997-10-01  434.7
1997-11-01  436.8
1997-12-01  438.7
1998-01-01  422.1
1998-02-01  423.6
1998-03-01  428.4
1998-04-01  432.9
1998-05-01  443.0
1998-06-01  449.6
1998-07-01  453.7
1998-08-01  456.4
1998-09-01  453.3
1998-10-01  448.8
1998-11-01  452.1
1998-12-01  454.6
1999-01-01  435.8
1999-02-01  439.5
1999-03-01  446.0
1999-04-01  454.3
1999-05-01  459.4
1999-06-01  466.4
1999-07-01  461.6
1999-08-01  465.9
1999-09-01  464.8
1999-10-01  461.6
1999-11-01  463.8
1999-12-01  466.0
2000-01-01  447.3
2000-02-01  450.3
2000-03-01  457.4
2000-04-01  459.2
2000-05-01  464.6
2000-06-01  474.1
2000-07-01  470.1
2000-08-01  474.1
2000-09-01  471.6
2000-10-01  468.8
2000-11-01  472.1
2000-12-01  472.9
2001-01-01  454.9
2001-02-01  455.9
2001-03-01  462.7
2001-04-01  470.1
2001-05-01  476.7
2001-06-01  484.6
2001-07-01  482.9
2001-08-01  484.2
2001-09-01  481.2
2001-10-01  477.4
2001-11-01  481.2
2001-12-01  481.5
2002-01-01  462.2
2002-02-01  465.4
2002-03-01  470.5
2002-04-01  476.0
2002-05-01  481.6
2002-06-01  489.8
2002-07-01  485.1
2002-08-01  487.0
2002-09-01  482.1
2002-10-01  482.7
2002-11-01  485.6
2002-12-01  487.4
2003-01-01  468.5
2003-02-01  469.0
2003-03-01  473.7
2003-04-01  477.0
2003-05-01  482.0
2003-06-01  487.9
2003-07-01  489.5
2003-08-01  489.7
2003-09-01  484.1
2003-10-01  483.9
2003-11-01  485.9
2003-12-01  487.2
2004-01-01  473.1
2004-02-01  473.7
2004-03-01  479.8
2004-04-01  486.6
2004-05-01  490.4
2004-06-01  496.7
2004-07-01  500.1
2004-08-01  500.3
2004-09-01  494.9
2004-10-01  492.3
2004-11-01  493.9
2004-12-01  496.7
2005-01-01  480.2
2005-02-01  481.9
2005-03-01  488.6
2005-04-01  496.4
2005-05-01  500.9
2005-06-01  508.7
2005-07-01  510.6
2005-08-01  511.7
2005-09-01  508.4
2005-10-01  499.9
2005-11-01  502.8
2005-12-01  503.8
2006-01-01  489.9
2006-02-01  491.0
2006-03-01  498.1
2006-04-01  502.6
2006-05-01  506.9
2006-06-01  515.1
2006-07-01  514.7
2006-08-01  514.3
2006-09-01  509.7
2006-10-01  508.0
2006-11-01  510.7
2006-12-01  511.5
2007-01-01  498.3
2007-02-01  499.2
2007-03-01  506.0
2007-04-01  510.6
2007-05-01  516.1
2007-06-01  522.6
2007-07-01  527.7
2007-08-01  526.4
2007-09-01  519.9
2007-10-01  511.7
2007-11-01  513.1
2007-12-01  513.7
