Title:               Quarterly Weighted Average of Total Equity Capital for Commercial Banks in North Carolina
Series ID:           NCQWATEC
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:04 AM CST
Notes:               This series represents Total Equity Capital call item RCFD3210 that
                     has been weighted each quarter to smooth out the fluctuations.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE            VALUE
1984-01-01    2141236
1984-04-01    2180564
1984-07-01    2189483
1984-10-01    2235426
1985-01-01    2447512
1985-04-01    2495903
1985-07-01    2549985
1985-10-01    2462467
1986-01-01    2911293
1986-04-01    2974833
1986-07-01    3035730
1986-10-01    3099755
1987-01-01    3450798
1987-04-01    3498883
1987-07-01    3556788
1987-10-01    3595115
1988-01-01    3857702
1988-04-01    3931543
1988-07-01    3985343
1988-10-01    4025210
1989-01-01    4221889
1989-04-01    4285356
1989-07-01    4353213
1989-10-01    4416380
1990-01-01    4748651
1990-04-01    4787476
1990-07-01    4814405
1990-10-01    4694169
1991-01-01    4980338
1991-04-01    5013885
1991-07-01    5059480
1991-10-01    5109699
1992-01-01    5447698
1992-04-01    5534937
1992-07-01    5634214
1992-10-01    5685445
1993-01-01    6086044
1993-04-01    6213095
1993-07-01    6378460
1993-10-01    6505715
1994-01-01    7160774
1994-04-01    7189180
1994-07-01    7228422
1994-10-01    7291066
1995-01-01    8077095
1995-04-01    8126162
1995-07-01    8897103
1995-10-01    9656446
1996-01-01   12275284
1996-04-01   12391832
1996-07-01   12472204
1996-10-01   12632274
1997-01-01   13795689
1997-04-01   17762019
1997-07-01   22552626
1997-10-01   25943873
1998-01-01   38248152
1998-04-01   41822473
1998-07-01   45037891
1998-10-01   47608362
1999-01-01   58191141
1999-04-01   57785736
1999-07-01   60339015
1999-10-01   64152851
2000-01-01   77343966
2000-04-01   77156286
2000-07-01   77198732
2000-10-01   77688453
2001-01-01   81749033
2001-04-01   82913900
2001-07-01   85049723
2001-10-01   85506025
2002-01-01   90597071
2002-04-01   79721788
2002-07-01   83836929
2002-10-01   86392677
2003-01-01   93877703
2003-04-01   93769489
2003-07-01   93434703
2003-10-01   93068194
2004-01-01   93905321
2004-04-01   94603389
2004-07-01   95504561
2004-10-01   96664559
2005-01-01  109545230
2005-04-01  125438766
2005-07-01  138460696
2005-10-01  145023639
2006-01-01  167549208
2006-04-01  168629595
2006-07-01  170661037
2006-10-01  173599182
2007-01-01  184340174
2007-04-01  184188366
2007-07-01  184592111
2007-10-01  187199613
2008-01-01  204853867
2008-04-01  203970040
2008-07-01  203662792
2008-10-01  204798032
2009-01-01  216037363
2009-04-01  222513454
2009-07-01  230581152
2009-10-01  237003973
2010-01-01  192652748
2010-04-01  193817157
2010-07-01  194640774
2010-10-01  195260357
2011-01-01  199166926
2011-04-01  200316192
2011-07-01  201781458
2011-10-01  202759474
2012-01-01  200282552
2012-04-01  200758281
2012-07-01  201653177
2012-10-01  201732626
2013-01-01  202488624
2013-04-01  202558154
2013-07-01  202741850
2013-10-01  203103926
2014-01-01  206089203
2014-04-01  207952596
2014-07-01  208825581
2014-10-01  212013916
2015-01-01  232795244
2015-04-01  232908312
2015-07-01  233326655
2015-10-01  233578029
2016-01-01  239377149
2016-04-01  242364975
2016-07-01  244425626
2016-10-01  244619666
2017-01-01  242686388
2017-04-01  242208712
2017-07-01  242945479
2017-10-01  241346008
2018-01-01  240840589
2018-04-01  240328500
2018-07-01  240024384
