Title:               State Government Tax Collections, Occupation and Business Licenses in North Carolina
Series ID:           NCBUSLICTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1951-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:32 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE         VALUE
1951-01-01    9422
1952-01-01    9597
1953-01-01   10575
1954-01-01   10863
1955-01-01   11422
1956-01-01   12579
1957-01-01   12712
1958-01-01   12829
1959-01-01   14345
1960-01-01   14846
1961-01-01   15448
1962-01-01   16285
1963-01-01   16691
1964-01-01   16004
1965-01-01   17753
1966-01-01   19021
1967-01-01   19596
1968-01-01   20114
1969-01-01   20949
1970-01-01   23597
1971-01-01   24559
1972-01-01   26449
1973-01-01   28446
1974-01-01   30418
1975-01-01   31444
1976-01-01   33694
1977-01-01   36047
1978-01-01   37562
1979-01-01   40844
1980-01-01   41841
1981-01-01   42784
1982-01-01   48372
1983-01-01   37861
1984-01-01   41193
1985-01-01   45084
1986-01-01   54712
1987-01-01   54363
1988-01-01   61999
1989-01-01   57827
1990-01-01   69572
1991-01-01   76728
1992-01-01   79800
1993-01-01   79689
1994-01-01   93601
1995-01-01  117518
1996-01-01   96653
1997-01-01   98368
1998-01-01  110862
1999-01-01  127870
2000-01-01  109318
2001-01-01   72322
2002-01-01  104795
2003-01-01  107435
2004-01-01  131728
2005-01-01  144173
2006-01-01  152683
2007-01-01  162303
2008-01-01  198359
2009-01-01  196785
2010-01-01  197097
2011-01-01  207340
2012-01-01  216751
2013-01-01  230263
2014-01-01  292454
2015-01-01  297979
2016-01-01  314788
2017-01-01  341503
