Title:               Civilian Labor Force in Bladen County, NC
Series ID:           NCBLAD7LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  13089
1990-02-01  12932
1990-03-01  12969
1990-04-01  13217
1990-05-01  13613
1990-06-01  14070
1990-07-01  13797
1990-08-01  13580
1990-09-01  13607
1990-10-01  13514
1990-11-01  13550
1990-12-01  13644
1991-01-01  13308
1991-02-01  13403
1991-03-01  13542
1991-04-01  13585
1991-05-01  14139
1991-06-01  14351
1991-07-01  14249
1991-08-01  14007
1991-09-01  13708
1991-10-01  13615
1991-11-01  13269
1991-12-01  13266
1992-01-01  13527
1992-02-01  13831
1992-03-01  13708
1992-04-01  13890
1992-05-01  14159
1992-06-01  14520
1992-07-01  14727
1992-08-01  14645
1992-09-01  14637
1992-10-01  14943
1992-11-01  15008
1992-12-01  14926
1993-01-01  15008
1993-02-01  15051
1993-03-01  14931
1993-04-01  14944
1993-05-01  15353
1993-06-01  15698
1993-07-01  15842
1993-08-01  15890
1993-09-01  15396
1993-10-01  15429
1993-11-01  15360
1993-12-01  15313
1994-01-01  15615
1994-02-01  16004
1994-03-01  15866
1994-04-01  15710
1994-05-01  16063
1994-06-01  16417
1994-07-01  16757
1994-08-01  17234
1994-09-01  17115
1994-10-01  17014
1994-11-01  17092
1994-12-01  16842
1995-01-01  16954
1995-02-01  17081
1995-03-01  17366
1995-04-01  17001
1995-05-01  17103
1995-06-01  17496
1995-07-01  17852
1995-08-01  18588
1995-09-01  18695
1995-10-01  18413
1995-11-01  18357
1995-12-01  18638
1996-01-01  18350
1996-02-01  18856
1996-03-01  18709
1996-04-01  18738
1996-05-01  19553
1996-06-01  19551
1996-07-01  19613
1996-08-01  19926
1996-09-01  20159
1996-10-01  20468
1996-11-01  20596
1996-12-01  20028
1997-01-01  19472
1997-02-01  19861
1997-03-01  19537
1997-04-01  20215
1997-05-01  20582
1997-06-01  20717
1997-07-01  20614
1997-08-01  20465
1997-09-01  20041
1997-10-01  20327
1997-11-01  20661
1997-12-01  20708
1998-01-01  20354
1998-02-01  20389
1998-03-01  20069
1998-04-01  20085
1998-05-01  20123
1998-06-01  20450
1998-07-01  20320
1998-08-01  20493
1998-09-01  20483
1998-10-01  20291
1998-11-01  20205
1998-12-01  20087
1999-01-01  20280
1999-02-01  20605
1999-03-01  20575
1999-04-01  20515
1999-05-01  20572
1999-06-01  20263
1999-07-01  20581
1999-08-01  20527
1999-09-01  20615
1999-10-01  20617
1999-11-01  20330
1999-12-01  20294
2000-01-01  14201
2000-02-01  14300
2000-03-01  14631
2000-04-01  14268
2000-05-01  14560
2000-06-01  14791
2000-07-01  14707
2000-08-01  14909
2000-09-01  14728
2000-10-01  15226
2000-11-01  15061
2000-12-01  15175
2001-01-01  15053
2001-02-01  14943
2001-03-01  14826
2001-04-01  14716
2001-05-01  14887
2001-06-01  15091
2001-07-01  15100
2001-08-01  15149
2001-09-01  15099
2001-10-01  14969
2001-11-01  14890
2001-12-01  14743
2002-01-01  14933
2002-02-01  15068
2002-03-01  14976
2002-04-01  14878
2002-05-01  14943
2002-06-01  14944
2002-07-01  15127
2002-08-01  14603
2002-09-01  14596
2002-10-01  14400
2002-11-01  14242
2002-12-01  14228
2003-01-01  14655
2003-02-01  14689
2003-03-01  14749
2003-04-01  14762
2003-05-01  15067
2003-06-01  15130
2003-07-01  15291
2003-08-01  15142
2003-09-01  14941
2003-10-01  15404
2003-11-01  15492
2003-12-01  15309
2004-01-01  15967
2004-02-01  15814
2004-03-01  15804
2004-04-01  15980
2004-05-01  15982
2004-06-01  15663
2004-07-01  15740
2004-08-01  15345
2004-09-01  15233
2004-10-01  15252
2004-11-01  15378
2004-12-01  15550
2005-01-01  15513
2005-02-01  15380
2005-03-01  15399
2005-04-01  15618
2005-05-01  15492
2005-06-01  15653
2005-07-01  15748
2005-08-01  15574
2005-09-01  15323
2005-10-01  15237
2005-11-01  15201
2005-12-01  15136
2006-01-01  14996
2006-02-01  15039
2006-03-01  14978
2006-04-01  15223
2006-05-01  15219
2006-06-01  15452
2006-07-01  15597
2006-08-01  15241
2006-09-01  15144
2006-10-01  15112
2006-11-01  15339
2006-12-01  15447
2007-01-01  15684
2007-02-01  15589
2007-03-01  15449
2007-04-01  15519
2007-05-01  15740
2007-06-01  15734
2007-07-01  15890
2007-08-01  15644
2007-09-01  15519
2007-10-01  15606
2007-11-01  15860
2007-12-01  15782
2008-01-01  15203
2008-02-01  14927
2008-03-01  15155
2008-04-01  15323
2008-05-01  15441
2008-06-01  15502
2008-07-01  15653
2008-08-01  15651
2008-09-01  15545
2008-10-01  15410
2008-11-01  15809
2008-12-01  15708
2009-01-01  15192
2009-02-01  15379
2009-03-01  15214
2009-04-01  15285
2009-05-01  15567
2009-06-01  15685
2009-07-01  15589
2009-08-01  15189
2009-09-01  15103
2009-10-01  15195
2009-11-01  15336
2009-12-01  15462
2010-01-01  15247
2010-02-01  15113
2010-03-01  14976
2010-04-01  15236
2010-05-01  15247
2010-06-01  15424
2010-07-01  15527
2010-08-01  15323
2010-09-01  15281
2010-10-01  15150
2010-11-01  14994
2010-12-01  14806
2011-01-01  14664
2011-02-01  14619
