Title:               New Private Housing Units Authorized by Building Permits for North Carolina
Series ID:           NCBPPRIV
Source:              U.S. Bureau of the Census
Release:             Housing Units Authorized By Building Permits (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          1988-01-01 to 2018-10-01
Last Updated:        2018-11-28 8:01 AM CST
Notes:               

DATE        VALUE
2001-06-01   6951
2001-07-01   6085
2001-08-01   6761
2001-09-01   6392
2001-10-01   6194
2001-11-01   6640
2001-12-01   5372
2002-01-01   5417
2002-02-01   6954
2002-03-01   6487
2002-04-01   7636
2002-05-01   7220
2002-06-01   7167
2002-07-01   6922
2002-08-01   6997
2002-09-01   6173
2002-10-01   6970
2002-11-01   5759
2002-12-01   8234
2003-01-01   6068
2003-02-01   4732
2003-03-01   6322
2003-04-01   6495
2003-05-01   6939
2003-06-01   7342
2003-07-01   6766
2003-08-01   7357
2003-09-01   6638
2003-10-01   7522
2003-11-01   5623
2003-12-01   6303
2004-01-01   6131
2004-02-01   6539
2004-03-01   9659
2004-04-01   8333
2004-05-01   8281
2004-06-01   8050
2004-07-01   8985
2004-08-01   8130
2004-09-01   7022
2004-10-01   6600
2004-11-01   6895
2004-12-01   6887
2005-01-01   6592
2005-02-01   7315
2005-03-01   8254
2005-04-01   9125
2005-05-01   8469
2005-06-01   9163
2005-07-01   8136
2005-08-01   9413
2005-09-01   8245
2005-10-01   7856
2005-11-01   7394
2005-12-01   7191
2006-01-01   8233
2006-02-01   8144
2006-03-01  10140
2006-04-01   9240
2006-05-01   9522
2006-06-01   8974
2006-07-01   7312
2006-08-01   8767
2006-09-01   7789
2006-10-01   7794
2006-11-01   6145
2006-12-01   7608
2007-01-01   7731
2007-02-01   6864
2007-03-01   8554
2007-04-01   7148
2007-05-01   8111
2007-06-01   7844
2007-07-01   6921
2007-08-01   6766
2007-09-01   6185
2007-10-01   5588
2007-11-01   5920
2007-12-01   4419
2008-01-01   5375
2008-02-01   5396
2008-03-01   5348
2008-04-01   5067
2008-05-01   4962
2008-06-01   5530
2008-07-01   6701
2008-08-01   4179
2008-09-01   3692
2008-10-01   3551
2008-11-01   2247
2008-12-01   2260
2009-01-01   2522
2009-02-01   2119
2009-03-01   2640
2009-04-01   3096
2009-05-01   3331
2009-06-01   3502
2009-07-01   2660
2009-08-01   3325
2009-09-01   3375
2009-10-01   2757
2009-11-01   2398
2009-12-01   2364
2010-01-01   2513
2010-02-01   2943
2010-03-01   3680
2010-04-01   3284
2010-05-01   3028
2010-06-01   3323
2010-07-01   3191
2010-08-01   3046
2010-09-01   2248
2010-10-01   2365
2010-11-01   2262
2010-12-01   1994
2011-01-01   2034
2011-02-01   3031
2011-03-01   3406
2011-04-01   2681
2011-05-01   2955
2011-06-01   3037
2011-07-01   2583
2011-08-01   3040
2011-09-01   2221
2011-10-01   2469
2011-11-01   3089
2011-12-01   2417
2012-01-01   3978
2012-02-01   3398
2012-03-01   3750
2012-04-01   3085
2012-05-01   5141
2012-06-01   3883
2012-07-01   4578
2012-08-01   3874
2012-09-01   2990
2012-10-01   4930
2012-11-01   4415
2012-12-01   3522
2013-01-01   3832
2013-02-01   3581
2013-03-01   3861
2013-04-01   4668
2013-05-01   4726
2013-06-01   4311
2013-07-01   3828
2013-08-01   4298
2013-09-01   3896
2013-10-01   4599
2013-11-01   3645
2013-12-01   4086
2014-01-01   3389
2014-02-01   3469
2014-03-01   4164
2014-04-01   4433
2014-05-01   4196
2014-06-01   3763
2014-07-01   4684
2014-08-01   4925
2014-09-01   4669
2014-10-01   4538
2014-11-01   3807
2014-12-01   4277
2015-01-01   3544
2015-02-01   4164
2015-03-01   4010
2015-04-01   4610
2015-05-01   4937
2015-06-01   4658
2015-07-01   4940
2015-08-01   4301
2015-09-01   3905
2015-10-01   4667
2015-11-01   3518
2015-12-01   4364
2016-01-01   2979
2016-02-01   3847
2016-03-01   4663
2016-04-01   5037
2016-05-01   4867
2016-06-01   5210
2016-07-01   5922
2016-08-01   5362
2016-09-01   5124
2016-10-01   4786
2016-11-01   4441
2016-12-01   3792
2017-01-01   4304
2017-02-01   4898
2017-03-01   6641
2017-04-01   3877
2017-05-01   5315
2017-06-01   5410
2017-07-01   6242
2017-08-01   6730
2017-09-01   5068
2017-10-01   5899
2017-11-01   5774
2017-12-01   4694
2018-01-01   6168
2018-02-01   6325
2018-03-01   5582
2018-04-01   6368
2018-05-01   6649
2018-06-01   5519
2018-07-01   6055
2018-08-01   7348
2018-09-01   4247
2018-10-01   5022
