Title:               Civilian Labor Force in Bertie County, NC
Series ID:           NCBERT5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE       VALUE
1990-01-01  8674
1990-02-01  8734
1990-03-01  9237
1990-04-01  9014
1990-05-01  9221
1990-06-01  9307
1990-07-01  9112
1990-08-01  8834
1990-09-01  9054
1990-10-01  9097
1990-11-01  9149
1990-12-01  9029
1991-01-01  8765
1991-02-01  8952
1991-03-01  9073
1991-04-01  9141
1991-05-01  9279
1991-06-01  9427
1991-07-01  9366
1991-08-01  9131
1991-09-01  9319
1991-10-01  9206
1991-11-01  9117
1991-12-01  8709
1992-01-01  9134
1992-02-01  9248
1992-03-01  9190
1992-04-01  9319
1992-05-01  9430
1992-06-01  9589
1992-07-01  9408
1992-08-01  9351
1992-09-01  9253
1992-10-01  9258
1992-11-01  9143
1992-12-01  9062
1993-01-01  8978
1993-02-01  8983
1993-03-01  8991
1993-04-01  8909
1993-05-01  9091
1993-06-01  9165
1993-07-01  8972
1993-08-01  9030
1993-09-01  8969
1993-10-01  8970
1993-11-01  8919
1993-12-01  8593
1994-01-01  8607
1994-02-01  8781
1994-03-01  8811
1994-04-01  8739
1994-05-01  9116
1994-06-01  9113
1994-07-01  9126
1994-08-01  9146
1994-09-01  9456
1994-10-01  9403
1994-11-01  9127
1994-12-01  9016
1995-01-01  9178
1995-02-01  9200
1995-03-01  9432
1995-04-01  9472
1995-05-01  9455
1995-06-01  9596
1995-07-01  9833
1995-08-01  9638
1995-09-01  9356
1995-10-01  9415
1995-11-01  9449
1995-12-01  9152
1996-01-01  9181
1996-02-01  9234
1996-03-01  9266
1996-04-01  9134
1996-05-01  9539
1996-06-01  9462
1996-07-01  9658
1996-08-01  9502
1996-09-01  9535
1996-10-01  9666
1996-11-01  9658
1996-12-01  9331
1997-01-01  9300
1997-02-01  9302
1997-03-01  9410
1997-04-01  9319
1997-05-01  9457
1997-06-01  9586
1997-07-01  9416
1997-08-01  9447
1997-09-01  9238
1997-10-01  9131
1997-11-01  9049
1997-12-01  8807
1998-01-01  8845
1998-02-01  8723
1998-03-01  8851
1998-04-01  8816
1998-05-01  8960
1998-06-01  8932
1998-07-01  9106
1998-08-01  9168
1998-09-01  9149
1998-10-01  9250
1998-11-01  9227
1998-12-01  9019
1999-01-01  8915
1999-02-01  8917
1999-03-01  9003
1999-04-01  8858
1999-05-01  8914
1999-06-01  8932
1999-07-01  8844
1999-08-01  8855
1999-09-01  9001
1999-10-01  9043
1999-11-01  8829
1999-12-01  8429
2000-01-01  8438
2000-02-01  8318
2000-03-01  8546
2000-04-01  8419
2000-05-01  8385
2000-06-01  8531
2000-07-01  8360
2000-08-01  8499
2000-09-01  8259
2000-10-01  8490
2000-11-01  8272
2000-12-01  8284
2001-01-01  8389
2001-02-01  8312
2001-03-01  8321
2001-04-01  8266
2001-05-01  8327
2001-06-01  8266
2001-07-01  8308
2001-08-01  8332
2001-09-01  8308
2001-10-01  8415
2001-11-01  8344
2001-12-01  8237
2002-01-01  8208
2002-02-01  8215
2002-03-01  8097
2002-04-01  8199
2002-05-01  8217
2002-06-01  8130
2002-07-01  8149
2002-08-01  8109
2002-09-01  8149
2002-10-01  8174
2002-11-01  8030
2002-12-01  8031
2003-01-01  8323
2003-02-01  8357
2003-03-01  8332
2003-04-01  8476
2003-05-01  8533
2003-06-01  8457
2003-07-01  8565
2003-08-01  8519
2003-09-01  8488
2003-10-01  8727
2003-11-01  8613
2003-12-01  8465
2004-01-01  8390
2004-02-01  8301
2004-03-01  8333
2004-04-01  8347
2004-05-01  8342
2004-06-01  8235
2004-07-01  8398
2004-08-01  8212
2004-09-01  8285
2004-10-01  8435
2004-11-01  8485
2004-12-01  8501
2005-01-01  8623
2005-02-01  8553
2005-03-01  8580
2005-04-01  9011
2005-05-01  8916
2005-06-01  8840
2005-07-01  8897
2005-08-01  8775
2005-09-01  8778
2005-10-01  8785
2005-11-01  8749
2005-12-01  8720
2006-01-01  8682
2006-02-01  8615
2006-03-01  8556
2006-04-01  8779
2006-05-01  8812
2006-06-01  8913
2006-07-01  8860
2006-08-01  8640
2006-09-01  8654
2006-10-01  8733
2006-11-01  8780
2006-12-01  8756
2007-01-01  8934
2007-02-01  8735
2007-03-01  8754
2007-04-01  8870
2007-05-01  8902
2007-06-01  8933
2007-07-01  8810
2007-08-01  8574
2007-09-01  8679
2007-10-01  8833
2007-11-01  8936
2007-12-01  8858
2008-01-01  8638
2008-02-01  8437
2008-03-01  8528
2008-04-01  8482
2008-05-01  8610
2008-06-01  8796
2008-07-01  8800
2008-08-01  8694
2008-09-01  8717
2008-10-01  8747
2008-11-01  8997
2008-12-01  8876
2009-01-01  9041
2009-02-01  9028
2009-03-01  8910
2009-04-01  8973
2009-05-01  9114
2009-06-01  9093
2009-07-01  9136
2009-08-01  8887
2009-09-01  8975
2009-10-01  9037
2009-11-01  9081
2009-12-01  8923
2010-01-01  9372
2010-02-01  9281
2010-03-01  9234
2010-04-01  9250
2010-05-01  9268
2010-06-01  9199
2010-07-01  9140
2010-08-01  9134
2010-09-01  9232
2010-10-01  9148
2010-11-01  9094
2010-12-01  8942
2011-01-01  9022
2011-02-01  8985
2011-03-01  9050
2011-04-01  9051
2011-05-01  9134
2011-06-01  9161
2011-07-01  9053
2011-08-01  9133
2011-09-01  9114
2011-10-01  9122
2011-11-01  9071
2011-12-01  8946
2012-01-01  8645
2012-02-01  8692
2012-03-01  8637
2012-04-01  8623
2012-05-01  8766
2012-06-01  8781
2012-07-01  8779
2012-08-01  8582
2012-09-01  8669
2012-10-01  8681
2012-11-01  8628
2012-12-01  8535
2013-01-01  8444
2013-02-01  8470
2013-03-01  8326
2013-04-01  8275
2013-05-01  8448
2013-06-01  8525
2013-07-01  8547
2013-08-01  8414
2013-09-01  8472
2013-10-01  8618
2013-11-01  8497
2013-12-01  8490
2014-01-01  8462
2014-02-01  8443
2014-03-01  8373
2014-04-01  8409
2014-05-01  8559
2014-06-01  8660
2014-07-01  8567
2014-08-01  8325
2014-09-01  8489
2014-10-01  8703
2014-11-01  8726
2014-12-01  8575
2015-01-01  8668
2015-02-01  8617
2015-03-01  8770
2015-04-01  8589
2015-05-01  8629
2015-06-01  8701
2015-07-01  8628
2015-08-01  8431
2015-09-01  8499
