Title:               Civilian Labor Force in Brunswick County, NC
Series ID:           NCBRUN9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  23770
1990-02-01  24006
1990-03-01  23887
1990-04-01  24617
1990-05-01  25071
1990-06-01  25256
1990-07-01  25332
1990-08-01  25157
1990-09-01  24847
1990-10-01  24626
1990-11-01  24819
1990-12-01  25042
1991-01-01  24976
1991-02-01  25151
1991-03-01  24680
1991-04-01  25697
1991-05-01  26008
1991-06-01  26832
1991-07-01  26432
1991-08-01  26313
1991-09-01  26086
1991-10-01  26138
1991-11-01  26151
1991-12-01  26155
1992-01-01  26092
1992-02-01  26308
1992-03-01  26336
1992-04-01  26783
1992-05-01  27261
1992-06-01  28105
1992-07-01  28179
1992-08-01  27716
1992-09-01  27414
1992-10-01  27219
1992-11-01  27467
1992-12-01  27536
1993-01-01  27872
1993-02-01  28090
1993-03-01  27957
1993-04-01  27620
1993-05-01  28076
1993-06-01  28530
1993-07-01  28644
1993-08-01  28034
1993-09-01  27519
1993-10-01  27966
1993-11-01  28109
1993-12-01  28102
1994-01-01  28869
1994-02-01  28861
1994-03-01  28186
1994-04-01  27996
1994-05-01  28160
1994-06-01  28864
1994-07-01  29341
1994-08-01  29339
1994-09-01  28686
1994-10-01  28695
1994-11-01  28851
1994-12-01  28761
1995-01-01  29276
1995-02-01  28896
1995-03-01  28627
1995-04-01  28873
1995-05-01  29339
1995-06-01  29875
1995-07-01  29740
1995-08-01  29564
1995-09-01  29356
1995-10-01  29661
1995-11-01  29828
1995-12-01  29995
1996-01-01  29886
1996-02-01  30363
1996-03-01  30554
1996-04-01  30562
1996-05-01  31525
1996-06-01  31855
1996-07-01  32030
1996-08-01  31426
1996-09-01  30839
1996-10-01  30947
1996-11-01  31162
1996-12-01  31379
1997-01-01  32117
1997-02-01  31817
1997-03-01  32215
1997-04-01  31995
1997-05-01  32729
1997-06-01  33192
1997-07-01  33196
1997-08-01  32767
1997-09-01  32316
1997-10-01  31599
1997-11-01  31972
1997-12-01  32034
1998-01-01  33050
1998-02-01  33160
1998-03-01  33054
1998-04-01  32827
1998-05-01  33179
1998-06-01  33584
