Title:               Resident Population in Buncombe County, NC
Series ID:           NCBUNC1POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:21 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01  145.056
1971-01-01  148.000
1972-01-01  148.800
1973-01-01  150.500
1974-01-01  152.400
1975-01-01  153.400
1976-01-01  153.800
1977-01-01  155.800
1978-01-01  158.200
1979-01-01  159.900
1980-01-01  160.934
1981-01-01  161.941
1982-01-01  163.693
1983-01-01  163.810
1984-01-01  165.347
1985-01-01  167.134
1986-01-01  168.425
1987-01-01  169.576
1988-01-01  171.015
1989-01-01  173.134
1990-01-01  175.204
1991-01-01  178.409
1992-01-01  181.710
1993-01-01  185.738
1994-01-01  189.316
1995-01-01  192.997
1996-01-01  196.170
1997-01-01  198.814
1998-01-01  201.675
1999-01-01  204.340
2000-01-01  207.109
2001-01-01  208.522
2002-01-01  210.780
2003-01-01  213.325
2004-01-01  215.864
2005-01-01  218.642
2006-01-01  222.880
2007-01-01  226.638
2008-01-01  229.156
2009-01-01  231.226
2010-01-01  238.733
2011-01-01  241.224
2012-01-01  243.741
2013-01-01  246.948
2014-01-01  249.302
2015-01-01  252.149
2016-01-01  255.334
2017-01-01  257.607
