Title:               Civilian Labor Force in Buncombe County, NC
Series ID:           NCBUNC1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE         VALUE
1990-01-01   88652
1990-02-01   88644
1990-03-01   89406
1990-04-01   89888
1990-05-01   91711
1990-06-01   93670
1990-07-01   93994
1990-08-01   94001
1990-09-01   92354
1990-10-01   91976
1990-11-01   91941
1990-12-01   92127
1991-01-01   91249
1991-02-01   92200
1991-03-01   92479
1991-04-01   92560
1991-05-01   93886
1991-06-01   96281
1991-07-01   96796
1991-08-01   97237
1991-09-01   95623
1991-10-01   95925
1991-11-01   96394
1991-12-01   95244
1992-01-01   93503
1992-02-01   94251
1992-03-01   94285
1992-04-01   94356
1992-05-01   95992
1992-06-01   98957
1992-07-01   99385
1992-08-01   98878
1992-09-01   97405
1992-10-01   97179
1992-11-01   98163
1992-12-01   98563
1993-01-01   96248
1993-02-01   97190
1993-03-01   96586
1993-04-01   97287
1993-05-01   98503
1993-06-01  100244
1993-07-01  100904
1993-08-01   99752
1993-09-01   97438
1993-10-01   98401
1993-11-01   98598
1993-12-01   98561
1994-01-01   96772
1994-02-01   97077
1994-03-01   97240
1994-04-01   98143
1994-05-01   98738
1994-06-01  100267
1994-07-01  100886
1994-08-01  100950
1994-09-01   98964
1994-10-01  100340
1994-11-01  101035
1994-12-01  100837
1995-01-01   98410
1995-02-01   98386
1995-03-01   99068
1995-04-01   98064
1995-05-01   98101
1995-06-01   98354
1995-07-01  101453
1995-08-01   99747
1995-09-01   99034
1995-10-01  100601
1995-11-01  100657
1995-12-01  100542
1996-01-01   99402
1996-02-01  100951
1996-03-01  101287
1996-04-01  101893
1996-05-01  102964
1996-06-01  103129
1996-07-01  104183
1996-08-01  102506
1996-09-01  103456
1996-10-01  105062
1996-11-01  106029
1996-12-01  106331
1997-01-01  104617
1997-02-01  104593
1997-03-01  105360
1997-04-01  105822
1997-05-01  106905
1997-06-01  107054
1997-07-01  107252
1997-08-01  105596
1997-09-01  105918
1997-10-01  105290
1997-11-01  106408
1997-12-01  105978
1998-01-01  103697
1998-02-01  104171
1998-03-01  104714
1998-04-01  104702
1998-05-01  105172
1998-06-01  105450
1998-07-01  106524
1998-08-01  105386
1998-09-01  105769
1998-10-01  106368
1998-11-01  107154
1998-12-01  106850
1999-01-01  104208
1999-02-01  104998
1999-03-01  105506
1999-04-01  104370
1999-05-01  105241
1999-06-01  104427
1999-07-01  105827
1999-08-01  104699
1999-09-01  104171
1999-10-01  105813
1999-11-01  106250
1999-12-01  106631
2000-01-01  107125
2000-02-01  107695
2000-03-01  108428
2000-04-01  108215
2000-05-01  108236
2000-06-01  108734
2000-07-01  108294
2000-08-01  107641
2000-09-01  107623
2000-10-01  108298
2000-11-01  108117
2000-12-01  107967
2001-01-01  109097
2001-02-01  108763
2001-03-01  109319
2001-04-01  108902
2001-05-01  109324
2001-06-01  109532
2001-07-01  110804
2001-08-01  108907
2001-09-01  109420
2001-10-01  110551
2001-11-01  110314
2001-12-01  110345
2002-01-01  108197
2002-02-01  109685
2002-03-01  110011
2002-04-01  110261
2002-05-01  111313
2002-06-01  111128
2002-07-01  111543
2002-08-01  110339
2002-09-01  110415
2002-10-01  110928
2002-11-01  110493
2002-12-01  110252
