Title:               Civilian Labor Force in Burke County, NC
Series ID:           NCBURK0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
2015-01-01  39174
2015-02-01  39172
2015-03-01  39277
2015-04-01  39183
2015-05-01  39647
2015-06-01  39462
2015-07-01  39515
2015-08-01  39082
2015-09-01  39233
2015-10-01  39400
2015-11-01  39475
2015-12-01  39273
2016-01-01  39388
2016-02-01  39558
2016-03-01  39890
2016-04-01  39621
2016-05-01  39736
2016-06-01  39793
2016-07-01  39914
2016-08-01  39717
2016-09-01  39986
2016-10-01  40190
2016-11-01  40156
2016-12-01  39818
2017-01-01  40273
2017-02-01  40576
2017-03-01  40818
2017-04-01  40743
2017-05-01  40656
2017-06-01  40666
2017-07-01  40715
2017-08-01  40308
2017-09-01  40816
2017-10-01  40550
2017-11-01  40609
2017-12-01  40275
2018-01-01  40656
2018-02-01  40991
2018-03-01  41014
2018-04-01  40825
2018-05-01  41086
2018-06-01  41171
2018-07-01  41120
2018-08-01  40488
2018-09-01  40657
2018-10-01  41128
2018-11-01  41168
