Title:               New Private Housing Units Authorized by Building Permits: 1-Unit Structures for North Carolina
Series ID:           NCBP1FH
Source:              U.S. Bureau of the Census
Release:             Housing Units Authorized By Building Permits (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          1988-01-01 to 2018-10-01
Last Updated:        2018-11-28 8:01 AM CST
Notes:               

DATE        VALUE
2000-07-01   4478
2000-08-01   4895
2000-09-01   4323
2000-10-01   4737
2000-11-01   4204
2000-12-01   3501
2001-01-01   4981
2001-02-01   4856
2001-03-01   5535
2001-04-01   5685
2001-05-01   5889
2001-06-01   5670
2001-07-01   5082
2001-08-01   5699
2001-09-01   4312
2001-10-01   4860
2001-11-01   4748
2001-12-01   4009
2002-01-01   4460
2002-02-01   5761
2002-03-01   5639
2002-04-01   6660
2002-05-01   6168
2002-06-01   5553
2002-07-01   5665
2002-08-01   5964
2002-09-01   5065
2002-10-01   5405
2002-11-01   4769
2002-12-01   5895
2003-01-01   4725
2003-02-01   4117
2003-03-01   5488
2003-04-01   5963
2003-05-01   5921
2003-06-01   6457
2003-07-01   5824
2003-08-01   6247
2003-09-01   5652
2003-10-01   6226
2003-11-01   4598
2003-12-01   5256
2004-01-01   5232
2004-02-01   5487
2004-03-01   7589
2004-04-01   6977
2004-05-01   6664
2004-06-01   7544
2004-07-01   6746
2004-08-01   6942
2004-09-01   5834
2004-10-01   5918
2004-11-01   5425
2004-12-01   5735
2005-01-01   5773
2005-02-01   6226
2005-03-01   7261
2005-04-01   7714
2005-05-01   7440
2005-06-01   8137
2005-07-01   7158
2005-08-01   8251
2005-09-01   7294
2005-10-01   6966
2005-11-01   6482
2005-12-01   5922
2006-01-01   6641
2006-02-01   7001
2006-03-01   8223
2006-04-01   7074
2006-05-01   8597
2006-06-01   7551
2006-07-01   6262
2006-08-01   7295
2006-09-01   6068
2006-10-01   6700
2006-11-01   5086
2006-12-01   5569
2007-01-01   6451
2007-02-01   5696
2007-03-01   7062
2007-04-01   6331
2007-05-01   6961
2007-06-01   6219
2007-07-01   5665
2007-08-01   5962
2007-09-01   4783
2007-10-01   4641
2007-11-01   4090
2007-12-01   3376
2008-01-01   4016
2008-02-01   4046
2008-03-01   3925
2008-04-01   3973
2008-05-01   4132
2008-06-01   3760
2008-07-01   3807
2008-08-01   3187
2008-09-01   3080
2008-10-01   2408
2008-11-01   1633
2008-12-01   1571
2009-01-01   1414
2009-02-01   1780
2009-03-01   2089
2009-04-01   2077
2009-05-01   2439
2009-06-01   2581
2009-07-01   2574
2009-08-01   2394
2009-09-01   2274
2009-10-01   2033
2009-11-01   1919
2009-12-01   2209
