Title:               New Private Housing Units Authorized by Building Permits for Durham, NC (MSA)
Series ID:           DURH537BPPRIV
Source:              U.S. Bureau of the Census
Release:             Housing Units Authorized By Building Permits (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          2004-01-01 to 2018-10-01
Last Updated:        2018-11-28 8:01 AM CST
Notes:               The Saint Louis Federal Reserve Bank uses the most recent Metropolitan
                     Statistical Area definitions released by the Office of Management and
                     Budget. For more information on specific definitions visit
                     https://census.gov/programs-surveys/metro-micro.html.

DATE       VALUE
2004-01-01   494
2004-02-01   601
2004-03-01   362
2004-04-01   452
2004-05-01   379
2004-06-01   400
2004-07-01   417
2004-08-01   657
2004-09-01   361
2004-10-01   324
2004-11-01   251
2004-12-01   328
2005-01-01   324
2005-02-01   364
2005-03-01   410
2005-04-01   448
2005-05-01   398
2005-06-01   381
2005-07-01   350
2005-08-01   428
2005-09-01   408
2005-10-01   324
2005-11-01   320
2005-12-01   261
2006-01-01   290
2006-02-01   387
2006-03-01   502
2006-04-01   367
2006-05-01   400
2006-06-01   358
2006-07-01   259
2006-08-01   321
2006-09-01   252
2006-10-01   275
2006-11-01   200
2006-12-01   410
2007-01-01   236
2007-02-01   253
2007-03-01   257
2007-04-01   260
2007-05-01   504
2007-06-01   391
2007-07-01   297
2007-08-01   248
2007-09-01   200
2007-10-01   143
2007-11-01   233
2007-12-01   195
2008-01-01   230
2008-02-01   207
2008-03-01   257
2008-04-01   235
2008-05-01   199
2008-06-01   207
2008-07-01   233
2008-08-01   162
2008-09-01   147
2008-10-01   127
2008-11-01    98
2008-12-01   114
2009-01-01   372
2009-02-01   129
2009-03-01   134
2009-04-01   361
2009-05-01   129
2009-06-01   116
2009-07-01   155
2009-08-01   134
2009-09-01   109
2009-10-01   130
2009-11-01   185
2009-12-01   193
2010-01-01   139
2010-02-01   133
2010-03-01   174
2010-04-01   199
2010-05-01   150
2010-06-01   156
2010-07-01   345
2010-08-01   169
2010-09-01   114
2010-10-01    93
2010-11-01   156
2010-12-01   102
2011-01-01   141
2011-02-01    96
2011-03-01   219
2011-04-01   159
2011-05-01   169
2011-06-01   218
2011-07-01   137
2011-08-01   209
2011-09-01   181
2011-10-01   108
2011-11-01   151
2011-12-01   382
2012-01-01   666
2012-02-01   198
2012-03-01   173
2012-04-01   184
2012-05-01   152
2012-06-01   134
2012-07-01   769
2012-08-01   179
2012-09-01   224
2012-10-01   182
2012-11-01   197
2012-12-01   140
2013-01-01   131
2013-02-01   159
2013-03-01   228
2013-04-01   344
2013-05-01   356
2013-06-01   311
2013-07-01   298
2013-08-01   702
2013-09-01   329
2013-10-01   196
2013-11-01   358
2013-12-01   135
2014-01-01   316
2014-02-01   187
2014-03-01   129
2014-04-01   176
2014-05-01   426
2014-06-01   214
2014-07-01   197
2014-08-01   210
2014-09-01   477
2014-10-01   209
2014-11-01   344
2014-12-01   502
2015-01-01   171
2015-02-01   446
2015-03-01   427
2015-04-01   257
2015-05-01   264
2015-06-01   237
2015-07-01   606
2015-08-01   351
2015-09-01   216
2015-10-01   231
2015-11-01   207
2015-12-01   669
2016-01-01   211
2016-02-01   891
2016-03-01   246
2016-04-01   373
2016-05-01   364
2016-06-01   308
2016-07-01   351
2016-08-01   297
2016-09-01   438
2016-10-01   338
2016-11-01   313
2016-12-01   305
2017-01-01   355
2017-02-01   345
2017-03-01   399
2017-04-01   361
2017-05-01   411
2017-06-01   419
2017-07-01   371
2017-08-01   428
2017-09-01   335
2017-10-01   401
2017-11-01   361
2017-12-01   362
2018-01-01   384
2018-02-01   322
2018-03-01   427
2018-04-01   749
2018-05-01   506
2018-06-01   768
2018-07-01   422
2018-08-01   410
2018-09-01   330
2018-10-01   400
