Title:               Civilian Labor Force in Durham-Chapel Hill, NC (MSA)
Series ID:           DURH537LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:16 AM CST
Notes:               

DATE         VALUE
1990-01-01  187945
1990-02-01  191113
1990-03-01  192250
1990-04-01  192263
1990-05-01  193773
1990-06-01  195398
1990-07-01  198401
1990-08-01  197130
1990-09-01  194138
1990-10-01  195276
1990-11-01  195377
1990-12-01  196301
1991-01-01  190712
1991-02-01  193433
1991-03-01  194086
1991-04-01  195457
1991-05-01  195129
1991-06-01  197506
1991-07-01  200409
1991-08-01  200234
1991-09-01  199976
1991-10-01  201896
1991-11-01  201352
1991-12-01  200166
1992-01-01  196488
1992-02-01  197828
1992-03-01  198700
1992-04-01  197236
1992-05-01  199063
1992-06-01  201722
1992-07-01  206586
1992-08-01  205393
1992-09-01  203442
1992-10-01  204600
1992-11-01  204597
1992-12-01  204107
1993-01-01  200126
1993-02-01  202450
1993-03-01  202002
1993-04-01  201092
1993-05-01  203724
1993-06-01  204590
1993-07-01  207472
1993-08-01  206917
1993-09-01  203566
1993-10-01  202011
1993-11-01  204631
1993-12-01  203911
1994-01-01  202884
1994-02-01  204688
1994-03-01  204843
1994-04-01  204672
1994-05-01  205632
1994-06-01  207180
1994-07-01  207003
1994-08-01  208913
1994-09-01  206416
1994-10-01  208589
1994-11-01  209654
1994-12-01  208446
1995-01-01  204650
1995-02-01  206832
1995-03-01  207114
1995-04-01  206698
1995-05-01  207605
1995-06-01  209407
1995-07-01  212466
1995-08-01  211793
1995-09-01  211511
1995-10-01  214763
1995-11-01  215134
1995-12-01  213392
1996-01-01  209219
1996-02-01  213818
1996-03-01  216053
1996-04-01  215193
1996-05-01  217883
1996-06-01  219512
1996-07-01  222743
1996-08-01  221019
1996-09-01  220757
1996-10-01  224219
1996-11-01  225165
1996-12-01  224383
1997-01-01  219008
1997-02-01  222143
1997-03-01  224273
1997-04-01  225381
1997-05-01  225374
1997-06-01  226482
1997-07-01  227927
1997-08-01  225695
1997-09-01  224225
1997-10-01  228570
1997-11-01  229968
1997-12-01  227873
1998-01-01  222626
1998-02-01  225505
1998-03-01  226360
1998-04-01  227696
1998-05-01  227614
