Title:               All Employees: Total Nonfarm in Durham-Chapel Hill, NC (MSA)
Series ID:           DURH537NA
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:34 PM CST
Notes:               

DATE        VALUE
1990-01-01  214.8
1990-02-01  215.9
1990-03-01  217.5
1990-04-01  219.2
1990-05-01  219.4
1990-06-01  219.7
1990-07-01  216.6
1990-08-01  216.9
1990-09-01  219.0
1990-10-01  223.4
1990-11-01  219.9
1990-12-01  220.1
1991-01-01  217.7
1991-02-01  219.6
1991-03-01  219.8
1991-04-01  222.2
1991-05-01  220.4
1991-06-01  219.1
1991-07-01  218.8
1991-08-01  218.6
1991-09-01  220.2
1991-10-01  224.8
1991-11-01  221.6
1991-12-01  222.1
1992-01-01  221.8
1992-02-01  221.9
1992-03-01  223.2
1992-04-01  221.4
1992-05-01  222.7
1992-06-01  223.2
1992-07-01  224.8
1992-08-01  224.5
1992-09-01  225.5
1992-10-01  224.9
1992-11-01  222.3
1992-12-01  225.0
1993-01-01  226.3
1993-02-01  225.9
1993-03-01  224.1
1993-04-01  224.1
1993-05-01  223.8
1993-06-01  224.0
1993-07-01  224.5
1993-08-01  225.5
1993-09-01  224.8
1993-10-01  224.7
1993-11-01  225.9
1993-12-01  225.6
1994-01-01  228.1
1994-02-01  227.5
1994-03-01  228.3
1994-04-01  228.1
1994-05-01  226.9
1994-06-01  227.0
1994-07-01  224.9
1994-08-01  226.2
1994-09-01  224.4
1994-10-01  225.6
1994-11-01  225.7
1994-12-01  227.1
1995-01-01  230.6
1995-02-01  229.5
1995-03-01  230.8
1995-04-01  230.6
1995-05-01  235.4
1995-06-01  237.8
1995-07-01  240.3
1995-08-01  241.3
1995-09-01  244.2
1995-10-01  244.2
1995-11-01  243.9
1995-12-01  241.4
1996-01-01  244.9
1996-02-01  246.6
1996-03-01  247.2
1996-04-01  238.7
1996-05-01  240.9
1996-06-01  241.1
1996-07-01  240.9
1996-08-01  240.3
1996-09-01  243.0
1996-10-01  243.9
1996-11-01  245.4
1996-12-01  244.4
1997-01-01  244.8
1997-02-01  245.1
1997-03-01  245.4
1997-04-01  245.9
1997-05-01  244.3
1997-06-01  244.9
1997-07-01  246.1
1997-08-01  245.1
1997-09-01  244.8
1997-10-01  251.3
1997-11-01  251.5
1997-12-01  250.8
1998-01-01  249.2
1998-02-01  249.8
1998-03-01  249.5
1998-04-01  250.2
1998-05-01  249.9
1998-06-01  249.2
1998-07-01  247.5
1998-08-01  247.1
1998-09-01  249.6
1998-10-01  251.2
1998-11-01  251.0
1998-12-01  249.8
1999-01-01  254.2
1999-02-01  256.8
1999-03-01  253.8
1999-04-01  253.1
1999-05-01  253.6
1999-06-01  254.4
1999-07-01  255.4
1999-08-01  255.9
1999-09-01  256.7
1999-10-01  256.0
1999-11-01  256.0
1999-12-01  256.0
2000-01-01  252.5
2000-02-01  253.9
2000-03-01  254.4
2000-04-01  255.1
2000-05-01  255.2
2000-06-01  255.1
2000-07-01  255.4
2000-08-01  255.1
2000-09-01  255.1
2000-10-01  256.0
2000-11-01  256.4
2000-12-01  258.4
2001-01-01  260.1
2001-02-01  261.0
2001-03-01  261.0
2001-04-01  260.8
2001-05-01  260.9
2001-06-01  259.9
2001-07-01  261.9
2001-08-01  258.6
2001-09-01  256.9
2001-10-01  257.6
2001-11-01  256.5
2001-12-01  257.8
2002-01-01  259.3
2002-02-01  259.4
2002-03-01  260.4
2002-04-01  262.2
2002-05-01  263.1
2002-06-01  261.2
2002-07-01  259.5
2002-08-01  259.7
2002-09-01  258.7
2002-10-01  257.4
2002-11-01  256.3
2002-12-01  254.8
2003-01-01  254.2
2003-02-01  253.8
2003-03-01  253.6
2003-04-01  251.7
2003-05-01  252.8
2003-06-01  252.5
2003-07-01  253.2
2003-08-01  253.8
2003-09-01  253.8
2003-10-01  254.4
2003-11-01  254.0
2003-12-01  254.3
2004-01-01  254.7
2004-02-01  255.0
2004-03-01  254.9
2004-04-01  255.7
2004-05-01  257.0
2004-06-01  257.5
2004-07-01  258.1
2004-08-01  258.2
2004-09-01  259.1
2004-10-01  258.9
2004-11-01  259.5
2004-12-01  259.7
2005-01-01  258.7
2005-02-01  259.3
2005-03-01  260.1
2005-04-01  260.4
2005-05-01  259.7
2005-06-01  259.6
2005-07-01  262.6
2005-08-01  263.2
2005-09-01  265.2
2005-10-01  264.2
2005-11-01  264.7
2005-12-01  265.9
2006-01-01  267.5
2006-02-01  267.6
2006-03-01  268.3
2006-04-01  269.1
2006-05-01  270.5
2006-06-01  270.8
2006-07-01  272.2
2006-08-01  272.5
2006-09-01  272.8
2006-10-01  274.7
2006-11-01  275.8
2006-12-01  276.9
2007-01-01  276.8
2007-02-01  277.6
2007-03-01  278.3
2007-04-01  278.0
2007-05-01  278.3
2007-06-01  279.3
2007-07-01  280.0
2007-08-01  280.2
2007-09-01  280.0
2007-10-01  279.1
2007-11-01  280.4
2007-12-01  281.0
2008-01-01  283.6
2008-02-01  283.6
2008-03-01  283.6
2008-04-01  282.3
2008-05-01  283.1
2008-06-01  283.4
2008-07-01  282.6
2008-08-01  282.4
2008-09-01  283.8
2008-10-01  280.9
2008-11-01  280.7
2008-12-01  280.2
2009-01-01  279.8
2009-02-01  279.1
2009-03-01  278.3
2009-04-01  275.5
2009-05-01  275.3
2009-06-01  276.7
2009-07-01  271.6
2009-08-01  271.9
2009-09-01  272.5
2009-10-01  269.9
2009-11-01  269.6
2009-12-01  269.2
2010-01-01  268.4
2010-02-01  268.7
2010-03-01  269.0
2010-04-01  269.5
2010-05-01  270.4
2010-06-01  271.4
2010-07-01  273.1
2010-08-01  272.1
2010-09-01  271.3
2010-10-01  271.2
2010-11-01  271.5
2010-12-01  271.6
2011-01-01  271.5
2011-02-01  271.5
2011-03-01  271.3
2011-04-01  273.3
2011-05-01  272.5
2011-06-01  272.4
2011-07-01  272.6
2011-08-01  272.5
2011-09-01  274.1
2011-10-01  274.6
2011-11-01  275.7
2011-12-01  276.2
2012-01-01  277.5
2012-02-01  277.9
2012-03-01  278.1
2012-04-01  278.2
2012-05-01  277.8
2012-06-01  277.7
2012-07-01  278.3
2012-08-01  277.8
2012-09-01  279.7
2012-10-01  280.6
2012-11-01  281.2
2012-12-01  281.6
2013-01-01  281.4
2013-02-01  282.0
2013-03-01  282.6
2013-04-01  283.0
2013-05-01  283.1
2013-06-01  283.6
2013-07-01  283.5
2013-08-01  283.1
2013-09-01  284.9
2013-10-01  285.7
2013-11-01  285.6
2013-12-01  286.1
2014-01-01  286.0
2014-02-01  286.1
2014-03-01  287.4
2014-04-01  289.2
2014-05-01  289.0
2014-06-01  289.3
2014-07-01  290.4
2014-08-01  291.5
2014-09-01  290.9
2014-10-01  291.5
2014-11-01  292.0
2014-12-01  292.7
2015-01-01  295.6
2015-02-01  295.7
2015-03-01  294.7
2015-04-01  293.8
2015-05-01  293.9
2015-06-01  293.3
2015-07-01  293.2
2015-08-01  293.7
2015-09-01  295.7
2015-10-01  298.8
2015-11-01  299.6
2015-12-01  299.5
2016-01-01  298.8
2016-02-01  301.1
2016-03-01  302.4
2016-04-01  303.4
2016-05-01  305.3
2016-06-01  308.1
2016-07-01  308.4
2016-08-01  307.6
2016-09-01  307.9
2016-10-01  307.0
2016-11-01  307.0
2016-12-01  308.1
2017-01-01  308.4
2017-02-01  308.9
2017-03-01  309.3
2017-04-01  309.6
2017-05-01  310.2
2017-06-01  310.9
2017-07-01  312.7
2017-08-01  312.1
2017-09-01  311.6
2017-10-01  311.5
2017-11-01  311.0
2017-12-01  310.1
2018-01-01  310.8
2018-02-01  311.0
2018-03-01  312.7
2018-04-01  313.4
2018-05-01  315.8
2018-06-01  319.2
2018-07-01  320.3
2018-08-01  319.3
2018-09-01  317.2
2018-10-01  317.6
2018-11-01  317.5
