Title:               Civilian Labor Force in Durham-Chapel Hill, NC (MSA)
Series ID:           DURH537LF
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Smoothed Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 1:41 PM CST
Notes:               

DATE          VALUE
2008-04-01   261990
2008-05-01   262855
2008-06-01   263649
2008-07-01   264550
2008-08-01   265001
2008-09-01   265405
2008-10-01   265540
2008-11-01   267992
2008-12-01   268292
2009-01-01   267966
2009-02-01   267333
2009-03-01   267272
2009-04-01   267964
2009-05-01   268359
2009-06-01   268224
2009-07-01   267793
2009-08-01   267347
2009-09-01   266839
2009-10-01   266374
2009-11-01   266039
2009-12-01   265539
2010-01-01   259153
2010-02-01   259889
2010-03-01   261357
2010-04-01   263330
2010-05-01   263703
2010-06-01   263917
2010-07-01   264976
2010-08-01   264851
2010-09-01   263209
2010-10-01   262217
2010-11-01   262643
2010-12-01   263289
2011-01-01   263145
2011-02-01   262636
2011-03-01   263232
2011-04-01   264321
2011-05-01   264444
2011-06-01   264077
2011-07-01   264194
2011-08-01   265191
2011-09-01   266398
2011-10-01   267304
2011-11-01   268031
2011-12-01   268432
2012-01-01   268613
2012-02-01   268974
2012-03-01   269297
2012-04-01   269419
2012-05-01   269850
2012-06-01   270208
2012-07-01   270006
2012-08-01   270407
2012-09-01   272022
2012-10-01   273212
2012-11-01   273514
2012-12-01   273764
2013-01-01   273439
2013-02-01   272752
2013-03-01   272531
2013-04-01   272428
2013-05-01   272437
2013-06-01   272715
2013-07-01   272756
2013-08-01   272907
2013-09-01   273088
2013-10-01   272912
2013-11-01   273052
2013-12-01   273323
2014-01-01   273615
2014-02-01   274448
2014-03-01   275107
2014-04-01   274815
2014-05-01   274335
2014-06-01   274631
2014-07-01   275873
2014-08-01   276885
2014-09-01   277136
2014-10-01   277520
2014-11-01   277915
2014-12-01   278879
2015-01-01   280525
2015-02-01   281052
2015-03-01   280441
2015-04-01   280554
2015-05-01   280948
2015-06-01   280225
2015-07-01   279669
2015-08-01   279825
2015-09-01   280609
2015-10-01   282235
2015-11-01   283633
2015-12-01   284253
2016-01-01   285089
2016-02-01   286643
2016-03-01   287332
2016-04-01   287486
2016-05-01   288938
2016-06-01   290501
2016-07-01   290830
2016-08-01   290729
2016-09-01   290839
2016-10-01   291103
2016-11-01   291192
2016-12-01   291215
2017-01-01   291954
2017-02-01   293245
2017-03-01   293950
2017-04-01   294131
2017-05-01   294806
2017-06-01   296121
2017-07-01   297053
2017-08-01   297386
2017-09-01   297474
2017-10-01   296918
2017-11-01   296192
2017-12-01   295726
2018-01-01   295656
2018-02-01   297543
2018-03-01   298969
2018-04-01   298496
2018-05-01   300347
2018-06-01   301419
2018-07-01   302271
2018-08-01   300124
2018-09-01   298912
2018-10-01   300404
2018-11-01   300518
