Title:               Gross Domestic Product by Industry: Private Industries: Transportation and Warehousing for North Carolina
Series ID:           NCTRANSWARENQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   8230.8
2005-04-01   8493.8
2005-07-01   8716.1
2005-10-01   8978.3
2006-01-01   8944.0
2006-04-01   9099.3
2006-07-01   9085.3
2006-10-01   9080.3
2007-01-01   8801.4
2007-04-01   8821.7
2007-07-01   8832.3
2007-10-01   9114.2
2008-01-01   8944.3
2008-04-01   9025.8
2008-07-01   9068.5
2008-10-01   9292.4
2009-01-01   8668.6
2009-04-01   8460.6
2009-07-01   8583.2
2009-10-01   8830.3
2010-01-01   8807.8
2010-04-01   9162.5
2010-07-01   9359.9
2010-10-01   9351.8
2011-01-01   9354.7
2011-04-01   9275.4
2011-07-01   9185.4
2011-10-01   9529.5
2012-01-01   9652.5
2012-04-01   9946.1
2012-07-01   9938.8
2012-10-01   9871.6
2013-01-01   9817.8
2013-04-01   9749.2
2013-07-01   9825.6
2013-10-01  10425.5
2014-01-01  10269.7
2014-04-01  10685.6
2014-07-01  11041.8
2014-10-01  11168.9
2015-01-01  11411.6
2015-04-01  11532.8
2015-07-01  11607.9
2015-10-01  11530.6
2016-01-01  11403.3
2016-04-01  11683.6
2016-07-01  11536.2
2016-10-01  11789.5
2017-01-01  12125.0
2017-04-01  12152.1
2017-07-01  12450.1
2017-10-01  12712.3
2018-01-01  13202.8
2018-04-01  13462.5
