Title:               Total Equity Capital for Commercial Banks in North Carolina
Series ID:           NCTEQC
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Total Equity Capital call item RCFD3210.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE            VALUE
1984-01-01    2183258
1984-04-01    2256526
1984-07-01    2334631
1984-10-01    2411882
1985-01-01    2492002
1985-04-01    2596586
1985-07-01    2735605
1985-10-01    2846457
1986-01-01    2976128
1986-04-01    3100617
1986-07-01    3247324
1986-10-01    3404964
1987-01-01    3499865
1987-04-01    3594070
1987-07-01    3756878
1987-10-01    3754472
1988-01-01    3960932
1988-04-01    4049834
1988-07-01    4136053
1988-10-01    4153569
1989-01-01    4290209
1989-04-01    4407436
1989-07-01    4570417
1989-10-01    4685027
1990-01-01    4812275
1990-04-01    4849281
1990-07-01    4887246
1990-10-01    4939683
1991-01-01    5020992
1991-04-01    5091195
1991-07-01    5210148
1991-10-01    5323815
1992-01-01    5572989
1992-04-01    5751703
1992-07-01    5920499
1992-10-01    5952656
1993-01-01    6219432
1993-04-01    6465309
1993-07-01    6953070
1993-10-01    7088530
1994-01-01    7234857
1994-04-01    7265669
1994-07-01    7400714
1994-10-01    7557284
1995-01-01    8610091
1995-04-01    9066024
1995-07-01   11815500
1995-10-01   12136412
1996-01-01   12447573
1996-04-01   12597026
1996-07-01   12777964
1996-10-01   13646275
1997-01-01   13962730
1997-04-01   29681117
1997-07-01   36190433
1997-10-01   36136000
1998-01-01   40360304
1998-04-01   50467777
1998-07-01   52558333
1998-10-01   58081215
1999-01-01   58301067
1999-04-01   56529502
1999-07-01   74361644
1999-10-01   76827077
2000-01-01   78000043
2000-04-01   76545779
2000-07-01   78021468
2000-10-01   80293767
2001-01-01   83204298
2001-04-01   84953238
2001-07-01   93700638
2001-10-01   92493350
2002-01-01   88724305
2002-04-01   90273508
2002-07-01   93938697
2002-10-01   94378259
2003-01-01   93377146
2003-04-01   93945404
2003-07-01   92022444
2003-10-01   92518042
2004-01-01   95307860
2004-04-01   95295052
2004-07-01   99318758
2004-10-01  101477028
2005-01-01  117613432
2005-04-01  165051172
2005-07-01  164082583
2005-10-01  165437171
2006-01-01  169801229
2006-04-01  169618735
2006-07-01  180372356
2006-10-01  184454877
2007-01-01  184225470
2007-04-01  183975912
2007-07-01  186823288
2007-10-01  203889749
2008-01-01  205958986
2008-04-01  201738604
2008-07-01  204357990
2008-10-01  212383769
2009-01-01  219690956
2009-04-01  239440786
2009-07-01  254025598
2009-10-01  258582248
2010-01-01  194070384
2010-04-01  195892747
2010-07-01  196683270
2010-10-01  197630323
2011-01-01  200704075
2011-04-01  202782187
2011-07-01  206873750
2011-10-01  204639201
2012-01-01  199602622
2012-04-01  202878659
2012-07-01  204119123
2012-10-01  201343063
2013-01-01  203650449
2013-04-01  202049010
2013-07-01  204805522
2013-10-01  203734604
2014-01-01  208452985
2014-04-01  211371891
2014-07-01  211375750
2014-10-01  231782094
2015-01-01  233826161
2015-04-01  232216598
2015-07-01  236341062
2015-10-01  234898462
2016-01-01  243180644
2016-04-01  247560319
2016-07-01  249533540
2016-10-01  243962438
2017-01-01  242591610
2017-04-01  243862184
2017-07-01  245129567
2017-10-01  241981802
2018-01-01  239866116
2018-04-01  239804405
2018-07-01  239290741
