Title:               Total Net Charge-offs for Commercial Banks in North Carolina
Series ID:           NCTNC
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series is constructed as a difference between Charge-offs on
                     Allowance for Loan and Lease Losses call item RIAD4635 and Recoveries
                     on Allowance for Loan and Lease Losses call item RIAD4605.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE           VALUE
1984-01-01      5515
1984-04-01     15583
1984-07-01     28674
1984-10-01     47509
1985-01-01      9026
1985-04-01     19247
1985-07-01     25736
1985-10-01     54482
1986-01-01     18153
1986-04-01     33082
1986-07-01     54629
1986-10-01     81737
1987-01-01     20842
1987-04-01     53803
1987-07-01     85257
1987-10-01    195027
1988-01-01    101538
1988-04-01    129937
1988-07-01    157771
1988-10-01    182150
1989-01-01     17561
1989-04-01     38809
1989-07-01     62534
1989-10-01    106360
1990-01-01     29149
1990-04-01     86023
1990-07-01    150748
1990-10-01    229475
1991-01-01     58641
1991-04-01    157015
1991-07-01    307262
1991-10-01    490854
1992-01-01     57589
1992-04-01     84850
1992-07-01    144332
1992-10-01    269204
1993-01-01     30401
1993-04-01     52729
1993-07-01     82284
1993-10-01    114201
1994-01-01     24316
1994-04-01     28121
1994-07-01     41730
1994-10-01     60783
1995-01-01     24397
1995-04-01     44620
1995-07-01     83064
1995-10-01    143565
1996-01-01    114146
1996-04-01    177525
1996-07-01    233318
1996-10-01    285946
1997-01-01     54303
1997-04-01    488850
1997-07-01    772828
1997-10-01   1068967
1998-01-01    216561
1998-04-01    538838
1998-07-01    859733
1998-10-01   1419340
1999-01-01    486201
1999-04-01    949104
1999-07-01   1679280
1999-10-01   2512083
2000-01-01    603181
2000-04-01   1290550
2000-07-01   1973150
2000-10-01   4283446
2001-01-01    938472
2001-04-01   1952909
2001-07-01   3532602
2001-10-01   5064227
2002-01-01    985076
2002-04-01   2094866
2002-07-01   3198491
2002-10-01   4478057
2003-01-01    826891
2003-04-01   1493416
2003-07-01   2068820
2003-10-01   2623612
2004-01-01    384507
2004-04-01    720273
2004-07-01    928329
2004-10-01   1167386
2005-01-01    229002
2005-04-01    413295
2005-07-01    892140
2005-10-01   1273534
2006-01-01    249974
2006-04-01    444220
2006-07-01    793180
2006-10-01   1234864
2007-01-01    418675
2007-04-01    855497
2007-07-01   1553224
2007-10-01   2689709
2008-01-01   1734416
2008-04-01   4537947
2008-07-01   8187940
2008-10-01   8408898
2009-01-01   4452446
2009-04-01  10619225
2009-07-01  18022863
2009-10-01  25010714
2010-01-01   5079740
2010-04-01   9531449
2010-07-01  13366109
2010-10-01  16853181
2011-01-01   3015377
2011-04-01   6153734
2011-07-01   9243859
2011-10-01  12069951
2012-01-01   2432530
2012-04-01   4659857
2012-07-01   7495004
2012-10-01   9660269
2013-01-01   1532714
2013-04-01   2704864
2013-07-01   3520773
2013-10-01   4297525
2014-01-01    607941
2014-04-01    997347
2014-07-01   1382745
2014-10-01   4802966
2015-01-01   1255391
2015-04-01   2374893
2015-07-01   3344221
2015-10-01   4550522
2016-01-01   1159386
2016-04-01   2182436
2016-07-01   3146073
2016-10-01   4114197
2017-01-01   1008957
2017-04-01   1991794
2017-07-01   2954487
2017-10-01   4251428
2018-01-01    977083
2018-04-01   2016104
2018-07-01   2999151
