Title:               Total Loan and Lease Finance Receivables, Nonaccrual for Commercial Banks in North Carolina
Series ID:           NCTLLFRN
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Total Loan and Lease Finance Receivables,
                     Nonaccrual call item RCFD1403.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE           VALUE
1984-01-01    201861
1984-04-01    186424
1984-07-01    178677
1984-10-01    153719
1985-01-01    155326
1985-04-01    155064
1985-07-01    157769
1985-10-01    159888
1986-01-01    163816
1986-04-01    172722
1986-07-01    203271
1986-10-01    193627
1987-01-01    303432
1987-04-01    319176
1987-07-01    319705
1987-10-01    287995
1988-01-01    199068
1988-04-01    188895
1988-07-01    191553
1988-10-01    190330
1989-01-01    216083
1989-04-01    241454
1989-07-01    291894
1989-10-01    330034
1990-01-01    394458
1990-04-01    564986
1990-07-01    686106
1990-10-01    858275
1991-01-01   1010780
1991-04-01   1052394
1991-07-01   1034662
1991-10-01    870278
1992-01-01    844240
1992-04-01    847195
1992-07-01    729693
1992-10-01    623650
1993-01-01    601520
1993-04-01    557133
1993-07-01    483320
1993-10-01    422852
1994-01-01    359761
1994-04-01    315934
1994-07-01    295520
1994-10-01    291480
1995-01-01    389307
1995-04-01    375352
1995-07-01    617207
1995-10-01    587958
1996-01-01    638225
1996-04-01    568090
1996-07-01    621317
1996-10-01    529480
1997-01-01    522198
1997-04-01   1172748
1997-07-01   1371193
1997-10-01   1316445
1998-01-01   1612168
1998-04-01   1903818
1998-07-01   1862602
1998-10-01   2249844
1999-01-01   2652020
1999-04-01   2688137
1999-07-01   4047242
1999-10-01   4386755
2000-01-01   4817878
2000-04-01   5348992
2000-07-01   6020535
2000-10-01   7572677
2001-01-01   7719558
2001-04-01   7892877
2001-07-01   7544483
2001-10-01   7764006
2002-01-01   7188377
2002-04-01   7115919
2002-07-01   7101259
2002-10-01   7284242
2003-01-01   7106803
2003-04-01   6306179
2003-07-01   5400519
2003-10-01   4671479
2004-01-01   3845548
2004-04-01   3403035
2004-07-01   3080267
2004-10-01   2769861
2005-01-01   2928410
2005-04-01   3041115
2005-07-01   2711603
2005-10-01   2520565
2006-01-01   2687051
2006-04-01   2589695
2006-07-01   2581815
2006-10-01   2741143
2007-01-01   3183969
2007-04-01   3741160
2007-07-01   4989232
2007-10-01   9069123
2008-01-01  13528020
2008-04-01  16921820
2008-07-01  21268318
2008-10-01  18947691
2009-01-01  26346370
2009-04-01  36025939
2009-07-01  42733968
2009-10-01  47561135
2010-01-01  36950909
2010-04-01  36950219
2010-07-01  36156143
2010-10-01  33763979
2011-01-01  32611641
2011-04-01  30159451
2011-07-01  28789775
2011-10-01  26912698
2012-01-01  26168002
2012-04-01  26161660
2012-07-01  25809629
2012-10-01  24183918
2013-01-01  22982028
2013-04-01  22032136
2013-07-01  20357040
2013-10-01  17997723
2014-01-01  17529982
2014-04-01  15526410
2014-07-01  14119566
2014-10-01  12323260
2015-01-01  11790417
2015-04-01  11313539
2015-07-01  10492293
2015-10-01   9981442
2016-01-01   9755711
2016-04-01   9300036
2016-07-01   9320697
2016-10-01   8651574
2017-01-01   8324176
2017-04-01   7563350
2017-07-01   7392281
2017-10-01   7288259
2018-01-01   7101891
2018-04-01   6612068
2018-07-01   5787811
