Title:               Total Amortized Cost of Available-For-Sale Securities for Commercial Banks in North Carolina
Series ID:           NCTACAFSS
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1994-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:04 AM CST
Notes:               This series represents Total Amortized Cost of Available-For-Sale
                     Securities call item RCFD1772.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE            VALUE
1994-01-01   14598183
1994-04-01   13212685
1994-07-01   11453673
1994-10-01   11329888
1995-01-01   12120985
1995-04-01   15108597
1995-07-01   14319640
1995-10-01   23611878
1996-01-01   20510665
1996-04-01   19203085
1996-07-01   17453366
1996-10-01   18137168
1997-01-01   23157317
1997-04-01   37478914
1997-07-01   55680532
1997-10-01   73421626
1998-01-01   94017028
1998-04-01   95490498
1998-07-01  107448608
1998-10-01  116553344
1999-01-01  123866199
1999-04-01  132282517
1999-07-01  148543194
1999-10-01  153939118
2000-01-01  156421660
2000-04-01  157082837
2000-07-01  153628254
2000-10-01  136567628
2001-01-01  121134522
2001-04-01  121069163
2001-07-01  144244359
2001-10-01  157211005
2002-01-01  147713860
2002-04-01  157427995
2002-07-01  172483508
2002-10-01  157293748
2003-01-01  159848509
2003-04-01  202988839
2003-07-01  165629683
2003-10-01  184270947
2004-01-01  259750406
2004-04-01  273643542
2004-07-01  264591458
2004-10-01  297673572
2005-01-01  338157369
2005-04-01  368141341
2005-07-01  366077010
2005-10-01  359378029
2006-01-01  385616006
2006-04-01  392038373
2006-07-01  320904100
2006-10-01  336411110
2007-01-01  321862582
2007-04-01  320122782
2007-07-01  323942279
2007-10-01  348911015
2008-01-01  355997711
2008-04-01  389966302
2008-07-01  379890992
2008-10-01  364293073
2009-01-01  296128207
2009-04-01  352531106
2009-07-01  339152816
2009-10-01  384375770
2010-01-01  337823102
2010-04-01  335828652
2010-07-01  346911206
2010-10-01  362958597
2011-01-01  352910815
2011-04-01  353996846
2011-07-01  346508147
2011-10-01  306485898
2012-01-01  320572717
2012-04-01  322456755
2012-07-01  323661088
2012-10-01  307974433
2013-01-01  283539087
2013-04-01  268825882
2013-07-01  262578451
2013-10-01  267403655
2014-01-01  277838870
2014-04-01  274405677
2014-07-01  293946344
2014-10-01  310747829
2015-01-01  315086338
2015-04-01  328410810
2015-07-01  329011333
2015-10-01  340110783
2016-01-01  315696309
2016-04-01  319653244
2016-07-01  333439616
2016-10-01  332832083
2017-01-01  334119338
2017-04-01  335425955
2017-07-01  330916532
2017-10-01  335757420
2018-01-01  329062440
2018-04-01  298143290
2018-07-01  266725358
