Title:               Civilian Labor Force in Tyrrell County, NC
Series ID:           NCTYRR7LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01   1601
1990-02-01   1603
1990-03-01   1679
1990-04-01   1849
1990-05-01   2053
1990-06-01   2295
1990-07-01   2328
1990-08-01   2132
1990-09-01   1906
1990-10-01   1734
1990-11-01   1673
1990-12-01   1637
1991-01-01   1551
1991-02-01   1541
1991-03-01   1597
1991-04-01   1774
1991-05-01   1949
1991-06-01   2161
1991-07-01   2391
1991-08-01   2192
1991-09-01   1975
1991-10-01   1835
1991-11-01   1797
1991-12-01   1673
1992-01-01   1627
1992-02-01   1660
1992-03-01   1606
1992-04-01   1775
1992-05-01   2081
1992-06-01   2521
1992-07-01   2606
1992-08-01   2234
1992-09-01   2032
1992-10-01   1863
1992-11-01   1801
1992-12-01   1676
1993-01-01   1572
1993-02-01   1623
1993-03-01   1591
1993-04-01   1738
1993-05-01   1959
1993-06-01   2261
1993-07-01   2426
1993-08-01   2320
1993-09-01   2025
1993-10-01   1852
1993-11-01   1782
1993-12-01   1647
1994-01-01   1502
1994-02-01   1538
1994-03-01   1578
1994-04-01   1730
1994-05-01   1901
1994-06-01   2036
1994-07-01   2196
1994-08-01   2126
1994-09-01   1977
1994-10-01   1826
1994-11-01   1763
1994-12-01   1715
1995-01-01   1550
1995-02-01   1552
1995-03-01   1577
1995-04-01   1715
1995-05-01   1877
1995-06-01   2081
1995-07-01   2232
1995-08-01   2190
1995-09-01   1960
1995-10-01   1774
1995-11-01   1795
1995-12-01   1687
1996-01-01   1545
1996-02-01   1507
1996-03-01   1572
1996-04-01   1717
1996-05-01   1913
1996-06-01   2131
1996-07-01   2231
1996-08-01   2162
1996-09-01   1923
1996-10-01   1782
1996-11-01   1779
1996-12-01   1676
1997-01-01   1592
1997-02-01   1546
1997-03-01   1559
1997-04-01   1708
1997-05-01   1894
1997-06-01   2106
1997-07-01   2235
1997-08-01   2155
1997-09-01   1916
1997-10-01   1779
1997-11-01   1820
1997-12-01   1715
1998-01-01   1669
1998-02-01   1640
1998-03-01   1675
1998-04-01   1793
1998-05-01   1948
1998-06-01   2205
1998-07-01   2288
1998-08-01   2211
1998-09-01   1985
1998-10-01   1935
1998-11-01   1873
1998-12-01   1779
1999-01-01   1659
1999-02-01   1629
1999-03-01   1690
1999-04-01   1785
1999-05-01   1902
1999-06-01   2128
1999-07-01   2280
1999-08-01   2223
1999-09-01   1977
1999-10-01   1907
1999-11-01   1857
1999-12-01   1773
2000-01-01   1762
2000-02-01   1731
2000-03-01   1799
2000-04-01   1774
2000-05-01   1943
2000-06-01   2072
2000-07-01   1934
2000-08-01   2013
2000-09-01   1953
2000-10-01   1903
2000-11-01   1949
2000-12-01   1806
2001-01-01   1781
2001-02-01   1751
2001-03-01   1816
2001-04-01   1743
2001-05-01   1804
2001-06-01   1924
2001-07-01   2003
2001-08-01   1988
2001-09-01   1996
2001-10-01   1979
2001-11-01   1985
2001-12-01   1934
2002-01-01   1897
2002-02-01   1910
2002-03-01   1882
2002-04-01   1963
2002-05-01   1984
2002-06-01   2106
2002-07-01   2062
2002-08-01   2006
2002-09-01   2171
2002-10-01   2050
2002-11-01   2138
2002-12-01   1980
2003-01-01   2040
2003-02-01   1978
2003-03-01   1976
2003-04-01   2078
2003-05-01   2120
2003-06-01   2208
2003-07-01   2278
2003-08-01   2231
2003-09-01   2181
2003-10-01   2266
2003-11-01   2233
2003-12-01   2128
2004-01-01   2130
2004-02-01   2127
2004-03-01   2117
2004-04-01   2059
2004-05-01   2123
2004-06-01   2277
2004-07-01   2346
2004-08-01   2325
2004-09-01   2186
2004-10-01   2135
2004-11-01   2180
2004-12-01   2120
2005-01-01   2085
2005-02-01   2058
2005-03-01   2144
2005-04-01   2214
2005-05-01   2090
2005-06-01   2352
2005-07-01   2372
2005-08-01   2321
2005-09-01   2403
2005-10-01   2046
2005-11-01   2105
2005-12-01   2032
2006-01-01   2020
2006-02-01   2016
2006-03-01   1984
2006-04-01   2036
2006-05-01   2034
2006-06-01   2164
2006-07-01   2211
2006-08-01   2114
2006-09-01   2146
2006-10-01   2150
2006-11-01   2281
2006-12-01   2291
2007-01-01   2188
2007-02-01   2117
2007-03-01   2156
2007-04-01   2215
2007-05-01   2234
2007-06-01   2348
2007-07-01   2320
2007-08-01   2253
2007-09-01   2244
2007-10-01   2139
2007-11-01   2182
2007-12-01   2165
2008-01-01   2068
2008-02-01   1961
2008-03-01   2005
2008-04-01   2177
2008-05-01   2225
2008-06-01   2365
2008-07-01   2333
2008-08-01   2367
2008-09-01   2376
2008-10-01   2105
2008-11-01   2252
2008-12-01   2213
2009-01-01   2138
2009-02-01   2166
2009-03-01   2116
2009-04-01   2130
2009-05-01   2210
2009-06-01   2343
2009-07-01   2347
2009-08-01   2266
2009-09-01   2293
2009-10-01   2184
2009-11-01   2168
2009-12-01   2102
2010-01-01   1487
2010-02-01   1472
2010-03-01   1472
2010-04-01   1623
2010-05-01   1691
2010-06-01   1846
2010-07-01   1899
2010-08-01   1887
2010-09-01   1792
2010-10-01   1669
2010-11-01   1574
2010-12-01   1503
2011-01-01   1408
2011-02-01   1391
2011-03-01   1452
2011-04-01   1593
2011-05-01   1725
2011-06-01   1893
2011-07-01   1909
2011-08-01   1917
2011-09-01   1715
2011-10-01   1603
2011-11-01   1529
2011-12-01   1463
2012-01-01   1328
2012-02-01   1360
2012-03-01   1398
2012-04-01   1540
2012-05-01   1655
2012-06-01   1807
2012-07-01   1870
2012-08-01   1810
2012-09-01   1684
2012-10-01   1585
2012-11-01   1502
2012-12-01   1463
2013-01-01   1355
2013-02-01   1375
2013-03-01   1380
2013-04-01   1511
2013-05-01   1614
2013-06-01   1774
2013-07-01   1840
2013-08-01   1745
2013-09-01   1647
2013-10-01   1579
2013-11-01   1489
2013-12-01   1436
2014-01-01   1371
2014-02-01   1344
2014-03-01   1360
2014-04-01   1484
2014-05-01   1622
2014-06-01   1775
2014-07-01   1818
2014-08-01   1726
2014-09-01   1628
2014-10-01   1586
2014-11-01   1515
2014-12-01   1421
2015-01-01   1364
2015-02-01   1361
2015-03-01   1435
2015-04-01   1502
2015-05-01   1591
2015-06-01   1751
2015-07-01   1801
2015-08-01   1712
2015-09-01   1624
2015-10-01   1541
2015-11-01   1482
2015-12-01   1398
2016-01-01   1322
2016-02-01   1329
2016-03-01   1442
2016-04-01   1492
2016-05-01   1578
2016-06-01   1700
2016-07-01   1844
2016-08-01   1732
2016-09-01   1625
2016-10-01   1495
2016-11-01   1419
2016-12-01   1359
2017-01-01   1354
2017-02-01   1386
2017-03-01   1443
2017-04-01   1540
2017-05-01   1571
2017-06-01   1682
2017-07-01   1808
2017-08-01   1714
2017-09-01   1601
2017-10-01   1521
2017-11-01   1414
2017-12-01   1380
2018-01-01   1332
2018-02-01   1352
2018-03-01   1374
2018-04-01   1470
2018-05-01   1563
2018-06-01   1707
2018-07-01   1814
2018-08-01   1713
2018-09-01   1582
2018-10-01   1484
2018-11-01   1392
