Title:               Real Gross Domestic Product by Industry: Private Industries: Transportation and Warehousing for North Carolina
Series ID:           NCTRANSWARERQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   9626.5
2005-04-01   9812.5
2005-07-01  10245.3
2005-10-01  10401.6
2006-01-01  10198.1
2006-04-01  10441.2
2006-07-01  10339.0
2006-10-01  10141.5
2007-01-01   9824.2
2007-04-01   9970.3
2007-07-01   9862.8
2007-10-01  10214.5
2008-01-01   9978.8
2008-04-01   9957.5
2008-07-01   9754.6
2008-10-01   9482.8
2009-01-01   8949.5
2009-04-01   9188.5
2009-07-01   9324.9
2009-10-01   9531.6
2010-01-01   9387.3
2010-04-01   9631.8
2010-07-01   9879.9
2010-10-01   9975.2
2011-01-01   9810.4
2011-04-01   9729.7
2011-07-01   9539.6
2011-10-01   9766.9
2012-01-01   9833.3
2012-04-01   9881.4
2012-07-01   9869.3
2012-10-01   9825.0
2013-01-01   9742.8
2013-04-01   9586.2
2013-07-01   9602.0
2013-10-01  10126.0
2014-01-01  10007.6
2014-04-01  10136.6
2014-07-01  10414.4
2014-10-01  10311.2
2015-01-01  10157.1
2015-04-01  10378.0
2015-07-01  10449.4
2015-10-01  10287.9
2016-01-01  10004.4
2016-04-01  10355.7
2016-07-01  10276.4
2016-10-01  10477.9
2017-01-01  10746.7
2017-04-01  10691.4
2017-07-01  10907.4
2017-10-01  10993.1
2018-01-01  11375.6
2018-04-01  11411.7
