Title:               Civilian Labor Force in Transylvania County, NC
Series ID:           NCTRAN5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  11099
1990-02-01  11084
1990-03-01  11260
1990-04-01  11562
1990-05-01  11930
1990-06-01  12133
1990-07-01  12334
1990-08-01  12344
1990-09-01  11814
1990-10-01  11762
1990-11-01  11733
1990-12-01  11590
1991-01-01  11415
1991-02-01  11373
1991-03-01  11407
1991-04-01  11659
1991-05-01  12068
1991-06-01  12369
1991-07-01  12666
1991-08-01  12503
1991-09-01  11978
1991-10-01  11995
1991-11-01  11800
1991-12-01  11700
1992-01-01  11429
1992-02-01  11417
1992-03-01  11424
1992-04-01  11516
1992-05-01  11813
1992-06-01  12231
1992-07-01  12891
1992-08-01  13141
1992-09-01  12294
1992-10-01  11969
1992-11-01  11933
1992-12-01  11854
1993-01-01  11412
1993-02-01  11311
1993-03-01  11213
1993-04-01  11340
1993-05-01  11473
1993-06-01  11765
1993-07-01  12099
1993-08-01  11994
1993-09-01  11594
1993-10-01  11350
1993-11-01  11340
1993-12-01  11223
1994-01-01  11065
1994-02-01  11160
1994-03-01  11179
1994-04-01  11531
1994-05-01  11634
1994-06-01  11668
1994-07-01  11781
1994-08-01  11893
1994-09-01  11419
1994-10-01  11338
1994-11-01  11256
1994-12-01  11359
1995-01-01  10928
1995-02-01  10803
1995-03-01  10771
1995-04-01  10998
1995-05-01  11075
1995-06-01  11455
1995-07-01  11682
1995-08-01  11725
1995-09-01  11201
1995-10-01  10957
1995-11-01  11048
1995-12-01  10767
1996-01-01  10677
1996-02-01  10884
1996-03-01  10825
1996-04-01  10908
1996-05-01  11190
1996-06-01  11527
1996-07-01  11885
1996-08-01  11770
1996-09-01  11411
1996-10-01  11508
1996-11-01  11528
1996-12-01  11442
1997-01-01  11298
1997-02-01  11285
1997-03-01  11432
