Title:               State Government Tax Collections, Total Taxes in North Carolina
Series ID:           NCTOTLTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE           VALUE
1942-01-01     99194
1943-01-01         .
1944-01-01    111238
1945-01-01         .
1946-01-01    137544
1947-01-01         .
1948-01-01    195677
1949-01-01         .
1950-01-01    212728
1951-01-01    255667
1952-01-01    278482
1953-01-01    287817
1954-01-01    294771
1955-01-01    307411
1956-01-01    352531
1957-01-01    369779
1958-01-01    375134
1959-01-01    397630
1960-01-01    459373
1961-01-01    479439
1962-01-01    539134
1963-01-01    588551
1964-01-01    623835
1965-01-01    688109
1966-01-01    776887
1967-01-01    840712
1968-01-01    901528
1969-01-01   1009568
1970-01-01   1190220
1971-01-01   1296974
1972-01-01   1460869
1973-01-01   1657474
1974-01-01   1806433
1975-01-01   1900440
1976-01-01   2059951
1977-01-01   2384780
1978-01-01   2608437
1979-01-01   2914931
1980-01-01   3215348
1981-01-01   3431002
1982-01-01   3790035
1983-01-01   4028477
1984-01-01   4636021
1985-01-01   5198024
1986-01-01   5579710
1987-01-01   6274524
1988-01-01   6843064
1989-01-01   7369389
1990-01-01   7864737
1991-01-01   7850043
1992-01-01   9009742
1993-01-01   9753838
1994-01-01  10518600
1995-01-01  11425714
1996-01-01  11882318
1997-01-01  12678199
1998-01-01  13869426
1999-01-01  14436294
2000-01-01  15315386
2001-01-01  15599964
2002-01-01  15537366
2003-01-01  15848650
2004-01-01  16836454
2005-01-01  18639618
2006-01-01  20602902
2007-01-01  22612798
2008-01-01  22809716
2009-01-01  20525663
2010-01-01  21514930
2011-01-01  22400573
2012-01-01  22714557
2013-01-01  23767449
2014-01-01  23512645
2015-01-01  25084225
2016-01-01  26212531
2017-01-01  26855304
