Title:               Total Loans and Leases, Net of Unearned Income for Commercial Banks in North Carolina
Series ID:           NCTLLNUI
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Total Loans and Leases, Net of Unearned Income
                     call item RCFD2122.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE             VALUE
1984-01-01    20669573
1984-04-01    22080769
1984-07-01    22871164
1984-10-01    24099663
1985-01-01    24918243
1985-04-01    26026067
1985-07-01    27274690
1985-10-01    28958776
1986-01-01    29595162
1986-04-01    30250342
1986-07-01    31208045
1986-10-01    33269595
1987-01-01    33274178
1987-04-01    34710576
1987-07-01    35640786
1987-10-01    37171553
1988-01-01    37725010
1988-04-01    39393022
1988-07-01    39921993
1988-10-01    41626886
1989-01-01    43298828
1989-04-01    45365191
1989-07-01    46253132
1989-10-01    47065042
1990-01-01    48231322
1990-04-01    49715240
1990-07-01    49702091
1990-10-01    51025680
1991-01-01    51489476
1991-04-01    51385713
1991-07-01    52000221
1991-10-01    52030428
1992-01-01    53288552
1992-04-01    52884741
1992-07-01    53938460
1992-10-01    54290898
1993-01-01    54946369
1993-04-01    57969941
1993-07-01    58826303
1993-10-01    61186566
1994-01-01    62438563
1994-04-01    65318068
1994-07-01    68664009
1994-10-01    70172238
1995-01-01    82153556
1995-04-01    86276927
1995-07-01   106440852
1995-10-01   110876108
1996-01-01   113512051
1996-04-01   114189983
1996-07-01   112917594
1996-10-01   125191211
1997-01-01   129604488
1997-04-01   231495267
1997-07-01   247051481
1997-10-01   259312259
1998-01-01   297138957
1998-04-01   362724262
1998-07-01   367938557
1998-10-01   396723369
1999-01-01   404343946
1999-04-01   406048300
1999-07-01   580877013
1999-10-01   600069896
2000-01-01   607717248
2000-04-01   631614256
2000-07-01   632788245
2000-10-01   628126922
2001-01-01   620411254
2001-04-01   620076534
2001-07-01   590726469
2001-10-01   549417043
2002-01-01   548477026
2002-04-01   555855191
2002-07-01   563195337
2002-10-01   576524161
2003-01-01   581306998
2003-04-01   603134003
2003-07-01   611052178
2003-10-01   610939034
2004-01-01   620808491
2004-04-01   632309384
2004-07-01   647570222
2004-10-01   673476915
2005-01-01   730407068
2005-04-01   849840700
2005-07-01   889271890
2005-10-01   916176425
2006-01-01   965710974
2006-04-01  1012152300
2006-07-01  1030147492
2006-10-01  1073234518
2007-01-01  1090275284
2007-04-01  1122392500
2007-07-01  1145140477
2007-10-01  1234062042
2008-01-01  1252142580
2008-04-01  1242321187
2008-07-01  1238574650
2008-10-01  1257118841
2009-01-01  1218750088
2009-04-01  1272019303
2009-07-01  1248763276
2009-10-01  1254488542
2010-01-01   902496373
2010-04-01   899974640
2010-07-01   885639313
2010-10-01   898926176
2011-01-01   902845343
2011-04-01   910385843
2011-07-01   918201361
2011-10-01   913640504
2012-01-01   877835075
2012-04-01   872747483
2012-07-01   887038423
2012-10-01   906990296
2013-01-01   918207918
2013-04-01   937350776
2013-07-01   945962010
2013-10-01   935863982
2014-01-01   928820997
2014-04-01   927000482
2014-07-01   911702954
2014-10-01  1019201436
2015-01-01  1022336627
2015-04-01  1034387403
2015-07-01  1048054635
2015-10-01  1062318313
2016-01-01  1072996056
2016-04-01  1088634504
2016-07-01  1096139638
2016-10-01  1091430624
2017-01-01  1092079375
2017-04-01  1092202061
2017-07-01  1111211522
2017-10-01  1110050731
2018-01-01  1104024844
2018-04-01  1108404552
2018-07-01  1103107706
