Title:               Administrative and Waste Services Wages and Salaries in North Carolina
Series ID:           NCWADM
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01    3681332
1998-04-01    3627704
1998-07-01    3800752
1998-10-01    3890904
1999-01-01    3856656
1999-04-01    3973108
1999-07-01    3990208
1999-10-01    4065868
2000-01-01    4184644
2000-04-01    4315632
2000-07-01    4307024
2000-10-01    4315312
2001-01-01    4662892
2001-04-01    4579704
2001-07-01    4450544
2001-10-01    4445608
2002-01-01    4651016
2002-04-01    4805880
2002-07-01    4849932
2002-10-01    4842128
2003-01-01    4823488
2003-04-01    4870052
2003-07-01    4909148
2003-10-01    5165800
2004-01-01    5070228
2004-04-01    5329200
2004-07-01    5566516
2004-10-01    5638392
2005-01-01    5654708
2005-04-01    5655764
2005-07-01    5829308
2005-10-01    5928016
2006-01-01    6133916
2006-04-01    6262812
2006-07-01    6375136
2006-10-01    6553904
2007-01-01    6786076
2007-04-01    7033452
2007-07-01    6837408
2007-10-01    7059072
2008-01-01    7219136
2008-04-01    7199504
2008-07-01    7109632
2008-10-01    7067336
2009-01-01    6568392
2009-04-01    6357308
2009-07-01    6476276
2009-10-01    6696480
2010-01-01    6932168
2010-04-01    7127752
2010-07-01    7330116
2010-10-01    7527772
2011-01-01    7878360
2011-04-01    7816624
2011-07-01    7906700
2011-10-01    8016108
2012-01-01    8407588
2012-04-01    8245088
2012-07-01    9395224
2012-10-01    8698820
2013-01-01    8682316
2013-04-01    8860700
2013-07-01    8955128
2013-10-01    9195136
2014-01-01    9324584
2014-04-01    9432160
2014-07-01    9502656
2014-10-01    9964572
2015-01-01    9650192
2015-04-01    9901172
2015-07-01   10092280
2015-10-01   10271760
2016-01-01   10349612
2016-04-01   10440632
2016-07-01   10515716
2016-10-01   10838364
2017-01-01   11017896
2017-04-01   11037456
2017-07-01   11164460
2017-10-01   11066376
2018-01-01   11266137
2018-04-01   11329124
2018-07-01   11521741
