Title:               Civilian Labor Force in Washington County, NC
Series ID:           NCWASH7LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE        VALUE
2015-11-01   4977
2015-12-01   4844
2016-01-01   4809
2016-02-01   4832
2016-03-01   4941
2016-04-01   4877
2016-05-01   4922
2016-06-01   5004
2016-07-01   4997
2016-08-01   4870
2016-09-01   4808
2016-10-01   4802
2016-11-01   4778
2016-12-01   4683
2017-01-01   4717
2017-02-01   4777
2017-03-01   4817
2017-04-01   4852
2017-05-01   4853
2017-06-01   4870
2017-07-01   4940
2017-08-01   4799
2017-09-01   4838
2017-10-01   4799
2017-11-01   4718
2017-12-01   4681
2018-01-01   4683
2018-02-01   4748
2018-03-01   4742
2018-04-01   4749
2018-05-01   4741
2018-06-01   4820
2018-07-01   4834
2018-08-01   4728
2018-09-01   4674
2018-10-01   4649
2018-11-01   4603
