Title:               Utilities Wages and Salaries in North Carolina
Series ID:           NCWUTI
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE           VALUE
1998-01-01   1272528
1998-04-01    893668
1998-07-01    926244
1998-10-01    916812
1999-01-01    881244
1999-04-01    894652
1999-07-01    929076
1999-10-01    947476
2000-01-01    978580
2000-04-01    957228
2000-07-01    796872
2000-10-01    810900
2001-01-01         .
2001-04-01         .
2001-07-01         .
2001-10-01         .
2002-01-01    853560
2002-04-01    873100
2002-07-01    891228
2002-10-01    900764
2003-01-01    867752
2003-04-01    890976
2003-07-01    891176
2003-10-01    907536
2004-01-01    955948
2004-04-01    941308
2004-07-01    900216
2004-10-01    888408
2005-01-01    883464
2005-04-01    897184
2005-07-01    921124
2005-10-01    943896
2006-01-01    902232
2006-04-01    921928
2006-07-01    918260
2006-10-01    932468
2007-01-01    961076
2007-04-01    999276
2007-07-01    917284
2007-10-01    970312
2008-01-01    978644
2008-04-01    944408
2008-07-01   1026324
2008-10-01   1037952
2009-01-01    985544
2009-04-01    945400
2009-07-01    956144
2009-10-01    968580
2010-01-01   1022708
2010-04-01   1038268
2010-07-01    956904
2010-10-01    997652
2011-01-01   1011540
2011-04-01   1036684
2011-07-01   1024948
2011-10-01   1010744
2012-01-01    977712
2012-04-01   1007188
2012-07-01   1151732
2012-10-01   1102948
2013-01-01   1227088
2013-04-01   1119332
2013-07-01   1156268
2013-10-01   1150624
2014-01-01   1218548
2014-04-01   1252704
2014-07-01   1206996
2014-10-01   1289112
2015-01-01   1211032
2015-04-01   1302848
2015-07-01   1278340
2015-10-01   1324008
2016-01-01   1304612
2016-04-01   1373864
2016-07-01   1315136
2016-10-01   1363484
2017-01-01   1374692
2017-04-01   1262928
2017-07-01   1385488
2017-10-01   1335068
2018-01-01   1415818
2018-04-01   1703402
2018-07-01   1710408
