Title:               Transportation and Warehousing Wages and Salaries in North Carolina
Series ID:           NCWTRA
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE           VALUE
1998-01-01   3831512
1998-04-01   3978252
1998-07-01   4036892
1998-10-01   4109328
1999-01-01   4070168
1999-04-01   4130312
1999-07-01   4244548
1999-10-01   4419248
2000-01-01   4356856
2000-04-01   4531152
2000-07-01   4520540
2000-10-01   4523452
2001-01-01   4582032
2001-04-01   4540756
2001-07-01   4398120
2001-10-01   4294892
2002-01-01   4209248
2002-04-01   4202280
2002-07-01   4151652
2002-10-01   4107120
2003-01-01   4183556
2003-04-01   4060988
2003-07-01   4197012
2003-10-01   4256892
2004-01-01   4295232
2004-04-01   4413920
2004-07-01   4501160
2004-10-01   4523716
2005-01-01   4471168
2005-04-01   4492700
2005-07-01   4511852
2005-10-01   4554060
2006-01-01   4618380
2006-04-01   4673344
2006-07-01   4698336
2006-10-01   4660852
2007-01-01   4760620
2007-04-01   4798480
2007-07-01   4770568
2007-10-01   4833036
2008-01-01   4971300
2008-04-01   4879660
2008-07-01   4823424
2008-10-01   4817672
2009-01-01   4482204
2009-04-01   4437100
2009-07-01   4445320
2009-10-01   4470856
2010-01-01   4324568
2010-04-01   4437568
2010-07-01   4514840
2010-10-01   4561256
2011-01-01   4719768
2011-04-01   4700660
2011-07-01   4705484
2011-10-01   4747836
2012-01-01   4815268
2012-04-01   4875176
2012-07-01   4853212
2012-10-01   4926024
2013-01-01   4941004
2013-04-01   5007808
2013-07-01   5019972
2013-10-01   5348708
2014-01-01   5348040
2014-04-01   5465668
2014-07-01   5504188
2014-10-01   5590292
2015-01-01   5737920
2015-04-01   5851068
2015-07-01   5926372
2015-10-01   5942428
2016-01-01   5866864
2016-04-01   5988132
2016-07-01   6028792
2016-10-01   6193400
2017-01-01   6455832
2017-04-01   6389180
2017-07-01   6597748
2017-10-01   6690084
2018-01-01   7050430
2018-04-01   6950961
2018-07-01   7017335
