Title:               Real Estate, Rental and Leasing Wages and Salaries in North Carolina
Series ID:           NCWREA
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE           VALUE
1998-01-01   1107964
1998-04-01   1137308
1998-07-01   1192932
1998-10-01   1220792
1999-01-01   1263668
1999-04-01   1283104
1999-07-01   1295380
1999-10-01   1314552
2000-01-01   1364572
2000-04-01   1391516
2000-07-01   1392712
2000-10-01   1388872
2001-01-01   1400800
2001-04-01   1412220
2001-07-01   1403960
2001-10-01   1405320
2002-01-01   1432628
2002-04-01   1467008
2002-07-01   1452152
2002-10-01   1445572
2003-01-01   1444884
2003-04-01   1465272
2003-07-01   1509648
2003-10-01   1560084
2004-01-01   1536848
2004-04-01   1601436
2004-07-01   1669492
2004-10-01   1703108
2005-01-01   1706652
2005-04-01   1742032
2005-07-01   1798496
2005-10-01   1847088
2006-01-01   1915112
2006-04-01   1970188
2006-07-01   1988664
2006-10-01   2112900
2007-01-01   2138464
2007-04-01   2102760
2007-07-01   2082236
2007-10-01   2094236
2008-01-01   2080092
2008-04-01   2077748
2008-07-01   2037856
2008-10-01   1973824
2009-01-01   1897852
2009-04-01   1876752
2009-07-01   1832992
2009-10-01   1832564
2010-01-01   1813088
2010-04-01   1839252
2010-07-01   1866668
2010-10-01   1859468
2011-01-01   1895164
2011-04-01   1920360
2011-07-01   1957332
2011-10-01   1935512
2012-01-01   2073372
2012-04-01   2071180
2012-07-01   2079844
2012-10-01   2158392
2013-01-01   2223276
2013-04-01   2219068
2013-07-01   2233316
2013-10-01   2242564
2014-01-01   2338092
2014-04-01   2336032
2014-07-01   2371124
2014-10-01   2538928
2015-01-01   2522624
2015-04-01   2591676
2015-07-01   2657532
2015-10-01   2730628
2016-01-01   2699648
2016-04-01   2779624
2016-07-01   2836112
2016-10-01   2884168
2017-01-01   2894716
2017-04-01   2946708
2017-07-01   3009428
2017-10-01   3027880
2018-01-01   3112432
2018-04-01   3182270
2018-07-01   3282276
