Title:               Civilian Labor Force in Wilson County, NC
Series ID:           NCWILS0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  34469
1990-02-01  34640
1990-03-01  34702
1990-04-01  34936
1990-05-01  35450
1990-06-01  35824
1990-07-01  36485
1990-08-01  36251
1990-09-01  34986
1990-10-01  35104
1990-11-01  34956
1990-12-01  35085
1991-01-01  33498
1991-02-01  34018
1991-03-01  34526
1991-04-01  34896
1991-05-01  35662
1991-06-01  36091
1991-07-01  35958
1991-08-01  35869
1991-09-01  35597
1991-10-01  35912
1991-11-01  35648
1991-12-01  35675
1992-01-01  35182
1992-02-01  35647
1992-03-01  35375
1992-04-01  35782
1992-05-01  36694
1992-06-01  37557
1992-07-01  37618
1992-08-01  37046
1992-09-01  37376
1992-10-01  36525
1992-11-01  36815
1992-12-01  35613
1993-01-01  36284
1993-02-01  36445
1993-03-01  35994
1993-04-01  36757
1993-05-01  37100
1993-06-01  38007
1993-07-01  37599
1993-08-01  36894
1993-09-01  36465
1993-10-01  36751
1993-11-01  36490
1993-12-01  36033
1994-01-01  34848
1994-02-01  34801
1994-03-01  34818
1994-04-01  35304
1994-05-01  36953
1994-06-01  36553
1994-07-01  36434
1994-08-01  37217
1994-09-01  36498
1994-10-01  36384
1994-11-01  35810
1994-12-01  35640
1995-01-01  35467
1995-02-01  35288
1995-03-01  35824
1995-04-01  36267
1995-05-01  36991
1995-06-01  36872
1995-07-01  37031
1995-08-01  36419
1995-09-01  36232
1995-10-01  36384
1995-11-01  35814
1995-12-01  35738
1996-01-01  34035
1996-02-01  34314
1996-03-01  34387
1996-04-01  34701
1996-05-01  36425
1996-06-01  36614
1996-07-01  36807
1996-08-01  36833
1996-09-01  36486
1996-10-01  36618
1996-11-01  36371
1996-12-01  36296
1997-01-01  35720
1997-02-01  35775
1997-03-01  36575
1997-04-01  36646
1997-05-01  37616
1997-06-01  37375
1997-07-01  37274
1997-08-01  37805
1997-09-01  37067
1997-10-01  37036
1997-11-01  37255
1997-12-01  36087
1998-01-01  36403
1998-02-01  35789
1998-03-01  36009
1998-04-01  35773
1998-05-01  36852
1998-06-01  36871
1998-07-01  36838
1998-08-01  36938
1998-09-01  37008
1998-10-01  37141
1998-11-01  37124
1998-12-01  36761
1999-01-01  37038
1999-02-01  36781
1999-03-01  37114
1999-04-01  37700
1999-05-01  38522
1999-06-01  38288
1999-07-01  38225
1999-08-01  38796
1999-09-01  38535
1999-10-01  38110
1999-11-01  38066
1999-12-01  37638
2000-01-01  37057
2000-02-01  36882
2000-03-01  37563
2000-04-01  37463
2000-05-01  37428
2000-06-01  37295
2000-07-01  36961
2000-08-01  37942
2000-09-01  37349
2000-10-01  37342
2000-11-01  37267
2000-12-01  37222
2001-01-01  37714
2001-02-01  37550
2001-03-01  38028
2001-04-01  38043
2001-05-01  38169
2001-06-01  37817
2001-07-01  37995
2001-08-01  38217
2001-09-01  38163
2001-10-01  38209
2001-11-01  37689
2001-12-01  37329
2002-01-01  37944
2002-02-01  37991
2002-03-01  38029
2002-04-01  37827
2002-05-01  38065
2002-06-01  37552
2002-07-01  37953
2002-08-01  38233
2002-09-01  38208
2002-10-01  38156
2002-11-01  37703
2002-12-01  38219
2003-01-01  37938
2003-02-01  38100
2003-03-01  38379
2003-04-01  39089
2003-05-01  39233
2003-06-01  39349
2003-07-01  38734
2003-08-01  38764
2003-09-01  39157
2003-10-01  40137
2003-11-01  39721
2003-12-01  39239
2004-01-01  38600
2004-02-01  38354
2004-03-01  38430
2004-04-01  38637
2004-05-01  38777
2004-06-01  38908
2004-07-01  39532
2004-08-01  38601
2004-09-01  38239
2004-10-01  38591
2004-11-01  38647
2004-12-01  38479
2005-01-01  38488
2005-02-01  38430
2005-03-01  38516
2005-04-01  38526
2005-05-01  38727
2005-06-01  38938
2005-07-01  39405
2005-08-01  39403
2005-09-01  39556
2005-10-01  39752
2005-11-01  39404
2005-12-01  38812
2006-01-01  38354
2006-02-01  38445
2006-03-01  39072
2006-04-01  39697
2006-05-01  39972
2006-06-01  40472
2006-07-01  40592
2006-08-01  40175
2006-09-01  40321
2006-10-01  40193
2006-11-01  40076
2006-12-01  39923
2007-01-01  40385
2007-02-01  40181
2007-03-01  40581
2007-04-01  40623
2007-05-01  40827
2007-06-01  40938
2007-07-01  40957
2007-08-01  40546
2007-09-01  41054
2007-10-01  40789
2007-11-01  40988
2007-12-01  40818
2008-01-01  39031
2008-02-01  38999
2008-03-01  39604
2008-04-01  39954
2008-05-01  40176
2008-06-01  40367
2008-07-01  40948
2008-08-01  40370
2008-09-01  39782
2008-10-01  39086
2008-11-01  40280
2008-12-01  40592
2009-01-01  39382
2009-02-01  39344
2009-03-01  39203
2009-04-01  39978
2009-05-01  40021
2009-06-01  40349
2009-07-01  40365
2009-08-01  39739
2009-09-01  39301
2009-10-01  39492
2009-11-01  39505
2009-12-01  39245
2010-01-01  37579
2010-02-01  37648
2010-03-01  38090
2010-04-01  38891
2010-05-01  38979
2010-06-01  39131
2010-07-01  38812
2010-08-01  38264
2010-09-01  38266
2010-10-01  37913
2010-11-01  37804
2010-12-01  37413
2011-01-01  37641
2011-02-01  37408
2011-03-01  37663
2011-04-01  38436
2011-05-01  38712
2011-06-01  38921
2011-07-01  38898
2011-08-01  38811
2011-09-01  38899
2011-10-01  38200
2011-11-01  37868
2011-12-01  37638
2012-01-01  37363
2012-02-01  37806
2012-03-01  38123
2012-04-01  38115
2012-05-01  38686
2012-06-01  38777
2012-07-01  38886
2012-08-01  38316
2012-09-01  38566
2012-10-01  38770
2012-11-01  38314
2012-12-01  38206
2013-01-01  38243
2013-02-01  37958
2013-03-01  38033
2013-04-01  38359
2013-05-01  38840
2013-06-01  38712
2013-07-01  38964
2013-08-01  37857
2013-09-01  38107
2013-10-01  37881
2013-11-01  37617
2013-12-01  37177
2014-01-01  37521
2014-02-01  37401
2014-03-01  37528
2014-04-01  37565
2014-05-01  37831
2014-06-01  38186
2014-07-01  38102
2014-08-01  37541
2014-09-01  37493
2014-10-01  37790
2014-11-01  37590
2014-12-01  37048
2015-01-01  36334
2015-02-01  36370
2015-03-01  36601
2015-04-01  36812
2015-05-01  37111
2015-06-01  37274
2015-07-01  37250
2015-08-01  36526
2015-09-01  36548
2015-10-01  36889
2015-11-01  36908
2015-12-01  36389
2016-01-01  36287
2016-02-01  36361
2016-03-01  36703
2016-04-01  36836
2016-05-01  36637
2016-06-01  36677
2016-07-01  36961
2016-08-01  36184
2016-09-01  36402
2016-10-01  36368
2016-11-01  36050
2016-12-01  35905
2017-01-01  35990
2017-02-01  36354
2017-03-01  36319
2017-04-01  36404
2017-05-01  36238
2017-06-01  36044
2017-07-01  36321
2017-08-01  35692
2017-09-01  36128
2017-10-01  35979
2017-11-01  35658
2017-12-01  35537
2018-01-01  35456
2018-02-01  35674
2018-03-01  35603
2018-04-01  35722
2018-05-01  35769
2018-06-01  35755
2018-07-01  35782
2018-08-01  34955
2018-09-01  34987
2018-10-01  35146
2018-11-01  34893
