Title:               Forestry, Fishing, Related Activities and Other Wages and Salaries in North Carolina
Series ID:           NCWFOR
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE          VALUE
1998-01-01   206496
1998-04-01   225204
1998-07-01   223580
1998-10-01   230228
1999-01-01   242904
1999-04-01   228104
1999-07-01   223956
1999-10-01   220828
2000-01-01   205888
2000-04-01   201756
2000-07-01   238548
2000-10-01   320800
2001-01-01   258212
2001-04-01   253688
2001-07-01   258444
2001-10-01   271840
2002-01-01   285356
2002-04-01   271652
2002-07-01   272768
2002-10-01   264768
2003-01-01   271452
2003-04-01   281752
2003-07-01   290200
2003-10-01   299108
2004-01-01   279740
2004-04-01   304984
2004-07-01   303008
2004-10-01   312256
2005-01-01   296660
2005-04-01   322800
2005-07-01   316092
2005-10-01   322172
2006-01-01   338732
2006-04-01   323320
2006-07-01   321316
2006-10-01   335616
2007-01-01   325744
2007-04-01   347084
2007-07-01   353356
2007-10-01   351912
2008-01-01   347420
2008-04-01   345820
2008-07-01   347248
2008-10-01   355316
2009-01-01   346968
2009-04-01   354916
2009-07-01   373092
2009-10-01   348456
2010-01-01   369092
2010-04-01   381052
2010-07-01   388092
2010-10-01   375688
2011-01-01   387588
2011-04-01   374004
2011-07-01   388076
2011-10-01   385572
2012-01-01   401668
2012-04-01   398068
2012-07-01   398620
2012-10-01   416984
2013-01-01   436776
2013-04-01   427368
2013-07-01   441064
2013-10-01   439700
2014-01-01   448788
2014-04-01   463500
2014-07-01   460736
2014-10-01   485924
2015-01-01   472728
2015-04-01   479664
2015-07-01   517904
2015-10-01   487072
2016-01-01   516008
2016-04-01   508088
2016-07-01   516772
2016-10-01   496928
2017-01-01   520976
2017-04-01   519352
2017-07-01   513536
2017-10-01   520320
2018-01-01   524611
2018-04-01   537168
2018-07-01   509977
