Title:               Civilian Labor Force in Watauga County, NC
Series ID:           NCWATA9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE        VALUE
2015-01-01  26832
2015-02-01  26956
2015-03-01  26776
2015-04-01  26700
2015-05-01  27546
2015-06-01  27574
2015-07-01  28209
2015-08-01  28397
2015-09-01  27557
2015-10-01  27752
2015-11-01  27294
2015-12-01  27100
2016-01-01  27044
2016-02-01  27480
2016-03-01  27111
2016-04-01  27405
2016-05-01  27879
2016-06-01  28024
2016-07-01  28363
2016-08-01  29033
2016-09-01  28279
2016-10-01  28297
2016-11-01  27774
2016-12-01  28353
2017-01-01  27445
2017-02-01  27933
2017-03-01  27797
2017-04-01  27873
2017-05-01  28338
2017-06-01  28814
2017-07-01  29441
2017-08-01  29362
2017-09-01  29147
2017-10-01  29091
2017-11-01  28767
2017-12-01  28880
2018-01-01  28269
2018-02-01  28533
2018-03-01  28142
2018-04-01  28315
2018-05-01  28762
2018-06-01  29089
2018-07-01  29390
2018-08-01  29522
2018-09-01  29113
2018-10-01  29359
2018-11-01  29027
