Title:               Resident Population in Wake County, NC
Series ID:           NCWAKE3POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:21 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE           VALUE
1970-01-01   229.006
1971-01-01   238.200
1972-01-01   245.600
1973-01-01   254.400
1974-01-01   263.000
1975-01-01   267.400
1976-01-01   272.700
1977-01-01   280.200
1978-01-01   286.600
1979-01-01   293.500
1980-01-01   301.429
1981-01-01   310.149
1982-01-01   316.973
1983-01-01   327.627
1984-01-01   342.267
1985-01-01   359.163
1986-01-01   372.079
1987-01-01   381.548
1988-01-01   396.914
1989-01-01   411.341
1990-01-01   430.378
1991-01-01   446.158
1992-01-01   463.218
1993-01-01   482.940
1994-01-01   504.299
1995-01-01   526.599
1996-01-01   549.005
1997-01-01   570.540
1998-01-01   592.534
1999-01-01   612.728
2000-01-01   633.529
2001-01-01   659.096
2002-01-01   680.556
2003-01-01   701.854
2004-01-01   723.414
2005-01-01   754.159
2006-01-01   793.168
2007-01-01   831.915
2008-01-01   867.913
2009-01-01   895.975
2010-01-01   906.884
2011-01-01   929.845
2012-01-01   952.982
2013-01-01   974.938
2014-01-01   998.914
2015-01-01  1023.859
2016-01-01  1049.143
2017-01-01  1072.203
