Title:               Civilian Labor Force in Warren County, NC
Series ID:           NCWARR5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE       VALUE
1990-01-01  7327
1990-02-01  7307
1990-03-01  7241
1990-04-01  7270
1990-05-01  7406
1990-06-01  7649
1990-07-01  7482
1990-08-01  7526
1990-09-01  7473
1990-10-01  7538
1990-11-01  7536
1990-12-01  7784
1991-01-01  7612
1991-02-01  7591
1991-03-01  7762
1991-04-01  7684
1991-05-01  7863
1991-06-01  7987
1991-07-01  7934
1991-08-01  7951
1991-09-01  7884
1991-10-01  7761
1991-11-01  7578
1991-12-01  7496
1992-01-01  7727
1992-02-01  7703
1992-03-01  7554
1992-04-01  7474
1992-05-01  7481
1992-06-01  7731
1992-07-01  7589
1992-08-01  8123
1992-09-01  7746
1992-10-01  7738
1992-11-01  7482
1992-12-01  7387
1993-01-01  7264
1993-02-01  7300
1993-03-01  7238
1993-04-01  7167
1993-05-01  7321
1993-06-01  7441
1993-07-01  7271
1993-08-01  7307
1993-09-01  7350
1993-10-01  7348
1993-11-01  7302
1993-12-01  7386
1994-01-01  7153
1994-02-01  7234
1994-03-01  7198
1994-04-01  7137
1994-05-01  7068
1994-06-01  7264
1994-07-01  7079
1994-08-01  7160
1994-09-01  7093
1994-10-01  7088
1994-11-01  7088
1994-12-01  7195
1995-01-01  7146
1995-02-01  7202
1995-03-01  7127
1995-04-01  7152
1995-05-01  7060
1995-06-01  7571
1995-07-01  7214
1995-08-01  7330
1995-09-01  7186
1995-10-01  7258
1995-11-01  7291
1995-12-01  7216
1996-01-01  7489
1996-02-01  7568
1996-03-01  7524
1996-04-01  7453
1996-05-01  7511
1996-06-01  7679
1996-07-01  7518
1996-08-01  7478
1996-09-01  7429
1996-10-01  7640
1996-11-01  7601
1996-12-01  7377
1997-01-01  7239
1997-02-01  7214
1997-03-01  7334
1997-04-01  7182
1997-05-01  7230
1997-06-01  7263
1997-07-01  7244
1997-08-01  7319
1997-09-01  7313
1997-10-01  7310
1997-11-01  7337
1997-12-01  7207
