Title:               Civilian Labor Force in Wake County, NC
Series ID:           NCWAKE3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE         VALUE
1990-01-01  246358
1990-02-01  250501
1990-03-01  250961
1990-04-01  251797
1990-05-01  252958
1990-06-01  255376
1990-07-01  259928
1990-08-01  259115
1990-09-01  256312
1990-10-01  257166
1990-11-01  256401
1990-12-01  257219
1991-01-01  253028
1991-02-01  256679
1991-03-01  257222
1991-04-01  259689
1991-05-01  258182
1991-06-01  261379
1991-07-01  264768
1991-08-01  264443
1991-09-01  265112
1991-10-01  267994
1991-11-01  267399
1991-12-01  266216
1992-01-01  264746
1992-02-01  267563
1992-03-01  269016
1992-04-01  267651
1992-05-01  269024
1992-06-01  272926
1992-07-01  279722
1992-08-01  277298
1992-09-01  275037
1992-10-01  276878
1992-11-01  277086
1992-12-01  276777
1993-01-01  276268
1993-02-01  280148
1993-03-01  279048
1993-04-01  278063
1993-05-01  280374
1993-06-01  282734
1993-07-01  286818
1993-08-01  285736
1993-09-01  281839
1993-10-01  279283
1993-11-01  283683
1993-12-01  282607
1994-01-01  288101
1994-02-01  290774
1994-03-01  290104
1994-04-01  289981
1994-05-01  290931
1994-06-01  292909
1994-07-01  292067
1994-08-01  294737
1994-09-01  291813
1994-10-01  294965
1994-11-01  296656
1994-12-01  295301
1995-01-01  294549
1995-02-01  298115
1995-03-01  298089
1995-04-01  298256
1995-05-01  298563
1995-06-01  301358
1995-07-01  306846
1995-08-01  305193
1995-09-01  305762
1995-10-01  310011
1995-11-01  310732
1995-12-01  308040
1996-01-01  309175
1996-02-01  316330
1996-03-01  318975
1996-04-01  318675
1996-05-01  321316
1996-06-01  324040
1996-07-01  330064
1996-08-01  327511
1996-09-01  327353
1996-10-01  331758
1996-11-01  332489
1996-12-01  330545
1997-01-01  329171
1997-02-01  333437
1997-03-01  336972
1997-04-01  340132
1997-05-01  339877
1997-06-01  341136
1997-07-01  343909
1997-08-01  340285
1997-09-01  338218
1997-10-01  344864
1997-11-01  347388
1997-12-01  344227
1998-01-01  342965
1998-02-01  347867
1998-03-01  349083
1998-04-01  351200
1998-05-01  351269
1998-06-01  351696
1998-07-01  352837
1998-08-01  348531
1998-09-01  350140
1998-10-01  352960
1998-11-01  354673
1998-12-01  353835
1999-01-01  352260
1999-02-01  356580
1999-03-01  357380
1999-04-01  358339
1999-05-01  360288
1999-06-01  363658
1999-07-01  366159
1999-08-01  362508
1999-09-01  361132
1999-10-01  364609
1999-11-01  366361
1999-12-01  367271
2000-01-01  359874
2000-02-01  363752
2000-03-01  364684
2000-04-01  366325
2000-05-01  365872
2000-06-01  369837
2000-07-01  370976
2000-08-01  366471
2000-09-01  366642
2000-10-01  369264
2000-11-01  372413
2000-12-01  372722
2001-01-01  374836
2001-02-01  377459
2001-03-01  378847
2001-04-01  378217
2001-05-01  378254
2001-06-01  381163
2001-07-01  381244
2001-08-01  373940
2001-09-01  375981
2001-10-01  379413
2001-11-01  378621
2001-12-01  378754
2002-01-01  373311
2002-02-01  377245
2002-03-01  376529
2002-04-01  377527
2002-05-01  378261
2002-06-01  379853
2002-07-01  380756
2002-08-01  378069
2002-09-01  378895
2002-10-01  379589
2002-11-01  377713
2002-12-01  376338
2003-01-01  378792
2003-02-01  383214
2003-03-01  383554
2003-04-01  386977
2003-05-01  386537
2003-06-01  391171
2003-07-01  389782
2003-08-01  384593
2003-09-01  382997
2003-10-01  386276
2003-11-01  388200
2003-12-01  385667
2004-01-01  385952
2004-02-01  386674
2004-03-01  387067
2004-04-01  385090
2004-05-01  386733
2004-06-01  391723
2004-07-01  397726
2004-08-01  391471
2004-09-01  389462
2004-10-01  392383
2004-11-01  394527
2004-12-01  392905
2005-01-01  391176
2005-02-01  393533
2005-03-01  394044
2005-04-01  398154
2005-05-01  401761
2005-06-01  405954
2005-07-01  413542
2005-08-01  409354
2005-09-01  408529
2005-10-01  409962
2005-11-01  411319
2005-12-01  409008
2006-01-01  409950
2006-02-01  413268
2006-03-01  415121
2006-04-01  419330
2006-05-01  423746
2006-06-01  429056
2006-07-01  436622
2006-08-01  433761
2006-09-01  432226
2006-10-01  436083
2006-11-01  438750
2006-12-01  436273
2007-01-01  433222
2007-02-01  434879
2007-03-01  436782
2007-04-01  435604
2007-05-01  439378
2007-06-01  444725
2007-07-01  450599
2007-08-01  443809
2007-09-01  443747
2007-10-01  445531
2007-11-01  447185
2007-12-01  443605
2008-01-01  448516
2008-02-01  449089
2008-03-01  449832
2008-04-01  452123
2008-05-01  455693
2008-06-01  456861
2008-07-01  466148
2008-08-01  458295
2008-09-01  456298
2008-10-01  459961
2008-11-01  461900
2008-12-01  458344
2009-01-01  456338
2009-02-01  457157
2009-03-01  456119
2009-04-01  458774
2009-05-01  460363
2009-06-01  461430
2009-07-01  469862
2009-08-01  460964
2009-09-01  457303
2009-10-01  457643
2009-11-01  458522
2009-12-01  454210
2010-01-01  470111
2010-02-01  471593
2010-03-01  475821
2010-04-01  483170
2010-05-01  483671
2010-06-01  482875
2010-07-01  490760
2010-08-01  484270
2010-09-01  481233
2010-10-01  480837
2010-11-01  482949
2010-12-01  479489
2011-01-01  481733
2011-02-01  482573
2011-03-01  484482
2011-04-01  485785
2011-05-01  486500
2011-06-01  486507
2011-07-01  493698
2011-08-01  488901
2011-09-01  490883
2011-10-01  492170
2011-11-01  491859
2011-12-01  489105
2012-01-01  492657
2012-02-01  495928
2012-03-01  498701
2012-04-01  498085
2012-05-01  501656
2012-06-01  503913
2012-07-01  511084
2012-08-01  503605
2012-09-01  505462
2012-10-01  508554
2012-11-01  506111
2012-12-01  503688
2013-01-01  506119
2013-02-01  507963
2013-03-01  508915
2013-04-01  507537
2013-05-01  510160
2013-06-01  511433
2013-07-01  518163
2013-08-01  512660
2013-09-01  515913
2013-10-01  512442
2013-11-01  514321
2013-12-01  509590
2014-01-01  512419
2014-02-01  516056
2014-03-01  521076
2014-04-01  517656
2014-05-01  521754
2014-06-01  523705
2014-07-01  531885
2014-08-01  526056
2014-09-01  526757
2014-10-01  530924
2014-11-01  528843
2014-12-01  525794
2015-01-01  528058
2015-02-01  532044
2015-03-01  532951
2015-04-01  535384
2015-05-01  541486
2015-06-01  541312
2015-07-01  547254
2015-08-01  541386
2015-09-01  540970
2015-10-01  544822
2015-11-01  544362
2015-12-01  543769
2016-01-01  545393
2016-02-01  550745
2016-03-01  552504
2016-04-01  550664
2016-05-01  553323
2016-06-01  557004
2016-07-01  563102
2016-08-01  556853
2016-09-01  559066
2016-10-01  563242
2016-11-01  563080
2016-12-01  558215
2017-01-01  559906
2017-02-01  565044
2017-03-01  568115
2017-04-01  567183
2017-05-01  570921
2017-06-01  574079
2017-07-01  582847
2017-08-01  576555
2017-09-01  579578
2017-10-01  577827
2017-11-01  578852
2017-12-01  572348
2018-01-01  575035
2018-02-01  580198
2018-03-01  582882
2018-04-01  581296
2018-05-01  587229
2018-06-01  591631
2018-07-01  599034
