Title:               Civilian Labor Force in Wilkes County, NC
Series ID:           NCWILK5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  31294
1990-02-01  31165
1990-03-01  31409
1990-04-01  31593
1990-05-01  32323
1990-06-01  32380
1990-07-01  33447
1990-08-01  32343
1990-09-01  31513
1990-10-01  31161
1990-11-01  31568
1990-12-01  31235
1991-01-01  30857
1991-02-01  31735
1991-03-01  31927
1991-04-01  32332
1991-05-01  33044
1991-06-01  33030
1991-07-01  33471
1991-08-01  33065
1991-09-01  32352
1991-10-01  32058
1991-11-01  31965
1991-12-01  31662
1992-01-01  32026
1992-02-01  32768
1992-03-01  32414
1992-04-01  33070
1992-05-01  33570
1992-06-01  33670
1992-07-01  34165
1992-08-01  33588
1992-09-01  32753
1992-10-01  32185
1992-11-01  31956
1992-12-01  31790
1993-01-01  31611
1993-02-01  31679
1993-03-01  31336
1993-04-01  31413
1993-05-01  32115
1993-06-01  32663
1993-07-01  33613
1993-08-01  32416
1993-09-01  32369
1993-10-01  32378
1993-11-01  31940
1993-12-01  32081
1994-01-01  31479
1994-02-01  32036
1994-03-01  31934
1994-04-01  31886
1994-05-01  32450
1994-06-01  32294
1994-07-01  33238
1994-08-01  33230
1994-09-01  32657
1994-10-01  32918
1994-11-01  32672
1994-12-01  32256
1995-01-01  32486
1995-02-01  32280
1995-03-01  32918
1995-04-01  32947
1995-05-01  33145
1995-06-01  33638
1995-07-01  34112
1995-08-01  33708
1995-09-01  32845
1995-10-01  32982
1995-11-01  33070
1995-12-01  32780
1996-01-01  33099
1996-02-01  32735
1996-03-01  33849
1996-04-01  33161
1996-05-01  34914
1996-06-01  33558
1996-07-01  35143
1996-08-01  33713
1996-09-01  32696
1996-10-01  33093
1996-11-01  33151
1996-12-01  32764
1997-01-01  32408
1997-02-01  32406
1997-03-01  32643
1997-04-01  32624
1997-05-01  33407
1997-06-01  33597
1997-07-01  34701
1997-08-01  33878
1997-09-01  33143
1997-10-01  33574
1997-11-01  32961
1997-12-01  32643
1998-01-01  32279
1998-02-01  32146
1998-03-01  32317
1998-04-01  32688
1998-05-01  32889
1998-06-01  33345
1998-07-01  33517
1998-08-01  32910
1998-09-01  32646
1998-10-01  32337
1998-11-01  32146
1998-12-01  32381
1999-01-01  32547
1999-02-01  32290
1999-03-01  32662
1999-04-01  33881
1999-05-01  33686
1999-06-01  34562
1999-07-01  35619
1999-08-01  35021
1999-09-01  34594
1999-10-01  34118
1999-11-01  33777
1999-12-01  33215
2000-01-01  33419
2000-02-01  33506
2000-03-01  33775
2000-04-01  33990
2000-05-01  34024
2000-06-01  34379
2000-07-01  34905
2000-08-01  34477
2000-09-01  34088
2000-10-01  34049
2000-11-01  34425
2000-12-01  34282
2001-01-01  33760
2001-02-01  33704
2001-03-01  33718
2001-04-01  33278
2001-05-01  33326
2001-06-01  33618
2001-07-01  34377
2001-08-01  33753
2001-09-01  33732
2001-10-01  33856
2001-11-01  33718
2001-12-01  33347
2002-01-01  33211
2002-02-01  33389
2002-03-01  33277
2002-04-01  33150
2002-05-01  33122
2002-06-01  33428
2002-07-01  33973
2002-08-01  33002
2002-09-01  33075
2002-10-01  33290
2002-11-01  32996
2002-12-01  32964
2003-01-01  33567
2003-02-01  33480
2003-03-01  33588
2003-04-01  33478
2003-05-01  33473
2003-06-01  33998
2003-07-01  34469
2003-08-01  33656
2003-09-01  33281
2003-10-01  33755
2003-11-01  33698
2003-12-01  33190
2004-01-01  33286
2004-02-01  33113
2004-03-01  33173
2004-04-01  33037
2004-05-01  32938
2004-06-01  33054
2004-07-01  33838
2004-08-01  33188
2004-09-01  32798
2004-10-01  33134
2004-11-01  33253
2004-12-01  33287
2005-01-01  33055
2005-02-01  33128
2005-03-01  33063
2005-04-01  33034
2005-05-01  32937
2005-06-01  32574
2005-07-01  32936
2005-08-01  32741
2005-09-01  32583
2005-10-01  33006
2005-11-01  32681
2005-12-01  32484
2006-01-01  30800
2006-02-01  30928
2006-03-01  30767
2006-04-01  31365
2006-05-01  31501
2006-06-01  31011
2006-07-01  31714
2006-08-01  31505
2006-09-01  31552
2006-10-01  31690
2006-11-01  32032
2006-12-01  32055
2007-01-01  31444
2007-02-01  31405
2007-03-01  31181
2007-04-01  31380
2007-05-01  31630
2007-06-01  31192
2007-07-01  31440
2007-08-01  31159
2007-09-01  31265
2007-10-01  31452
2007-11-01  31587
2007-12-01  31141
2008-01-01  30227
2008-02-01  30071
2008-03-01  30090
2008-04-01  30293
2008-05-01  30221
2008-06-01  30127
2008-07-01  30344
2008-08-01  29892
2008-09-01  30188
2008-10-01  29838
2008-11-01  30475
2008-12-01  29923
2009-01-01  30203
2009-02-01  30146
2009-03-01  30268
2009-04-01  30246
2009-05-01  30416
2009-06-01  30018
2009-07-01  30257
2009-08-01  30020
2009-09-01  30244
2009-10-01  30226
2009-11-01  30281
2009-12-01  29728
2010-01-01  31281
2010-02-01  31322
2010-03-01  31367
2010-04-01  31639
2010-05-01  31447
2010-06-01  30624
2010-07-01  30728
2010-08-01  30656
2010-09-01  30869
2010-10-01  31027
2010-11-01  31340
2010-12-01  30673
2011-01-01  31016
2011-02-01  31045
2011-03-01  31155
2011-04-01  31154
2011-05-01  31169
2011-06-01  31057
2011-07-01  31030
2011-08-01  31112
2011-09-01  31272
2011-10-01  31144
2011-11-01  31136
2011-12-01  30845
2012-01-01  30544
2012-02-01  30659
2012-03-01  30526
2012-04-01  30383
2012-05-01  30818
2012-06-01  30662
2012-07-01  30519
2012-08-01  30412
2012-09-01  30690
2012-10-01  30830
2012-11-01  30727
2012-12-01  30247
2013-01-01  30218
2013-02-01  30132
2013-03-01  29854
2013-04-01  30084
2013-05-01  30279
2013-06-01  30090
2013-07-01  29976
2013-08-01  29665
2013-09-01  29860
2013-10-01  29822
2013-11-01  29915
2013-12-01  29551
2014-01-01  29576
2014-02-01  29599
2014-03-01  29579
2014-04-01  29465
2014-05-01  29723
2014-06-01  29549
2014-07-01  29447
2014-08-01  29183
2014-09-01  29341
2014-10-01  29643
2014-11-01  29960
2014-12-01  29492
2015-01-01  29606
2015-02-01  29769
2015-03-01  29726
2015-04-01  29784
2015-05-01  29899
2015-06-01  29367
2015-07-01  29483
2015-08-01  29326
2015-09-01  29528
2015-10-01  29672
2015-11-01  29770
2015-12-01  29618
2016-01-01  29742
2016-02-01  29907
2016-03-01  30436
2016-04-01  30071
2016-05-01  30283
2016-06-01  29702
2016-07-01  30005
2016-08-01  30133
2016-09-01  30491
2016-10-01  30539
2016-11-01  30591
2016-12-01  30159
2017-01-01  30507
2017-02-01  30789
2017-03-01  31036
2017-04-01  31318
2017-05-01  31202
2017-06-01  31042
2017-07-01  31022
2017-08-01  30772
2017-09-01  31172
2017-10-01  31824
2017-11-01  31917
2017-12-01  31637
2018-01-01  31798
2018-02-01  31216
2018-03-01  31273
2018-04-01  31424
2018-05-01  31371
2018-06-01  31053
2018-07-01  30962
2018-08-01  30219
2018-09-01  30387
2018-10-01  30647
2018-11-01  30656
