Title:               Mining Wages and Salaries in North Carolina
Series ID:           NCWMIN
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE          VALUE
1998-01-01   171720
1998-04-01   164244
1998-07-01   195960
1998-10-01   191560
1999-01-01   186696
1999-04-01   188596
1999-07-01   184028
1999-10-01   185580
2000-01-01   189336
2000-04-01   188460
2000-07-01   197760
2000-10-01   195884
2001-01-01   197200
2001-04-01   192664
2001-07-01   197272
2001-10-01   194376
2002-01-01   167008
2002-04-01   165824
2002-07-01   168604
2002-10-01   149672
2003-01-01   151016
2003-04-01   166288
2003-07-01   163088
2003-10-01   172456
2004-01-01   167864
2004-04-01   182108
2004-07-01   188196
2004-10-01   181308
2005-01-01   184460
2005-04-01   189184
2005-07-01   219408
2005-10-01   246520
2006-01-01   257568
2006-04-01   224744
2006-07-01   216476
2006-10-01   242688
2007-01-01   302356
2007-04-01   276604
2007-07-01   235960
2007-10-01   213064
2008-01-01   212824
2008-04-01   195788
2008-07-01   210560
2008-10-01   200276
2009-01-01   163664
2009-04-01   194084
2009-07-01   168840
2009-10-01   178660
2010-01-01   120444
2010-04-01   139172
2010-07-01   140804
2010-10-01   129520
2011-01-01   136764
2011-04-01   144208
2011-07-01   146444
2011-10-01   142992
2012-01-01   143248
2012-04-01   142252
2012-07-01   138080
2012-10-01   141320
2013-01-01   142008
2013-04-01   140624
2013-07-01   142344
2013-10-01   140600
2014-01-01   135120
2014-04-01   143568
2014-07-01   142392
2014-10-01   144988
2015-01-01   148760
2015-04-01   156336
2015-07-01   156320
2015-10-01   162252
2016-01-01   168036
2016-04-01   167040
2016-07-01   168352
2016-10-01   169288
2017-01-01   199876
2017-04-01   181520
2017-07-01   191264
2017-10-01   190140
2018-01-01   194976
2018-04-01   189422
2018-07-01   185530
