Title:               Durable Manufacturing Wages and Salaries in North Carolina
Series ID:           NCWDUR
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01   12889300
1998-04-01   12729708
1998-07-01   13175176
1998-10-01   13962688
1999-01-01   13953372
1999-04-01   14160088
1999-07-01   14325420
1999-10-01   14852792
2000-01-01   15225168
2000-04-01   15541288
2000-07-01   15590432
2000-10-01   15151840
2001-01-01   15212492
2001-04-01   14761456
2001-07-01   14055448
2001-10-01   13788672
2002-01-01   13303052
2002-04-01   13254168
2002-07-01   13113780
2002-10-01   12845564
2003-01-01   12656700
2003-04-01   12548820
2003-07-01   12707852
2003-10-01   12954504
2004-01-01   12993724
2004-04-01   13236668
2004-07-01   13695200
2004-10-01   13632776
2005-01-01   13583156
2005-04-01   13649228
2005-07-01   13839252
2005-10-01   13859748
2006-01-01   14363008
2006-04-01   14469732
2006-07-01   14324140
2006-10-01   14712480
2007-01-01   15148448
2007-04-01   14839140
2007-07-01   14926288
2007-10-01   14850024
2008-01-01   14868792
2008-04-01   14757376
2008-07-01   14326108
2008-10-01   13927792
2009-01-01   12801680
2009-04-01   12404908
2009-07-01   12274920
2009-10-01   12522120
2010-01-01   12256412
2010-04-01   12539368
2010-07-01   12546696
2010-10-01   12985884
2011-01-01   13137520
2011-04-01   13129372
2011-07-01   13511400
2011-10-01   13082172
2012-01-01   13970548
2012-04-01   13807812
2012-07-01   13883860
2012-10-01   13809912
2013-01-01   14395024
2013-04-01   14571960
2013-07-01   14499524
2013-10-01   14380220
2014-01-01   14315944
2014-04-01   14586152
2014-07-01   14815968
2014-10-01   14997528
2015-01-01   15362452
2015-04-01   15302512
2015-07-01   15688460
2015-10-01   15563272
2016-01-01   15820032
2016-04-01   15500596
2016-07-01   15632308
2016-10-01   15991616
2017-01-01   15953796
2017-04-01   16540840
2017-07-01   16416532
2017-10-01   16525036
2018-01-01   16893106
2018-04-01   17093409
2018-07-01   17207129
