Title:               Construction Wages and Salaries in North Carolina
Series ID:           NCWCON
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01    5919468
1998-04-01    6270816
1998-07-01    6513532
1998-10-01    6799800
1999-01-01    6871308
1999-04-01    6903560
1999-07-01    7004960
1999-10-01    7156324
2000-01-01    7301600
2000-04-01    7426036
2000-07-01    7414272
2000-10-01    7510236
2001-01-01    7758916
2001-04-01    7781708
2001-07-01    7647808
2001-10-01    7629692
2002-01-01    7527084
2002-04-01    7508244
2002-07-01    7362408
2002-10-01    7196020
2003-01-01    7208824
2003-04-01    7180004
2003-07-01    7336704
2003-10-01    7608604
2004-01-01    7386852
2004-04-01    7832032
2004-07-01    8147488
2004-10-01    8247900
2005-01-01    8243532
2005-04-01    8529000
2005-07-01    8841664
2005-10-01    8875744
2006-01-01    9579364
2006-04-01    9625088
2006-07-01    9586320
2006-10-01   10015076
2007-01-01   10405924
2007-04-01   10422020
2007-07-01   10359400
2007-10-01   10514936
2008-01-01   10375360
2008-04-01   10081704
2008-07-01    9657132
2008-10-01    9373220
2009-01-01    8451384
2009-04-01    7987328
2009-07-01    7857320
2009-10-01    7698968
2010-01-01    7451684
2010-04-01    7542708
2010-07-01    7562600
2010-10-01    7287228
2011-01-01    7444440
2011-04-01    7540824
2011-07-01    7619824
2011-10-01    7405204
2012-01-01    7801884
2012-04-01    7693624
2012-07-01    7638796
2012-10-01    7785684
2013-01-01    7878688
2013-04-01    7948384
2013-07-01    8015580
2013-10-01    8071680
2014-01-01    8197148
2014-04-01    8421536
2014-07-01    8615324
2014-10-01    8851048
2015-01-01    9007864
2015-04-01    9414700
2015-07-01    9512944
2015-10-01    9771348
2016-01-01    9989680
2016-04-01   10353904
2016-07-01   10641936
2016-10-01   10929728
2017-01-01   11140568
2017-04-01   11129568
2017-07-01   11528380
2017-10-01   11701556
2018-01-01   12009839
2018-04-01   12428894
2018-07-01   12617660
