Title:               Resident Population in Washington County, NC
Series ID:           NCWASH7POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  14.038
1971-01-01  14.100
1972-01-01  13.700
1973-01-01  13.900
1974-01-01  14.000
1975-01-01  15.100
1976-01-01  14.900
1977-01-01  15.100
1978-01-01  14.700
1979-01-01  14.900
1980-01-01  14.801
1981-01-01  14.606
1982-01-01  14.476
1983-01-01  14.421
1984-01-01  14.275
1985-01-01  14.281
1986-01-01  14.222
1987-01-01  14.289
1988-01-01  14.265
1989-01-01  14.110
1990-01-01  14.012
1991-01-01  14.150
1992-01-01  14.275
1993-01-01  14.242
1994-01-01  14.413
1995-01-01  14.313
1996-01-01  14.116
1997-01-01  13.985
1998-01-01  13.804
1999-01-01  13.745
2000-01-01  13.661
2001-01-01  13.508
2002-01-01  13.343
2003-01-01  13.333
2004-01-01  13.168
2005-01-01  13.123
2006-01-01  12.982
2007-01-01  12.818
2008-01-01  12.901
2009-01-01  12.812
2010-01-01  13.140
2011-01-01  12.929
2012-01-01  12.692
2013-01-01  12.706
2014-01-01  12.510
2015-01-01  12.293
2016-01-01  12.132
2017-01-01  12.012
