Title:               Civilian Labor Force in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           VIRG251LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:12 AM CST
Notes:               

DATE         VALUE
1990-01-01  666069
1990-02-01  665070
1990-03-01  670064
1990-04-01  672441
1990-05-01  673523
1990-06-01  683049
1990-07-01  706587
1990-08-01  705457
1990-09-01  690051
1990-10-01  690777
1990-11-01  690160
1990-12-01  695275
1991-01-01  684663
1991-02-01  684852
1991-03-01  691096
1991-04-01  693688
1991-05-01  696491
1991-06-01  710469
1991-07-01  726951
1991-08-01  720443
1991-09-01  712436
1991-10-01  712155
1991-11-01  711239
1991-12-01  707981
1992-01-01  705878
1992-02-01  710653
1992-03-01  716292
1992-04-01  715451
1992-05-01  718046
1992-06-01  726967
1992-07-01  746267
1992-08-01  736216
1992-09-01  718830
1992-10-01  711836
1992-11-01  714063
1992-12-01  714599
1993-01-01  703329
1993-02-01  705956
1993-03-01  710977
1993-04-01  708077
1993-05-01  718243
1993-06-01  729053
1993-07-01  731841
1993-08-01  725457
1993-09-01  704965
1993-10-01  704899
1993-11-01  705146
1993-12-01  704230
1994-01-01  709419
1994-02-01  711749
1994-03-01  711417
1994-04-01  717609
1994-05-01  725905
1994-06-01  732904
1994-07-01  739885
1994-08-01  741322
1994-09-01  728395
1994-10-01  725347
1994-11-01  723998
1994-12-01  717967
1995-01-01  718370
1995-02-01  720589
1995-03-01  724376
1995-04-01  726930
1995-05-01  730232
1995-06-01  738171
1995-07-01  744395
1995-08-01  735272
1995-09-01  723053
1995-10-01  725091
1995-11-01  721807
1995-12-01  712770
1996-01-01  708678
1996-02-01  710638
1996-03-01  715835
1996-04-01  713625
1996-05-01  722520
1996-06-01  732242
1996-07-01  744688
1996-08-01  736415
1996-09-01  729760
1996-10-01  730089
1996-11-01  727007
1996-12-01  722745
1997-01-01  722225
1997-02-01  722525
1997-03-01  733867
1997-04-01  730749
1997-05-01  740654
1997-06-01  749887
1997-07-01  752123
1997-08-01  745087
1997-09-01  732932
1997-10-01  731543
1997-11-01  734530
1997-12-01  732014
1998-01-01  724506
1998-02-01  727300
1998-03-01  734021
1998-04-01  729410
1998-05-01  743676
1998-06-01  748670
1998-07-01  762597
1998-08-01  758441
1998-09-01  749248
1998-10-01  744662
1998-11-01  745234
1998-12-01  745327
1999-01-01  735185
1999-02-01  738552
1999-03-01  741647
1999-04-01  741338
1999-05-01  749276
1999-06-01  757184
1999-07-01  759310
1999-08-01  753154
1999-09-01  741103
1999-10-01  740899
1999-11-01  744413
1999-12-01  744943
2000-01-01  720238
2000-02-01  725231
2000-03-01  728079
2000-04-01  725846
2000-05-01  726396
2000-06-01  733544
2000-07-01  736323
2000-08-01  731986
2000-09-01  722234
2000-10-01  723902
2000-11-01  726998
2000-12-01  730707
2001-01-01  728954
2001-02-01  732100
2001-03-01  740453
2001-04-01  741659
2001-05-01  746176
2001-06-01  752426
2001-07-01  760434
2001-08-01  749697
2001-09-01  746274
2001-10-01  746194
2001-11-01  748387
2001-12-01  748744
2002-01-01  739918
2002-02-01  752153
2002-03-01  754807
2002-04-01  756869
2002-05-01  764796
2002-06-01  770825
2002-07-01  773600
