Title:               All Employees: Education and Health Services in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           VIRG251EDUH
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:31 PM CST
Notes:               The data services of the Federal Reserve Bank of St. Louis include
                     series that are seasonally adjusted. To make these adjustments, we use
                     the X-12 Procedure of SAS to remove the seasonal component of the
                     series so that non-seasonal trends can be analyzed. This procedure is
                     based on the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment
                     Program. More information on this program can be found at
                     http://www.census.gov/srd/www/x12a/.
                     The seasonal moving average function used is that of the Census
                     Bureau’s X-11-ARIMA program. This includes a 3x3 moving average for
                     the initial seasonal factors and a 3x5 moving average to calculate the
                     final seasonal factors. The D11 function is also used to output the
                     entire seasonally adjusted series that is displayed. For specific
                     information on the SAS X-12 procedure, please visit their website:
                     http://support.sas.com/documentation/cdl/en/etsug/60372/HTML/default/viewer.htm#etsug_x12_sect001.htm.

DATE        VALUE
1990-01-01   55.2
1990-02-01   55.5
1990-03-01   55.7
1990-04-01   55.8
1990-05-01   56.1
1990-06-01   56.4
1990-07-01   56.3
1990-08-01   56.8
1990-09-01   57.1
1990-10-01   57.5
1990-11-01   58.1
1990-12-01   58.1
1991-01-01   58.3
1991-02-01   58.0
1991-03-01   58.3
1991-04-01   58.3
1991-05-01   58.4
1991-06-01   59.0
1991-07-01   58.8
1991-08-01   58.6
1991-09-01   59.3
1991-10-01   59.4
1991-11-01   59.5
1991-12-01   59.7
1992-01-01   59.7
1992-02-01   60.1
1992-03-01   60.0
1992-04-01   60.1
1992-05-01   60.2
1992-06-01   60.2
1992-07-01   60.3
1992-08-01   60.4
1992-09-01   60.5
1992-10-01   60.8
1992-11-01   61.1
1992-12-01   60.8
1993-01-01   61.0
1993-02-01   61.0
1993-03-01   61.1
1993-04-01   61.7
1993-05-01   61.5
1993-06-01   61.3
1993-07-01   61.6
1993-08-01   61.4
1993-09-01   61.2
1993-10-01   61.4
1993-11-01   61.2
1993-12-01   61.2
1994-01-01   62.3
1994-02-01   62.3
1994-03-01   62.7
1994-04-01   62.9
1994-05-01   62.9
1994-06-01   63.0
1994-07-01   63.0
1994-08-01   63.0
1994-09-01   63.6
1994-10-01   63.7
1994-11-01   64.0
1994-12-01   63.9
1995-01-01   63.9
1995-02-01   64.2
1995-03-01   64.2
1995-04-01   64.3
1995-05-01   64.3
1995-06-01   64.9
1995-07-01   64.7
1995-08-01   65.0
1995-09-01   65.0
1995-10-01   64.9
1995-11-01   64.7
1995-12-01   65.1
1996-01-01   64.8
1996-02-01   64.8
1996-03-01   64.6
1996-04-01   65.6
1996-05-01   65.0
1996-06-01   65.2
1996-07-01   65.6
1996-08-01   65.7
1996-09-01   65.9
1996-10-01   66.0
1996-11-01   66.2
1996-12-01   66.4
1997-01-01   66.5
1997-02-01   66.6
1997-03-01   66.9
1997-04-01   66.9
1997-05-01   67.4
1997-06-01   67.7
1997-07-01   66.9
1997-08-01   67.6
1997-09-01   67.8
1997-10-01   68.1
1997-11-01   68.4
1997-12-01   68.4
1998-01-01   69.0
1998-02-01   69.1
1998-03-01   69.2
1998-04-01   69.6
1998-05-01   69.7
1998-06-01   69.7
1998-07-01   69.8
1998-08-01   69.8
1998-09-01   70.0
1998-10-01   69.6
1998-11-01   69.9
1998-12-01   69.9
1999-01-01   70.6
1999-02-01   70.9
1999-03-01   71.1
1999-04-01   71.8
1999-05-01   71.4
1999-06-01   71.4
1999-07-01   71.4
1999-08-01   71.5
1999-09-01   71.9
1999-10-01   72.2
1999-11-01   72.1
1999-12-01   72.3
2000-01-01   72.3
2000-02-01   72.5
2000-03-01   72.6
2000-04-01   72.6
2000-05-01   73.3
2000-06-01   73.5
2000-07-01   74.1
2000-08-01   74.2
2000-09-01   73.7
2000-10-01   73.9
2000-11-01   74.0
2000-12-01   74.0
2001-01-01   73.9
2001-02-01   73.9
2001-03-01   73.9
2001-04-01   74.1
2001-05-01   74.3
2001-06-01   74.8
2001-07-01   74.8
2001-08-01   74.9
2001-09-01   75.4
2001-10-01   75.4
2001-11-01   75.9
2001-12-01   76.0
2002-01-01   76.1
2002-02-01   76.5
2002-03-01   76.9
2002-04-01   76.8
2002-05-01   77.4
2002-06-01   77.8
2002-07-01   77.4
2002-08-01   77.5
2002-09-01   77.8
2002-10-01   78.6
2002-11-01   78.8
2002-12-01   78.9
2003-01-01   77.7
2003-02-01   77.5
2003-03-01   77.7
2003-04-01   78.6
2003-05-01   78.3
2003-06-01   78.6
2003-07-01   79.5
2003-08-01   79.7
2003-09-01   79.5
2003-10-01   79.2
2003-11-01   79.6
2003-12-01   79.5
2004-01-01   82.2
2004-02-01   82.2
2004-03-01   82.7
2004-04-01   82.8
2004-05-01   82.4
2004-06-01   81.5
2004-07-01   82.5
2004-08-01   82.8
2004-09-01   82.8
2004-10-01   83.6
2004-11-01   83.7
2004-12-01   83.9
2005-01-01   84.6
2005-02-01   84.5
2005-03-01   84.5
2005-04-01   84.7
2005-05-01   84.9
2005-06-01   85.2
2005-07-01   85.3
2005-08-01   86.0
2005-09-01   86.7
2005-10-01   86.5
2005-11-01   86.8
2005-12-01   87.0
2006-01-01   86.9
2006-02-01   87.3
2006-03-01   87.4
2006-04-01   87.3
2006-05-01   87.6
2006-06-01   87.9
2006-07-01   87.9
2006-08-01   87.7
2006-09-01   88.7
2006-10-01   88.8
2006-11-01   89.0
2006-12-01   89.3
2007-01-01   89.4
2007-02-01   89.5
2007-03-01   89.8
2007-04-01   90.2
2007-05-01   90.4
2007-06-01   90.5
2007-07-01   91.1
2007-08-01   91.1
2007-09-01   91.4
2007-10-01   91.2
2007-11-01   91.3
2007-12-01   91.8
2008-01-01   90.4
2008-02-01   90.9
2008-03-01   91.0
2008-04-01   91.4
2008-05-01   91.6
2008-06-01   91.9
2008-07-01   92.0
2008-08-01   92.2
2008-09-01   91.8
2008-10-01   92.4
2008-11-01   92.4
2008-12-01   92.8
2009-01-01   93.6
2009-02-01   93.5
2009-03-01   93.4
2009-04-01   93.2
2009-05-01   93.3
2009-06-01   93.4
2009-07-01   93.6
2009-08-01   93.7
2009-09-01   94.0
2009-10-01   94.1
2009-11-01   94.0
2009-12-01   94.6
2010-01-01   93.7
2010-02-01   93.7
2010-03-01   94.3
2010-04-01   94.4
2010-05-01   94.6
2010-06-01   94.5
2010-07-01   94.9
2010-08-01   94.9
2010-09-01   94.3
2010-10-01   95.5
2010-11-01   95.8
2010-12-01   96.4
2011-01-01   96.6
2011-02-01   96.9
2011-03-01   97.3
2011-04-01   97.7
2011-05-01   98.0
2011-06-01   98.2
2011-07-01   98.6
2011-08-01   98.4
2011-09-01   98.7
2011-10-01   98.4
2011-11-01   98.6
2011-12-01   98.1
2012-01-01   99.0
2012-02-01   99.4
2012-03-01   99.5
2012-04-01   99.6
2012-05-01   99.8
2012-06-01  100.5
2012-07-01  100.0
2012-08-01  100.4
2012-09-01  100.8
2012-10-01  101.8
2012-11-01  102.1
2012-12-01  102.3
2013-01-01  103.1
2013-02-01  103.3
2013-03-01  103.5
2013-04-01  103.8
2013-05-01  103.7
2013-06-01  104.3
2013-07-01  103.9
2013-08-01  104.6
2013-09-01  104.8
2013-10-01  104.9
2013-11-01  105.3
2013-12-01  105.3
2014-01-01  105.3
2014-02-01  105.0
2014-03-01  105.0
2014-04-01  105.2
2014-05-01  105.5
2014-06-01  105.5
2014-07-01  105.3
2014-08-01  105.7
2014-09-01  105.5
2014-10-01  105.2
2014-11-01  105.1
