Title:               All Employees: Trade, Transportation, and Utilities in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           VIRG251TRAD
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:31 PM CST
Notes:               The data services of the Federal Reserve Bank of St. Louis include
                     series that are seasonally adjusted. To make these adjustments, we use
                     the X-12 Procedure of SAS to remove the seasonal component of the
                     series so that non-seasonal trends can be analyzed. This procedure is
                     based on the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment
                     Program. More information on this program can be found at
                     http://www.census.gov/srd/www/x12a/.
                     The seasonal moving average function used is that of the Census
                     Bureau’s X-11-ARIMA program. This includes a 3x3 moving average for
                     the initial seasonal factors and a 3x5 moving average to calculate the
                     final seasonal factors. The D11 function is also used to output the
                     entire seasonally adjusted series that is displayed. For specific
                     information on the SAS X-12 procedure, please visit their website:
                     http://support.sas.com/documentation/cdl/en/etsug/60372/HTML/default/viewer.htm#etsug_x12_sect001.htm.

DATE        VALUE
1990-01-01  123.5
1990-02-01  123.3
1990-03-01  123.9
1990-04-01  123.3
1990-05-01  122.7
1990-06-01  122.4
1990-07-01  121.2
1990-08-01  121.4
1990-09-01  119.5
1990-10-01  122.1
1990-11-01  121.2
1990-12-01  120.9
1991-01-01  119.4
1991-02-01  118.4
1991-03-01  118.2
1991-04-01  117.6
1991-05-01  117.4
1991-06-01  117.4
1991-07-01  117.8
1991-08-01  117.7
1991-09-01  117.5
1991-10-01  117.0
1991-11-01  116.4
1991-12-01  117.1
1992-01-01  116.5
1992-02-01  117.0
1992-03-01  116.6
1992-04-01  116.8
1992-05-01  117.0
1992-06-01  117.1
1992-07-01  116.6
1992-08-01  116.5
1992-09-01  115.9
1992-10-01  115.7
1992-11-01  115.2
1992-12-01  114.7
1993-01-01  116.2
1993-02-01  116.2
1993-03-01  115.7
1993-04-01  116.4
1993-05-01  116.6
1993-06-01  116.5
1993-07-01  117.1
1993-08-01  117.0
1993-09-01  116.1
1993-10-01  118.2
1993-11-01  119.1
1993-12-01  119.7
1994-01-01  119.7
1994-02-01  120.2
1994-03-01  120.9
1994-04-01  120.5
1994-05-01  120.6
1994-06-01  120.6
1994-07-01  121.8
1994-08-01  121.9
1994-09-01  122.4
1994-10-01  121.5
1994-11-01  120.6
1994-12-01  121.1
1995-01-01  121.8
1995-02-01  122.1
1995-03-01  122.0
1995-04-01  122.9
1995-05-01  123.1
1995-06-01  123.4
1995-07-01  122.4
1995-08-01  122.2
1995-09-01  121.6
1995-10-01  123.9
1995-11-01  124.0
1995-12-01  123.7
1996-01-01  125.6
1996-02-01  125.3
1996-03-01  125.2
1996-04-01  125.2
1996-05-01  124.7
1996-06-01  126.0
1996-07-01  126.6
1996-08-01  128.0
1996-09-01  127.9
1996-10-01  127.9
1996-11-01  128.5
1996-12-01  128.6
1997-01-01  128.4
1997-02-01  127.8
1997-03-01  128.3
1997-04-01  128.2
1997-05-01  128.3
1997-06-01  128.7
1997-07-01  128.9
1997-08-01  128.7
1997-09-01  129.6
1997-10-01  130.8
1997-11-01  130.3
1997-12-01  130.3
1998-01-01  129.9
1998-02-01  130.0
1998-03-01  130.3
1998-04-01  129.7
1998-05-01  130.7
1998-06-01  130.8
1998-07-01  132.4
1998-08-01  132.8
1998-09-01  133.2
1998-10-01  133.7
1998-11-01  133.9
1998-12-01  133.7
