Title:               Quarterly Average of Total Loans for Commercial Banks with Assets under $5B in Greensboro-High Point, NC (MSA)
Series ID:           TOTLOANGNS
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:04 AM CST
Notes:               This series represents Quarterly Average of Total Loans, Net of
                     Unearned Income call item RCFD3360.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE          VALUE
1989-01-01   712209
1989-04-01   728729
1989-07-01   744766
1989-10-01   706696
1990-01-01   718389
1990-04-01   727986
1990-07-01   737285
1990-10-01   736096
1991-01-01   738936
1991-04-01   748597
1991-07-01   750439
1991-10-01   744907
1992-01-01   743442
1992-04-01   794127
1992-07-01   821416
1992-10-01  1005806
1993-01-01  1045882
1993-04-01  1051136
1993-07-01  1035086
1993-10-01  1002023
1994-01-01  1064036
1994-04-01  1074140
1994-07-01  1019752
1994-10-01  1033071
1995-01-01  1060204
1995-04-01   841123
1995-07-01   864724
1995-10-01   887092
1996-01-01   777862
1996-04-01   803383
1996-07-01   811993
1996-10-01   819708
1997-01-01   840884
1997-04-01   882446
1997-07-01   896419
1997-10-01   921242
1998-01-01   946892
1998-04-01   977322
1998-07-01   982596
1998-10-01   992776
1999-01-01  1000682
1999-04-01  1024953
1999-07-01  1068409
1999-10-01  1104009
2000-01-01  1153498
2000-04-01  1303726
2000-07-01  1364163
2000-10-01  1552971
2001-01-01  1599613
2001-04-01  1628100
2001-07-01  1659761
2001-10-01  1700045
2002-01-01  1731982
2002-04-01  1779995
2002-07-01  1855113
2002-10-01  1889215
2003-01-01  1937646
2003-04-01  1971995
2003-07-01  1982122
2003-10-01  2009685
2004-01-01  2060733
2004-04-01  2109891
2004-07-01  2167838
2004-10-01  2375991
2005-01-01  2432336
2005-04-01  2517998
2005-07-01  2595657
2005-10-01  2622847
2006-01-01  2744813
2006-04-01  2749734
2006-07-01  3114364
2006-10-01  3156702
2007-01-01  3202887
2007-04-01  3270496
2007-07-01  3309387
2007-10-01  2779759
2008-01-01  2917689
2008-04-01  3032480
2008-07-01  3093529
2008-10-01  3132862
2009-01-01  3178177
2009-04-01  3189123
2009-07-01  3206251
2009-10-01  3258332
2010-01-01  3220402
2010-04-01  3198148
2010-07-01  3125488
2010-10-01  3013702
2011-01-01  2850876
2011-04-01  2686919
2011-07-01  2507775
2011-10-01  2398007
2012-01-01  3661088
2012-04-01  3709654
2012-07-01  3697003
2012-10-01  3691890
2013-01-01  3624166
2013-04-01  3835853
2013-07-01  3936111
2013-10-01  3952541
2014-01-01  4006333
2014-04-01  4362151
2014-07-01  4425411
2014-10-01  4539472
2015-01-01  4544945
2015-04-01  4694505
2015-07-01  4812598
2015-10-01  4905019
2016-01-01  2849350
2016-04-01  2841333
2016-07-01  2857839
2016-10-01   838989
2017-01-01   309218
2017-04-01   318802
2017-07-01   330477
2017-10-01   337868
2018-01-01   342509
2018-04-01   347668
2018-07-01   358613
