Title:               Quarterly Average of Total Assets for Commercial Banks with Assets under $5B in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           TOTASSETNFK
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:04 AM CST
Notes:               This series represents Quarterly Average of Total Assets call item
                     RCFD3368.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE           VALUE
1989-01-01   2454604
1989-04-01   2522072
1989-07-01   2613412
1989-10-01   2656842
1990-01-01   2685270
1990-04-01   2621411
1990-07-01   2666255
1990-10-01   2730707
1991-01-01   1790536
1991-04-01   1844638
1991-07-01   1955466
1991-10-01   1998929
1992-01-01   2001779
1992-04-01   2112152
1992-07-01   2165150
1992-10-01   2221154
1993-01-01   2205732
1993-04-01   2271225
1993-07-01   2317178
1993-10-01   2394039
1994-01-01   2410723
1994-04-01   2432297
1994-07-01   2444856
1994-10-01   2460340
1995-01-01   2436483
1995-04-01   2517031
1995-07-01   2618430
1995-10-01   2729251
1996-01-01   2791441
1996-04-01   2851751
1996-07-01   2905549
1996-10-01   2977260
1997-01-01   3013799
1997-04-01   3040481
1997-07-01   3113124
1997-10-01   3213248
1998-01-01   3356816
1998-04-01   4636112
1998-07-01   5984009
1998-10-01   6035674
1999-01-01   6064529
1999-04-01   6255079
1999-07-01   2938434
1999-10-01   3047991
2000-01-01   8113654
2000-04-01   3268241
2000-07-01   3381578
2000-10-01   3707296
2001-01-01   3840776
2001-04-01   4025638
2001-07-01   4226412
2001-10-01   4234481
2002-01-01   3899550
2002-04-01   4104543
2002-07-01   4276179
2002-10-01   4504589
2003-01-01   4612885
2003-04-01   4832281
2003-07-01   5213210
2003-10-01   4037360
2004-01-01   3915755
2004-04-01   4451684
2004-07-01   4701891
2004-10-01   4874236
2005-01-01   5049087
2005-04-01   5352544
2005-07-01   5736121
2005-10-01   5913888
2006-01-01   6108148
2006-04-01   6402513
2006-07-01   6693973
2006-10-01   6946590
2007-01-01   7130864
2007-04-01   7356256
2007-07-01   7634610
2007-10-01   7835367
2008-01-01   6537537
2008-04-01   6807177
2008-07-01   7115622
2008-10-01   7336475
2009-01-01   7663482
2009-04-01  10111084
2009-07-01  10270164
2009-10-01  10332779
2010-01-01  10384556
2010-04-01  10462084
2010-07-01  10431267
2010-10-01  10417397
2011-01-01  10140232
2011-04-01   9987362
2011-07-01   8963695
2011-10-01   8817026
2012-01-01   8871561
2012-04-01   8880697
2012-07-01   9054375
2012-10-01   9321898
2013-01-01   9185411
2013-04-01   9184964
2013-07-01   9259844
2013-10-01   9300366
2014-01-01   9290124
2014-04-01   9467719
2014-07-01   9543412
2014-10-01   9496100
2015-01-01   4557912
2015-04-01   4578956
2015-07-01   4511050
2015-10-01   4871224
2016-01-01   4638920
2016-04-01   3496808
2016-07-01   1475719
2016-10-01   1494517
2017-01-01   1371551
2017-04-01   1400412
2017-07-01   1424967
2017-10-01   1463412
2018-01-01   1493872
2018-04-01   1482348
2018-07-01   1487481
