Title:               Quarterly Average of Total Loans for Commercial Banks with Assets under $5B in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           TOTLOANCGR
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:01 AM CST
Notes:               This series represents Quarterly Average of Total Loans, Net of
                     Unearned Income call item RCFD3360.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE          VALUE
1989-01-01  1063749
1989-04-01  1094785
1989-07-01  1162319
1989-10-01  1193702
1990-01-01  1244700
1990-04-01  1291277
1990-07-01  1301625
1990-10-01  1335885
1991-01-01  1329249
1991-04-01  1318486
1991-07-01  1283534
1991-10-01  1215302
1992-01-01  1182657
1992-04-01  1283091
1992-07-01  1364966
1992-10-01  1641617
1993-01-01  1659582
1993-04-01  1670901
1993-07-01  2240519
1993-10-01  2270652
1994-01-01  2280188
1994-04-01  2145545
1994-07-01  2473366
1994-10-01  2510812
1995-01-01  2579648
1995-04-01  2130331
1995-07-01  2306407
1995-10-01  2424882
1996-01-01  2546888
1996-04-01  2799620
1996-07-01  2846147
1996-10-01  2991118
1997-01-01  3168516
1997-04-01  2354246
1997-07-01  2446087
1997-10-01  2600924
1998-01-01  2674636
1998-04-01  2752241
1998-07-01  2697641
1998-10-01  2814876
1999-01-01  3782841
1999-04-01  3915795
1999-07-01  3755214
1999-10-01  3558134
2000-01-01  3603557
2000-04-01  3389465
2000-07-01  3534406
2000-10-01  3653272
2001-01-01  3790728
2001-04-01  3803883
2001-07-01  3890235
2001-10-01  3759779
2002-01-01  3586011
2002-04-01  3752617
2002-07-01  3729445
2002-10-01  3661386
2003-01-01  3575892
2003-04-01  3705904
2003-07-01  3585332
2003-10-01  3670650
2004-01-01  3808727
2004-04-01  3936916
2004-07-01  4070608
2004-10-01  4066756
2005-01-01  4268980
2005-04-01  4664282
2005-07-01  4904792
2005-10-01  4921331
2006-01-01  5411020
2006-04-01  5645489
2006-07-01  5305914
2006-10-01  5691287
2007-01-01  6279832
2007-04-01  6445806
2007-07-01  6796636
2007-10-01  7074215
2008-01-01  7468733
2008-04-01  3700618
2008-07-01  3919416
2008-10-01  3475991
2009-01-01  3558941
2009-04-01  3162024
2009-07-01  3155667
2009-10-01  3124515
2010-01-01  3117589
2010-04-01  3071623
2010-07-01  3013645
2010-10-01  2944543
2011-01-01  2887504
2011-04-01  2781782
2011-07-01  2678544
2011-10-01  3504424
2012-01-01  3913856
2012-04-01  3838560
2012-07-01  3785386
2012-10-01  3514325
2013-01-01  3468103
2013-04-01  4776900
2013-07-01  4684691
2013-10-01  4720651
2014-01-01  4756156
2014-04-01  4807395
2014-07-01  6247305
2014-10-01  6420016
2015-01-01  6508510
2015-04-01  6614477
2015-07-01  6701652
2015-10-01  6811628
2016-01-01  4363927
2016-04-01  4421665
2016-07-01  4451049
2016-10-01  4591731
2017-01-01  4649876
2017-04-01  4768205
2017-07-01  4811969
2017-10-01  2191057
2018-01-01  2251929
2018-04-01  2294984
2018-07-01  2020024
