Title:               Quarterly Average of Total Assets for Commercial Banks with Assets under $5B in Greensboro-High Point, NC (MSA)
Series ID:           TOTASSETGNS
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:01 AM CST
Notes:               This series represents Quarterly Average of Total Assets call item
                     RCFD3368.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE          VALUE
1989-01-01  1004279
1989-04-01  1026698
1989-07-01  1072528
1989-10-01  1048835
1990-01-01  1041820
1990-04-01  1046993
1990-07-01  1048660
1990-10-01  1067169
1991-01-01  1068259
1991-04-01  1086518
1991-07-01  1096114
1991-10-01  1129888
1992-01-01  1113085
1992-04-01  1187341
1992-07-01  1217706
1992-10-01  1522777
1993-01-01  1577659
1993-04-01  1597688
1993-07-01  1601128
1993-10-01  1564283
1994-01-01  1632368
1994-04-01  1640675
1994-07-01  1532353
1994-10-01  1568281
1995-01-01  1570223
1995-04-01  1278137
1995-07-01  1286026
1995-10-01  1324120
1996-01-01  1138032
1996-04-01  1167991
1996-07-01  1173554
1996-10-01  1219672
1997-01-01  1240980
1997-04-01  1273572
1997-07-01  1269566
1997-10-01  1341116
1998-01-01  1387710
1998-04-01  1487405
1998-07-01  1511083
1998-10-01  1552293
1999-01-01  1544703
1999-04-01  1572702
1999-07-01  1608854
1999-10-01  1659324
2000-01-01  1702929
2000-04-01  1889675
2000-07-01  2001647
2000-10-01  2237416
2001-01-01  2324133
2001-04-01  2401741
2001-07-01  2449058
2001-10-01  2485705
2002-01-01  2516460
2002-04-01  2526184
2002-07-01  2647134
2002-10-01  2710121
2003-01-01  2776933
2003-04-01  2840923
2003-07-01  2761194
2003-10-01  2791837
2004-01-01  2842444
2004-04-01  2924016
2004-07-01  2994847
2004-10-01  3249251
2005-01-01  3243404
2005-04-01  3351694
2005-07-01  3446072
2005-10-01  3545747
2006-01-01  3729847
2006-04-01  3755953
2006-07-01  4342067
2006-10-01  4352423
2007-01-01  4433972
2007-04-01  4498734
2007-07-01  4550004
2007-10-01  3642726
2008-01-01  3799051
2008-04-01  3966372
2008-07-01  4014937
2008-10-01  4078888
2009-01-01  4167686
2009-04-01  4276854
2009-07-01  4375128
2009-10-01  4320634
2010-01-01  4263549
2010-04-01  4238784
2010-07-01  4265607
2010-10-01  4188871
2011-01-01  4108785
2011-04-01  3984889
2011-07-01  3883538
2011-10-01  3900480
2012-01-01  5596727
2012-04-01  5566891
2012-07-01  5503302
2012-10-01  5469439
2013-01-01  5415323
2013-04-01  6031268
2013-07-01  6056530
2013-10-01  5958872
2014-01-01  5940533
2014-04-01  6369156
2014-07-01  6432240
2014-10-01  6553846
2015-01-01  6654701
2015-04-01  6838304
2015-07-01  6934603
2015-10-01  7025428
2016-01-01  4302410
2016-04-01  4253799
2016-07-01  4251500
2016-10-01  1091266
2017-01-01   385597
2017-04-01   398807
2017-07-01   411540
2017-10-01   418374
2018-01-01   424457
2018-04-01   425377
2018-07-01   436891
