Title:               Utilities Earnings in North Carolina
Series ID:           NCEUTI
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE           VALUE
1998-01-01   1539664
1998-04-01   1100176
1998-07-01   1144816
1998-10-01   1141888
1999-01-01   1099132
1999-04-01   1118160
1999-07-01   1154772
1999-10-01   1162240
2000-01-01   1173284
2000-04-01   1149796
2000-07-01    983540
2000-10-01   1037488
2001-01-01         .
2001-04-01         .
2001-07-01         .
2001-10-01         .
2002-01-01   1254668
2002-04-01   1274468
2002-07-01   1292312
2002-10-01   1296592
2003-01-01   1160472
2003-04-01   1184308
2003-07-01   1182844
2003-10-01   1207240
2004-01-01   1287120
2004-04-01   1268680
2004-07-01   1208440
2004-10-01   1184204
2005-01-01   1110940
2005-04-01   1126240
2005-07-01   1164508
2005-10-01   1213972
2006-01-01   1718820
2006-04-01   1747096
2006-07-01   1731516
2006-10-01   1732460
2007-01-01   1766496
2007-04-01   1751128
2007-07-01   1631412
2007-10-01   1721412
2008-01-01   2586828
2008-04-01   2647212
2008-07-01   2767680
2008-10-01   2582480
2009-01-01   2283948
2009-04-01   2018084
2009-07-01   1965772
2009-10-01   2072060
2010-01-01   2206876
2010-04-01   2426512
2010-07-01   2212788
2010-10-01   2188820
2011-01-01   2160616
2011-04-01   2254840
2011-07-01   2219780
2011-10-01   2125984
2012-01-01   1823808
2012-04-01   1841424
2012-07-01   1946756
2012-10-01   1791812
2013-01-01   1634800
2013-04-01   1501700
2013-07-01   1566560
2013-10-01   1574960
2014-01-01   1749212
2014-04-01   1824760
2014-07-01   1776040
2014-10-01   1890372
2015-01-01   1970744
2015-04-01   2091420
2015-07-01   2017636
2015-10-01   2046064
2016-01-01   2009292
2016-04-01   2075152
2016-07-01   1957804
2016-10-01   2023580
2017-01-01   2065572
2017-04-01   1948244
2017-07-01   2134380
2017-10-01   2081148
2018-01-01   2176220
2018-04-01   2565799
2018-07-01   2574945
