Title:               Nondurable Manufacturing Earnings in North Carolina
Series ID:           NCENON
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01   15731040
1998-04-01   15612712
1998-07-01   15549152
1998-10-01   15659260
1999-01-01   15616604
1999-04-01   15522980
1999-07-01   15976476
1999-10-01   15728052
2000-01-01   15758712
2000-04-01   15902188
2000-07-01   16003160
2000-10-01   16089716
2001-01-01   15575824
2001-04-01   15502528
2001-07-01   15039280
2001-10-01   14890588
2002-01-01   15186456
2002-04-01   15286956
2002-07-01   15292536
2002-10-01   15217920
2003-01-01   15079172
2003-04-01   15013552
2003-07-01   14826808
2003-10-01   15119888
2004-01-01   14330540
2004-04-01   14613864
2004-07-01   15117536
2004-10-01   14812316
2005-01-01   14546916
2005-04-01   14637976
2005-07-01   14736396
2005-10-01   14511068
2006-01-01   14287580
2006-04-01   14295876
2006-07-01   14307608
2006-10-01   14489092
2007-01-01   14722708
2007-04-01   14654872
2007-07-01   14489124
2007-10-01   14748016
2008-01-01   14830464
2008-04-01   14621536
2008-07-01   14260024
2008-10-01   13869644
2009-01-01   13506196
2009-04-01   13297820
2009-07-01   13173468
2009-10-01   13467752
2010-01-01   13645820
2010-04-01   13657548
2010-07-01   13859708
2010-10-01   13782852
2011-01-01   13496812
2011-04-01   14205016
2011-07-01   13637568
2011-10-01   13369072
2012-01-01   13491440
2012-04-01   13660024
2012-07-01   13558064
2012-10-01   13674476
2013-01-01   13422464
2013-04-01   13616484
2013-07-01   13684288
2013-10-01   13940320
2014-01-01   14568436
2014-04-01   14368672
2014-07-01   14503308
2014-10-01   14795752
2015-01-01   14916332
2015-04-01   14824580
2015-07-01   14875900
2015-10-01   14650816
2016-01-01   15094824
2016-04-01   14820432
2016-07-01   14918028
2016-10-01   14963008
2017-01-01   15330076
2017-04-01   15326936
2017-07-01   15587176
2017-10-01   15421724
2018-01-01   15403018
2018-04-01   16078986
2018-07-01   15688435
