Title:               Educational Services Earnings in North Carolina
Series ID:           NCEEDU
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE           VALUE
1998-01-01   1419176
1998-04-01   1441016
1998-07-01   1477172
1998-10-01   1500692
1999-01-01   1551164
1999-04-01   1583736
1999-07-01   1597232
1999-10-01   1629920
2000-01-01   1680896
2000-04-01   1702572
2000-07-01   1776988
2000-10-01   1793972
2001-01-01   1760300
2001-04-01   1801852
2001-07-01   1876352
2001-10-01   1959812
2002-01-01   1986760
2002-04-01   2051728
2002-07-01   2104332
2002-10-01   2179992
2003-01-01   2145172
2003-04-01   2198816
2003-07-01   2256512
2003-10-01   2316288
2004-01-01   2514536
2004-04-01   2604864
2004-07-01   2663220
2004-10-01   2676184
2005-01-01   2669420
2005-04-01   2734148
2005-07-01   2816360
2005-10-01   2945500
2006-01-01   3063052
2006-04-01   3102000
2006-07-01   3196416
2006-10-01   3253368
2007-01-01   3410636
2007-04-01   3455712
2007-07-01   3540408
2007-10-01   3673420
2008-01-01   3663124
2008-04-01   3672724
2008-07-01   3799792
2008-10-01   3981584
2009-01-01   4075544
2009-04-01   4197008
2009-07-01   4261092
2009-10-01   4243796
2010-01-01   4387380
2010-04-01   4391800
2010-07-01   4418452
2010-10-01   4345604
2011-01-01   4491508
2011-04-01   4536588
2011-07-01   4643668
2011-10-01   4796236
2012-01-01   4912692
2012-04-01   4948872
2012-07-01   4878336
2012-10-01   4761964
2013-01-01   4532856
2013-04-01   4435772
2013-07-01   4336416
2013-10-01   4486488
2014-01-01   4596468
2014-04-01   4691036
2014-07-01   4889380
2014-10-01   5054832
2015-01-01   5424308
2015-04-01   5640360
2015-07-01   5836408
2015-10-01   5913644
2016-01-01   5926956
2016-04-01   5978832
2016-07-01   5818248
2016-10-01   5755588
2017-01-01   5639260
2017-04-01   5590396
2017-07-01   5669364
2017-10-01   5846368
2018-01-01   5975163
2018-04-01   6007027
2018-07-01   6058144
