Title:               Mining Earnings in North Carolina
Series ID:           NCEMIN
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE           VALUE
1998-01-01    181128
1998-04-01    173076
1998-07-01    211088
1998-10-01    205948
1999-01-01    194580
1999-04-01    196416
1999-07-01    190500
1999-10-01    191452
2000-01-01    184728
2000-04-01    184352
2000-07-01    197084
2000-10-01    198620
2001-01-01    193396
2001-04-01    191304
2001-07-01    197872
2001-10-01    191136
2002-01-01    160612
2002-04-01    157496
2002-07-01    161284
2002-10-01    141516
2003-01-01     88120
2003-04-01    113480
2003-07-01    112516
2003-10-01    126712
2004-01-01    -40972
2004-04-01    -21644
2004-07-01     -7804
2004-10-01     -5900
2005-01-01   -161672
2005-04-01   -148224
2005-07-01    -89624
2005-10-01    -50060
2006-01-01    -63660
2006-04-01   -101196
2006-07-01   -120140
2006-10-01   -102916
2007-01-01    -79820
2007-04-01   -112568
2007-07-01   -111672
2007-10-01   -133552
2008-01-01    116212
2008-04-01    115084
2008-07-01    156900
2008-10-01    154160
2009-01-01    186496
2009-04-01    206696
2009-07-01    166328
2009-10-01    180144
2010-01-01    202372
2010-04-01    248352
2010-07-01    267992
2010-10-01    270528
2011-01-01    221932
2011-04-01    233272
2011-07-01    238956
2011-10-01    234032
2012-01-01    213452
2012-04-01    213424
2012-07-01    208376
2012-10-01    211164
2013-01-01    195180
2013-04-01    193976
2013-07-01    196980
2013-10-01    196364
2014-01-01    160340
2014-04-01    171628
2014-07-01    170204
2014-10-01    172744
2015-01-01    173124
2015-04-01    177364
2015-07-01    173184
2015-10-01    177996
2016-01-01    193644
2016-04-01    191840
2016-07-01    194008
2016-10-01    196360
2017-01-01    286836
2017-04-01    268740
2017-07-01    285512
2017-10-01    285844
2018-01-01    294692
2018-04-01    290451
2018-07-01    285637
