Title:               Finance and Insurance Earnings in North Carolina
Series ID:           NCEFIN
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01    2952616
1998-04-01    3295024
1998-07-01    3861872
1998-10-01    3247456
1999-01-01    4086648
1999-04-01    3990916
1999-07-01    3860924
1999-10-01    4338792
2000-01-01    4987816
2000-04-01    4978804
2000-07-01    5343932
2000-10-01    5674788
2001-01-01    4839924
2001-04-01    5870460
2001-07-01    5968340
2001-10-01    6093584
2002-01-01    5966028
2002-04-01    6150840
2002-07-01    6132636
2002-10-01    6079468
2003-01-01    7580124
2003-04-01    7774864
2003-07-01    8415992
2003-10-01    8175756
2004-01-01   10415616
2004-04-01   10934512
2004-07-01   11029616
2004-10-01   11875996
2005-01-01   15182296
2005-04-01   13655508
2005-07-01   13693956
2005-10-01   14142140
2006-01-01   18671524
2006-04-01   18122556
2006-07-01   18268760
2006-10-01   18622544
2007-01-01   25707928
2007-04-01   23737652
2007-07-01   22480208
2007-10-01   22085084
2008-01-01   30761664
2008-04-01   29018524
2008-07-01   29974792
2008-10-01   33692920
2009-01-01   21147752
2009-04-01   26543728
2009-07-01   29109392
2009-10-01   30194060
2010-01-01   21666152
2010-04-01   22217284
2010-07-01   20915944
2010-10-01   21069300
2011-01-01   19061244
2011-04-01   18222128
2011-07-01   18372220
2011-10-01   18346204
2012-01-01   24000896
2012-04-01   25939496
2012-07-01   25147048
2012-10-01   25207808
2013-01-01   19160612
2013-04-01   18260872
2013-07-01   18014988
2013-10-01   17696332
2014-01-01   18777044
2014-04-01   17315280
2014-07-01   17380908
2014-10-01   17285468
2015-01-01   17663296
2015-04-01   17782760
2015-07-01   18038824
2015-10-01   18523476
2016-01-01   19055240
2016-04-01   18998672
2016-07-01   19563052
2016-10-01   20479160
2017-01-01   20543196
2017-04-01   21600960
2017-07-01   21364396
2017-10-01   22185412
2018-01-01   22375668
2018-04-01   23510731
2018-07-01   23801490
