Title:               Civilian Labor Force in Edgecombe County, NC
Series ID:           NCEDGE5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  27843
1990-02-01  27880
1990-03-01  27999
1990-04-01  28282
1990-05-01  28824
1990-06-01  28727
1990-07-01  28542
1990-08-01  28317
1990-09-01  28198
1990-10-01  28002
1990-11-01  28250
1990-12-01  28159
1991-01-01  28618
1991-02-01  28531
1991-03-01  28734
1991-04-01  28878
1991-05-01  29013
1991-06-01  29272
1991-07-01  29103
1991-08-01  28567
1991-09-01  28750
1991-10-01  28626
1991-11-01  28756
1991-12-01  28304
1992-01-01  28167
1992-02-01  28431
1992-03-01  28149
1992-04-01  28137
1992-05-01  28513
1992-06-01  29077
1992-07-01  29179
1992-08-01  28971
1992-09-01  28435
1992-10-01  28349
1992-11-01  28414
1992-12-01  27962
1993-01-01  27367
1993-02-01  27515
1993-03-01  27377
1993-04-01  27275
1993-05-01  27750
1993-06-01  28020
1993-07-01  27905
1993-08-01  28020
1993-09-01  27708
1993-10-01  28903
1993-11-01  27497
1993-12-01  27402
1994-01-01  26514
1994-02-01  26620
1994-03-01  26577
1994-04-01  26506
1994-05-01  27162
1994-06-01  27465
1994-07-01  27452
1994-08-01  27543
1994-09-01  27510
1994-10-01  27766
1994-11-01  27284
1994-12-01  27076
1995-01-01  26852
1995-02-01  26978
1995-03-01  27042
1995-04-01  27172
1995-05-01  27213
1995-06-01  27688
1995-07-01  27783
1995-08-01  27938
1995-09-01  27633
1995-10-01  27836
1995-11-01  28164
1995-12-01  27985
1996-01-01  27529
1996-02-01  27743
1996-03-01  28055
1996-04-01  27879
1996-05-01  28890
1996-06-01  29376
1996-07-01  30601
1996-08-01  30062
1996-09-01  29732
1996-10-01  29253
1996-11-01  29137
1996-12-01  28674
1997-01-01  27818
1997-02-01  27461
1997-03-01  27385
1997-04-01  27229
1997-05-01  27529
1997-06-01  27590
1997-07-01  27478
1997-08-01  27260
1997-09-01  26441
1997-10-01  26539
1997-11-01  27032
1997-12-01  27501
1998-01-01  26184
1998-02-01  25782
1998-03-01  26128
1998-04-01  25594
1998-05-01  25762
1998-06-01  25985
1998-07-01  26271
1998-08-01  26068
1998-09-01  25783
1998-10-01  26092
1998-11-01  25933
1998-12-01  25491
1999-01-01  25356
1999-02-01  25113
1999-03-01  25178
1999-04-01  24895
1999-05-01  25051
1999-06-01  24906
1999-07-01  25391
1999-08-01  25374
1999-09-01  26056
1999-10-01  25244
1999-11-01  25239
1999-12-01  24902
2000-01-01  24952
2000-02-01  24797
2000-03-01  25005
2000-04-01  24866
2000-05-01  24982
2000-06-01  25084
2000-07-01  25254
2000-08-01  25423
2000-09-01  25228
2000-10-01  25260
2000-11-01  25259
2000-12-01  25486
2001-01-01  25337
2001-02-01  25427
2001-03-01  25458
2001-04-01  25479
2001-05-01  25533
2001-06-01  25194
2001-07-01  25418
2001-08-01  25454
2001-09-01  25365
2001-10-01  25332
2001-11-01  25696
2001-12-01  25478
2002-01-01  25122
2002-02-01  25603
2002-03-01  25314
2002-04-01  25288
2002-05-01  25132
2002-06-01  24925
2002-07-01  25304
2002-08-01  25060
2002-09-01  24938
2002-10-01  25211
2002-11-01  24900
2002-12-01  24884
2003-01-01  25131
