Title:               All Employees: Education and Health Services in North Carolina
Series ID:           NCEDUHN
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:37 PM CST
Notes:               

DATE        VALUE
2012-11-01  557.3
2012-12-01  558.1
2013-01-01  550.6
2013-02-01  556.1
2013-03-01  557.5
2013-04-01  557.9
2013-05-01  558.9
2013-06-01  555.3
2013-07-01  554.1
2013-08-01  557.9
2013-09-01  562.2
2013-10-01  564.4
2013-11-01  565.8
2013-12-01  565.2
2014-01-01  557.7
2014-02-01  560.3
2014-03-01  565.5
2014-04-01  567.9
2014-05-01  569.6
2014-06-01  564.6
2014-07-01  565.0
2014-08-01  569.4
2014-09-01  570.9
2014-10-01  576.2
2014-11-01  577.6
2014-12-01  576.5
2015-01-01  566.6
2015-02-01  571.8
2015-03-01  570.9
2015-04-01  572.1
2015-05-01  574.2
2015-06-01  569.4
2015-07-01  567.7
2015-08-01  569.2
2015-09-01  574.2
2015-10-01  581.9
2015-11-01  583.5
2015-12-01  582.7
2016-01-01  575.0
2016-02-01  579.6
2016-03-01  581.8
2016-04-01  585.9
2016-05-01  587.0
2016-06-01  581.2
2016-07-01  582.0
2016-08-01  586.6
2016-09-01  590.1
2016-10-01  594.5
2016-11-01  596.4
2016-12-01  595.4
2017-01-01  590.2
2017-02-01  597.2
2017-03-01  596.0
2017-04-01  598.5
2017-05-01  600.6
2017-06-01  594.6
2017-07-01  593.2
2017-08-01  597.6
2017-09-01  598.8
2017-10-01  605.4
2017-11-01  607.8
2017-12-01  608.5
2018-01-01  597.7
2018-02-01  604.6
2018-03-01  607.2
2018-04-01  607.2
2018-05-01  609.8
2018-06-01  606.2
2018-07-01  604.9
2018-08-01  605.6
2018-09-01  611.5
2018-10-01  620.9
2018-11-01  622.5
